,ticker,name,subcategory
0,SEKUSD Curncy,SEK-USD X-RATE,DM FX
1,BCOMRLH Index,BBGRollLnHogs,Agriculture
2,I05510Y Index,GBP Swap Rate 0 Cpn Yld 10,Nominal Swap
3,EURUSD Curncy,EUR-USD X-RATE,DM FX
4,USSWAP1 Curncy,USD SWAP SEMI 30/360 1YR,Currency SWAP
5,NTNI3M Curncy,TWD NDF IMPLIED YLD 3 MO,EM FX
6,NOKJPY Curncy,NOK-JPY X-RATE,DM FX
7,EUSA1 Curncy,EUR SWAP ANN (VS 6M) 1Y,Currency SWAP
8,I07210Y Index,CAD Canada Swap 0 Cpn Yld10,Nominal Swap
9,I07220Y Index,CAD Canada Swap 0 Cpn Yld20,Nominal Swap
10,M1WDQU Index,MSCI ACWI Quality Net $,Equity Factor
11,CDSW9 Index,CAD SWAP SA (VS 3M ) 9Y,Currency SWAP
12,NO1 A:00_0_R Curncy,NOK Future,DM FX
13,I05603Y Index,JPY Japan Swap Rate 0 Cpn3,Nominal Swap
14,CADJPYCR Curncy,CAD-JPY Carry Return,DM FX
15,EUR006M Index,Euribor 6 Month ACT/360,Nominal Bond
16,PPP SZ Index,OECD PPP - Switzerland,OECD PPP
17,BCOMRGO Index,BCOMRS GO ER,Energy
18,F10504Y Index,JPY Japan Sovereign 4,Nominal Bond
19,PHPUSD Curncy,PHP-USD X-RATE,EM FX
20,BCOMCT6 Index,BBGCottonSub6Mfwd,Agriculture
21,F11001Y Index,GBP UK Gilts 0 Coupon 1,Nominal Bond
22,I05208Y Index,USD Swap Rate 0 Cpn Yld 8,Nominal Swap
23,RUBI3M Curncy,RUB Fwd Imp Yld 3M,EM FX
24,I05708Y Index,CHF Switzerland Swap 0 8,Nominal Swap
25,F12703M Index,AUD Australia Sov 0 Cpn 3,Nominal Bond
26,GBPSEK Curncy,GBP-SEK X-RATE,DM FX
27,BCOMGC Index,BBG Gold,Precious Metals
28,TRYUSD Curncy,TRY-USD X-RATE,EM FX
29,F12703Y Index,AUD Australia Sov 0 Cpn 3,Nominal Bond
30,IINEGBR Index,IMF United Kingdom Inflation E,IMF Inflation Expectation
31,BCOMRBO Index,BBGRollSoybnO,Agriculture
32,GBPCHF Curncy,GBP-CHF X-RATE,DM FX
33,PPP UK Index,OECD PPP - United Kingdom,OECD PPP
34,F25010Y Index,NZD 0CPN YLDS10Y,Nominal Bond
35,I05320Y Index,EUR Swap Annual 0 Cpn Yld20,Nominal Swap
36,CADI3M Index,CAD Fwd Imp Yld 3M,DM FX
37,F26608Y Index,NOK 0CPN YLDS8Y,Nominal Bond
38,EURNZD Curncy,EUR-NZD X-RATE,DM FX
39,IDRUSDCR Curncy,IDR-USD Carry Return,EM FX
40,F08207Y Index,UST Bond/Notes 0 Coupon 7,Nominal Bond
41,I05203M Index,USD Swap Rate 0 Cpn Yld 3,Nominal Swap
42,F25007Y Index,NZD 0CPN YLDS7Y,Nominal Bond
43,F26603M Index,NOK 0CPN YLDS3M,Nominal Bond
44,F91015Y Index,EUR 0CPN YLDS15Y,Nominal Bond
45,EGPUSD Curncy,EGP-USD X-RATE,EM FX
46,F91002Y Index,EUR 0CPN YLDS2Y,Nominal Bond
47,I05615Y Index,JPY Japan Swap Rate 0 Cpn15,Nominal Swap
48,NZDCHFCR Curncy,NZD-CHF Carry Return,DM FX
49,F08205Y Index,UST Bond/Notes 0 Coupon 5,Nominal Bond
50,I05303Y Index,EUR Swap Annual 0 Cpn Yld3,Nominal Swap
51,MXNUSDCR Curncy,MXN-USD Carry Return,EM FX
52,NKSW1 Curncy,NOK SWAP ANN (VS 6M) 1Y,Currency SWAP
