business_date,asset_name,business_date,analytic_subcategory,value,,,,US Equities,EU Equities,JP Equities,HK Equities,US 10y Bonds,UK 10y Bonds,Eu 10y Bonds,CA 10y Bonds,JPY,EUR,AUD,CAD,EURGBP
06/04/2000,AUD-USD X-RATE,06/04/2000,momentum,-0.999999698,,,06/04/2000,0.984803916,0.818026178,0.707496378,0.990932686,0.62015346,0.998562954,0.791633657,0.927045111,0.933873538,-0.892617852,-0.999999698,-0.54834725,-0.745482018
13/04/2000,AUD-USD X-RATE,13/04/2000,momentum,-0.929168871,,,13/04/2000,0.996431099,0.669709594,0.714046778,0.558896177,0.665861336,0.999774789,0.889082335,0.878602047,0.636572986,-0.787800642,-0.929168871,-0.644801356,-0.784115043
20/04/2000,AUD-USD X-RATE,20/04/2000,momentum,-0.752902883,,,20/04/2000,0.064943428,-0.121972247,-0.67143602,-0.742855513,0.936851708,0.931010968,0.992015778,0.956990618,0.65730187,-0.553279807,-0.752902883,-0.840791378,-0.820422953
27/04/2000,AUD-USD X-RATE,27/04/2000,momentum,-0.475426458,,,27/04/2000,0.044456378,-0.039249384,-0.669130173,-0.995187413,0.999033663,0.723799181,0.898244947,0.897461238,0.443219125,-0.035612139,-0.475426458,-0.861268923,-0.766341369
04/05/2000,AUD-USD X-RATE,04/05/2000,momentum,-0.121197104,,,04/05/2000,0.134501909,0.730334472,-0.189782643,-0.969040466,0.610354159,0.883818238,0.789689505,0.101220557,-0.44222136,-0.021513156,-0.121197104,-0.687014206,-0.846129007
11/05/2000,AUD-USD X-RATE,11/05/2000,momentum,-0.189408727,,,11/05/2000,-0.244429797,0.835883918,0.461680791,-0.986054278,-0.442356168,0.505373039,0.130089725,-0.634427194,-0.838472068,-0.11240476,-0.189408727,-0.448592599,-0.969896409
18/05/2000,AUD-USD X-RATE,18/05/2000,momentum,-0.017572269,,,18/05/2000,-0.263369067,0.706293651,-0.695054219,-0.983369475,-0.543520393,0.291759991,-0.03804469,-0.633088693,-0.937911,-0.475593709,-0.017572269,-0.674904615,-0.966695959
25/05/2000,AUD-USD X-RATE,25/05/2000,momentum,-0.002995245,,,25/05/2000,-0.573698462,-0.27566979,-0.550143956,-0.999881597,-0.564732786,-0.280760521,-0.207025398,-0.425519054,-0.73931875,-0.571140552,-0.002995245,-0.567924926,-0.887804284
01/06/2000,AUD-USD X-RATE,01/06/2000,momentum,-0.01136174,,,01/06/2000,-0.820491407,-0.529744234,-0.439276886,-0.984042429,-0.114898013,0.481346577,0.583029884,-0.027153761,-0.618591568,-0.998424645,-0.01136174,-0.575369998,-0.777665863
08/06/2000,AUD-USD X-RATE,08/06/2000,momentum,-0.179854576,,,08/06/2000,-0.128603546,0.674007079,-0.896934279,-0.724188026,0.565577737,0.997764818,0.9978425,0.718501075,-0.726816279,-0.592015942,-0.179854576,-0.970182498,-0.688865336
15/06/2000,AUD-USD X-RATE,15/06/2000,momentum,-0.979902155,,,15/06/2000,0.16562771,0.8106369,-0.989768978,-0.127372377,0.799313766,0.997213063,0.995356174,0.806884632,-0.504918743,-0.020348104,-0.979902155,-0.535448266,-0.623746526
22/06/2000,AUD-USD X-RATE,22/06/2000,momentum,-0.228987507,,,22/06/2000,0.41799184,0.873795475,-0.992306048,0.201872142,0.956982844,0.978218894,0.955612571,0.939159759,-0.204796352,0.252925095,-0.228987507,-0.015070761,0.115829542
29/06/2000,AUD-USD X-RATE,29/06/2000,momentum,-0.221878228,,,29/06/2000,0.21688834,0.676671549,-0.935675256,0.108298143,0.852555519,0.872120852,0.967422156,0.763143126,0.24447387,-0.185746902,-0.221878228,-0.449073754,0.777478205
06/07/2000,AUD-USD X-RATE,06/07/2000,momentum,-0.061089268,,,06/07/2000,0.186328418,0.175306838,-0.588504915,0.303624668,0.95139899,0.885729401,0.81899982,0.887250489,0.072828173,-0.03619431,-0.061089268,-0.57008915,0.947636903
13/07/2000,AUD-USD X-RATE,13/07/2000,momentum,-0.360298855,,,13/07/2000,0.507784427,0.362818337,-0.333892955,0.735164969,0.987757789,0.975757169,0.668082908,0.952899722,-0.717744766,-0.00071898,-0.360298855,-0.605645956,0.999425064
20/07/2000,AUD-USD X-RATE,20/07/2000,momentum,-0.607253645,,,20/07/2000,0.975560629,0.925927659,-0.612549974,0.940859186,0.920682108,0.810799524,0.341775862,0.847563212,-0.998290064,-0.324826706,-0.607253645,-0.58517697,0.981239938
27/07/2000,AUD-USD X-RATE,27/07/2000,momentum,-0.666442307,,,27/07/2000,0.791687846,0.73554611,-0.995353409,0.95286808,0.978870966,0.954453738,0.501417411,0.855350556,-0.833963681,-0.420610394,-0.666442307,-0.018823671,0.932727178
03/08/2000,AUD-USD X-RATE,03/08/2000,momentum,-0.652497008,,,03/08/2000,-0.437273765,-0.66370779,-0.789376646,0.766135473,0.991137625,0.882214895,0.860545947,0.818987989,-0.608075946,-0.621079214,-0.652497008,-0.272450506,0.877002449
10/08/2000,AUD-USD X-RATE,10/08/2000,momentum,-0.626932394,,,10/08/2000,-0.148837528,-0.989676138,-0.640115662,0.726831816,0.992321086,0.574988884,0.945378718,0.986253086,-0.803673018,-0.947613402,-0.626932394,-0.685453903,0.825750216
17/08/2000,AUD-USD X-RATE,17/08/2000,momentum,-0.739552444,,,17/08/2000,0.204240607,-0.710180445,-0.731253279,0.621794121,0.979178047,0.440542543,0.987173929,0.996963074,-0.884710275,-0.994976531,-0.739552444,-0.641559765,0.784944569
24/08/2000,AUD-USD X-RATE,24/08/2000,momentum,-0.484884494,,,24/08/2000,0.719332107,-0.547064621,-0.705631895,0.682612467,0.922948917,-0.268457281,0.926221122,0.993447586,-0.985544971,-0.997366498,-0.484884494,-0.255091369,0.759173519
31/08/2000,AUD-USD X-RATE,31/08/2000,momentum,-0.98763701,,,31/08/2000,0.999757996,-0.493309144,-0.99916713,0.606009726,0.624644215,-0.387034985,0.699003628,0.893178272,-0.703895199,-0.946363488,-0.98763701,-0.709061373,0.755851307
07/09/2000,AUD-USD X-RATE,07/09/2000,momentum,-0.972992723,,,07/09/2000,0.89133014,0.460342809,-0.993743991,0.725977469,0.090799004,-0.329739703,0.799266539,0.140478785,-0.139347096,-0.916204112,-0.972992723,-0.110057978,0.79452099
14/09/2000,AUD-USD X-RATE,14/09/2000,momentum,-0.317488342,,,14/09/2000,0.957990633,0.3510762,-0.972950333,0.536509568,0.023510948,-0.743578818,0.206410765,0.038221113,-0.077716446,-0.654327445,-0.317488342,-0.374552462,0.946129154
21/09/2000,AUD-USD X-RATE,21/09/2000,momentum,-0.190204338,,,21/09/2000,-0.273455908,-0.470683347,-0.961226485,-0.546462825,0.195623632,-0.993109446,-0.297802747,0.097736652,-0.49197635,-0.553696068,-0.190204338,-0.998043587,0.999656965
28/09/2000,AUD-USD X-RATE,28/09/2000,momentum,-0.453283028,,,28/09/2000,-0.988720496,-0.770163866,-0.957279732,-0.982415896,0.41709994,-0.81323325,0.311710181,0.114261484,-0.796096525,-0.916970708,-0.453283028,-0.8229478,0.967484438
05/10/2000,AUD-USD X-RATE,05/10/2000,momentum,-0.628246531,,,05/10/2000,-0.98936792,-0.747705506,-0.971798964,-0.881916992,0.326192003,0.358224635,0.770683274,0.17775149,-0.992492228,-0.998421848,-0.628246531,-0.146053295,0.864457717
12/10/2000,AUD-USD X-RATE,12/10/2000,momentum,-0.577603211,,,12/10/2000,-0.887044152,-0.776457892,-0.975760182,-0.655794775,0.320432938,0.857137663,0.963057102,0.443594145,-0.958880931,-0.992960136,-0.577603211,-0.340796267,0.757696008
19/10/2000,AUD-USD X-RATE,19/10/2000,momentum,-0.548862235,,,19/10/2000,-0.734197381,-0.634896634,-0.72541803,-0.933524494,0.054820681,0.999813001,0.947316547,0.303867459,-0.993756548,-0.801299638,-0.548862235,-0.3532228,0.674378509
26/10/2000,AUD-USD X-RATE,26/10/2000,momentum,-0.675118555,,,26/10/2000,-0.969566975,-0.96320285,-0.309725052,-0.950642196,0.002515481,0.986654112,0.911985616,0.211286545,-0.956136367,-0.381821232,-0.675118555,-0.589362377,0.612486854
02/11/2000,AUD-USD X-RATE,02/11/2000,momentum,-0.746307719,,,02/11/2000,-0.990929282,-0.912573262,-0.085366706,-0.913346912,0.006451298,0.843692862,0.995653837,0.996500874,-0.876063275,-0.274982445,-0.746307719,-0.488159837,0.566213209
09/11/2000,AUD-USD X-RATE,09/11/2000,momentum,-0.904803023,,,09/11/2000,-0.699898621,-0.428363524,-0.249930744,-0.502887593,0.125041259,0.829906002,0.984953089,0.01019966,-0.997735179,-0.759187184,-0.904803023,-0.593099382,0.53095947
