,PSNI3M Curncy
1999-01-13,
1999-01-20,
1999-01-27,
1999-02-03,
1999-02-10,
1999-02-17,
1999-02-24,
1999-03-03,
1999-03-10,
1999-03-17,
1999-03-24,
1999-03-31,
1999-04-07,
1999-04-14,
1999-04-21,
1999-04-28,
1999-05-05,
1999-05-12,
1999-05-19,
1999-05-26,
1999-06-02,
1999-06-09,
1999-06-16,
1999-06-23,
1999-06-30,
1999-07-07,
1999-07-14,
1999-07-21,
1999-07-28,
1999-08-04,
1999-08-11,
1999-08-18,
1999-08-25,
1999-09-01,
1999-09-08,
1999-09-15,
1999-09-22,
1999-09-29,
1999-10-06,
1999-10-13,
1999-10-20,
1999-10-27,
1999-11-03,
1999-11-10,
1999-11-17,
1999-11-24,
1999-12-01,
1999-12-08,
1999-12-15,
1999-12-22,
1999-12-29,
2000-01-05,
2000-01-12,
2000-01-19,
2000-01-26,
2000-02-02,
2000-02-09,
2000-02-16,
2000-02-23,
2000-03-01,
2000-03-08,
2000-03-15,
2000-03-22,
2000-03-29,
2000-04-05,
2000-04-12,
2000-04-19,
2000-04-26,
2000-05-03,
2000-05-10,
2000-05-17,
2000-05-24,
2000-05-31,
2000-06-07,
2000-06-14,
2000-06-21,
2000-06-28,
2000-07-05,
2000-07-12,
2000-07-19,
2000-07-26,14.7306
2000-08-02,12.3189
2000-08-09,6.375
2000-08-16,12.1839
2000-08-23,12.2109
2000-08-30,11.8918
2000-09-06,11.89
2000-09-13,10.1355
2000-09-20,13.1178
2000-09-27,13.1503
2000-10-04,13.3576
2000-10-11,13.267900000000001
2000-10-18,13.3062
2000-10-25,14.3413
2000-11-01,13.9925
2000-11-08,14.5011
2000-11-15,14.199
2000-11-22,14.1058
2000-11-29,14.6894
2000-12-06,14.083
2000-12-13,13.7316
2000-12-20,14.083
2000-12-27,14.083
2001-01-03,14.0085
2001-01-10,12.0604
2001-01-17,11.562100000000001
2001-01-24,11.7868
2001-01-31,11.6812
2001-02-07,12.7645
2001-02-14,0.1209
2001-02-21,12.44
2001-02-28,0.1155
2001-03-07,11.9425
2001-03-14,11.693999999999999
2001-03-21,0.1112
2001-03-28,0.1113
2001-04-04,0.1138
2001-04-11,11.495
2001-04-18,13.2324
2001-04-25,14.9277
2001-05-02,13.831
2001-05-09,13.453
2001-05-16,13.9938
2001-05-23,11.74
2001-05-30,12.7265
2001-06-06,15.1139
2001-06-13,11.338
2001-06-20,10.9339
2001-06-27,10.9711
2001-07-04,10.6302
2001-07-11,10.3151
2001-07-18,10.4987
2001-07-25,9.7894
2001-08-01,10.3213
2001-08-08,9.4935
2001-08-15,9.6674
2001-08-22,9.0189
2001-08-29,8.4368
2001-09-05,7.9593
2001-09-12,7.496
2001-09-19,8.2148
2001-09-26,6.964
2001-10-03,6.2349
2001-10-10,6.8465
2001-10-17,6.2315
2001-10-24,6.0565
2001-10-31,6.1518
2001-11-07,5.2827
2001-11-14,5.1046
2001-11-21,5.3168
2001-11-28,4.7358
2001-12-05,4.0316
2001-12-12,4.476
2001-12-19,3.9057
2001-12-26,4.1315
2002-01-02,4.0237
2002-01-09,3.7414
2002-01-16,3.6265
2002-01-23,3.7155
2002-01-30,3.303
2002-02-06,3.3368
2002-02-13,3.0499
2002-02-20,3.3424
2002-02-27,3.215
2002-03-06,3.2187
2002-03-13,2.992
2002-03-20,2.8287
2002-03-27,3.281
2002-04-03,3.2695
2002-04-10,3.2693
2002-04-17,3.2978
2002-04-24,3.2227
2002-05-01,2.8171
2002-05-08,3.2629
2002-05-15,3.1943
2002-05-22,3.3798
2002-05-29,3.1678
2002-06-05,2.6671
2002-06-12,3.287
2002-06-19,3.2605
2002-06-26,3.3311
2002-07-03,3.3401
2002-07-10,3.0348
2002-07-17,3.3647
2002-07-24,3.3427
2002-07-31,3.8373
2002-08-07,3.3548
2002-08-14,3.3398
2002-08-21,3.5984
2002-08-28,4.4953
2002-09-04,3.9172000000000002
2002-09-11,4.8235
2002-09-18,8.9934
2002-09-25,8.9125
2002-10-02,8.9343
2002-10-09,7.1198
2002-10-16,8.25
2002-10-23,7.9746
2002-10-30,7.4584
2002-11-06,8.0432
2002-11-13,9.0658
2002-11-20,5.4599
2002-11-27,4.001
2002-12-04,5.0972
2002-12-11,6.3645
2002-12-18,6.1149000000000004
2002-12-25,6.3126
2003-01-01,3.9
2003-01-08,5.0911
2003-01-15,5.0896
2003-01-22,5.4765
2003-01-29,4.6453
2003-02-05,4.6471
2003-02-12,3.7091
2003-02-19,4.3168
2003-02-26,4.4028
2003-03-05,4.3573
2003-03-12,4.2488
2003-03-19,4.088
2003-03-26,4.7034
2003-04-02,4.1835
2003-04-09,3.8315
2003-04-16,4.1583
2003-04-23,4.1887
2003-04-30,4.0865
2003-05-07,4.1155
2003-05-14,4.1158
2003-05-21,4.0954
2003-05-28,4.109
2003-06-04,4.1745
2003-06-11,4.0224
2003-06-18,3.9478
2003-06-25,3.8750999999999998
2003-07-02,4.0458
2003-07-09,4.048
2003-07-16,4.0933
2003-07-23,4.1482
2003-07-30,3.9917
2003-08-06,3.7899000000000003
2003-08-13,3.5237
2003-08-20,3.2544
2003-08-27,4.1398
2003-09-03,4.2258
2003-09-10,4.2305
2003-09-17,4.2317
2003-09-24,3.1121
2003-10-01,3.1468
2003-10-08,2.9707
2003-10-15,3.0112
2003-10-22,2.8578
2003-10-29,2.9537
2003-11-05,3.0342
2003-11-12,3.0418
2003-11-19,3.031
2003-11-26,3.0483
2003-12-03,2.9483
2003-12-10,2.9389
2003-12-17,2.9134
2003-12-24,2.9169
2003-12-31,3.2425
2004-01-07,2.8422
2004-01-14,2.7551
2004-01-21,2.8501
2004-01-28,2.7137000000000002
2004-02-04,2.7575
2004-02-11,2.8712999999999997
2004-02-18,2.6630000000000003
2004-02-25,2.7946999999999997
2004-03-03,2.5871
2004-03-10,2.7518000000000002
2004-03-17,2.7519
2004-03-24,2.6724
2004-03-31,2.8249
2004-04-07,2.7522
2004-04-14,2.7692
2004-04-21,2.8992
2004-04-28,2.8625
2004-05-05,2.8686
2004-05-12,2.7834
2004-05-19,2.9497
2004-05-26,2.6953
2004-06-02,3.2702999999999998
2004-06-09,3.3076
2004-06-16,3.3992
2004-06-23,3.2786
2004-06-30,2.9946
2004-07-07,2.9316
2004-07-14,3.0169
2004-07-21,3.0379
2004-07-28,3.1152
2004-08-04,3.1575
2004-08-11,3.2397
2004-08-18,3.3772
2004-08-25,3.3835
2004-09-01,3.1752
2004-09-08,3.2673
2004-09-15,3.3053
2004-09-22,3.3436
2004-09-29,3.3339
2004-10-06,3.4369
2004-10-13,3.4412
2004-10-20,3.5035
2004-10-27,3.5128
2004-11-03,3.6336
2004-11-10,3.7619
2004-11-17,3.7628
2004-11-24,3.8624
2004-12-01,3.6488
2004-12-08,3.9143
2004-12-15,3.6614
2004-12-22,4.01
2004-12-29,3.6944
2005-01-05,3.8395
2005-01-12,3.863
2005-01-19,3.9027
2005-01-26,3.9648
2005-02-02,4.0191
2005-02-09,4.0499
2005-02-16,3.5901
2005-02-23,3.7767
2005-03-02,3.7191
2005-03-09,3.8474
2005-03-16,3.7612
2005-03-23,3.789
2005-03-30,3.6603
2005-04-06,3.6608
2005-04-13,3.6906
2005-04-20,3.8943
2005-04-27,3.9115
2005-05-04,3.8522
2005-05-11,3.9774000000000003
2005-05-18,3.6954000000000002
2005-05-25,3.7104
2005-06-01,3.7318
2005-06-08,3.8448
2005-06-15,3.7476000000000003
2005-06-22,3.9553000000000003
2005-06-29,4.0101
2005-07-06,3.737
2005-07-13,3.7586
2005-07-20,3.9032999999999998
2005-07-27,3.5299
2005-08-03,3.7927
2005-08-10,3.8506
2005-08-17,3.6197
2005-08-24,3.83
2005-08-31,3.623
2005-09-07,3.6837
2005-09-14,3.6419
2005-09-21,3.7429
2005-09-28,3.8296
2005-10-05,3.9131
2005-10-12,3.7799
2005-10-19,3.9618
2005-10-26,3.8922
2005-11-02,3.9295
2005-11-09,3.967
2005-11-16,4.0079
2005-11-23,4.0297
2005-11-30,3.8173
2005-12-07,3.7157999999999998
2005-12-14,3.84
2005-12-21,3.854
2005-12-28,4.0764
2006-01-04,4.117
2006-01-11,4.2937
2006-01-18,5.0621
2006-01-25,5.4761
2006-02-01,5.5344999999999995
2006-02-08,5.611
2006-02-15,4.9926
2006-02-22,5.0277
2006-03-01,4.99
2006-03-08,5.6562
2006-03-15,5.6759
2006-03-22,5.24
2006-03-29,5.39
2006-04-05,7.1894
2006-04-12,6.4792
2006-04-19,7.4872
2006-04-26,7.4753
2006-05-03,6.795
2006-05-10,6.3695
2006-05-17,6.1434
2006-05-24,6.1823
2006-05-31,6.1022
2006-06-07,5.54
2006-06-14,6.0753
2006-06-21,5.825
2006-06-28,6.2672
2006-07-05,5.825
2006-07-12,5.465
2006-07-19,5.465
2006-07-26,5.6431000000000004
2006-08-02,5.6205
2006-08-09,5.165
2006-08-16,5.5491
2006-08-23,5.3078
2006-08-30,5.2765
2006-09-06,5.2664
2006-09-13,5.0177
2006-09-20,5.2664
2006-09-27,5.2403
2006-10-04,5.2479
2006-10-11,5.1581
2006-10-18,5.1604
2006-10-25,5.1338
2006-11-01,5.159
2006-11-08,5.1596
2006-11-15,5.1583
2006-11-22,5.1596
2006-11-29,5.15
2006-12-06,5.1292
2006-12-13,5.1321
2006-12-20,4.975
2006-12-27,5.1091
2007-01-03,4.701
2007-01-10,4.7355
2007-01-17,4.7193000000000005
2007-01-24,4.7355
2007-01-31,4.739
2007-02-07,4.7053
2007-02-14,4.7051
2007-02-21,4.7274
2007-02-28,4.7109
2007-03-07,4.7052
2007-03-14,4.6998
2007-03-21,4.7664
2007-03-28,4.7196
2007-04-04,4.7667
2007-04-11,4.7398
2007-04-18,4.739
2007-04-25,4.7087
2007-05-02,4.1674
2007-05-09,4.8015
2007-05-16,3.995
2007-05-23,3.5614
2007-05-30,3.6003
2007-06-06,3.6033
2007-06-13,3.7269
2007-06-20,3.7241999999999997
2007-06-27,3.6909
2007-07-04,3.7409
2007-07-11,4.7602
2007-07-18,4.4428
2007-07-25,4.4177
2007-08-01,4.6835
2007-08-08,4.4164
2007-08-15,5.135
2007-08-22,5.2342
2007-08-29,5.4473
2007-09-05,5.424
2007-09-12,5.511
2007-09-19,5.4585
2007-09-26,5.8073
2007-10-03,5.1094
2007-10-10,5.4185
2007-10-17,5.4215
2007-10-24,4.6003
2007-10-31,4.4677
2007-11-07,5.329
2007-11-14,3.2835
2007-11-21,3.795
2007-11-28,4.5671
2007-12-05,3.8871
2007-12-12,5.4335
2007-12-19,5.432
2007-12-26,5.4615
2008-01-02,2.5971
2008-01-09,1.4444
2008-01-16,0.4454
2008-01-23,0.6233
2008-01-30,0.3654
2008-02-06,5.0725
2008-02-13,-0.0302
2008-02-20,-0.0642
2008-02-27,-1.0665
2008-03-05,-2.3137
2008-03-12,-3.3058
2008-03-19,-3.7112
2008-03-26,-0.6912
2008-04-02,-1.4527
2008-04-09,-2.2166
2008-04-16,-1.7939
2008-04-23,2.1073
2008-04-30,-1.017
2008-05-07,-1.3568
2008-05-14,-1.1837
2008-05-21,-2.1433
2008-05-28,-2.0703
2008-06-04,-2.0283
2008-06-11,-1.8071000000000002
2008-06-18,-1.756
2008-06-25,2.8101000000000003
2008-07-02,3.4785
2008-07-09,2.7075
2008-07-16,3.3512
2008-07-23,3.1904
2008-07-30,3.2313
2008-08-06,3.3055
2008-08-13,3.6038
2008-08-20,3.8131
2008-08-27,3.5387
2008-09-03,3.8516
2008-09-10,4.2501
2008-09-17,4.5403
2008-09-24,12.1562
2008-10-01,6.575
2008-10-08,10.5612
2008-10-15,6.9955
2008-10-22,9.9981
2008-10-29,9.3675
2008-11-05,8.4518
2008-11-12,7.5712
2008-11-19,8.092
2008-11-26,8.887599999999999
2008-12-03,8.4181
2008-12-10,6.4552
2008-12-17,6.366
2008-12-24,6.0594
2008-12-31,6.1294
2009-01-07,6.5186
2009-01-14,6.6272
2009-01-21,6.409
2009-01-28,6.4105
2009-02-04,6.6022
2009-02-11,7.3603
2009-02-18,7.0102
2009-02-25,6.973
2009-03-04,6.697
2009-03-11,6.358
2009-03-18,6.2959
2009-03-25,5.9555
2009-04-01,5.6251
2009-04-08,4.7059999999999995
2009-04-15,4.7112
2009-04-22,4.6917
2009-04-29,4.6684
2009-05-06,2.959
2009-05-13,2.7309
2009-05-20,2.9511
2009-05-27,2.9768
2009-06-03,2.8339
2009-06-10,2.7282
2009-06-17,2.7953
2009-06-24,2.672
2009-07-01,2.1391
2009-07-08,2.3521
2009-07-15,2.2357
2009-07-22,1.662
2009-07-29,1.7015
2009-08-05,1.6627
2009-08-12,1.2271
2009-08-19,1.2046000000000001
2009-08-26,1.2025000000000001
2009-09-02,1.1461999999999999
2009-09-09,1.0452
2009-09-16,1.3395000000000001
2009-09-23,1.2025000000000001
2009-09-30,0.8616
2009-10-07,0.5775
2009-10-14,0.7752
2009-10-21,0.6171
2009-10-28,0.2038
2009-11-04,-0.0267
2009-11-11,0.058
2009-11-18,-0.0349
2009-11-25,0.609
2009-12-02,0.6103
2009-12-09,0.5832
2009-12-16,0.586
2009-12-23,0.7339
2009-12-30,0.7773
2010-01-06,0.6102
2010-01-13,0.6469
2010-01-20,0.5096
2010-01-27,0.3034
2010-02-03,0.2623
2010-02-10,0.3326
2010-02-17,0.2333
2010-02-24,0.3462
2010-03-03,0.6589
2010-03-10,0.6066
2010-03-17,0.6262
2010-03-24,0.9303
2010-03-31,0.9274
2010-04-07,0.8188
2010-04-14,0.8021
2010-04-21,0.9012
2010-04-28,1.1237
2010-05-05,1.1006
2010-05-12,1.1278
2010-05-19,1.5796000000000001
2010-05-26,1.8231000000000002
2010-06-02,1.5566
2010-06-09,1.6811
2010-06-16,1.8308
2010-06-23,1.9702
2010-06-30,1.9978
2010-07-07,1.9441000000000002
2010-07-14,1.0139
2010-07-21,0.8638
2010-07-28,0.4818
2010-08-04,0.3767
2010-08-11,0.2756
2010-08-18,-1.2088
2010-08-25,-1.01
2010-09-01,-0.6897
2010-09-08,0.2996
2010-09-15,0.2239
2010-09-22,0.7967
2010-09-29,0.4328
2010-10-06,0.4217
2010-10-13,0.43
2010-10-20,0.0906
2010-10-27,0.6411
2010-11-03,0.6589
2010-11-10,0.5783
2010-11-17,0.6943
2010-11-24,0.9537
2010-12-01,1.3820000000000001
2010-12-08,1.1526
2010-12-15,1.1342
2010-12-22,1.4297
2010-12-29,1.5523
2011-01-05,1.5384
2011-01-12,1.0795
2011-01-19,0.9736
2011-01-26,1.2405
2011-02-02,1.1139000000000001
2011-02-09,0.2389
2011-02-16,0.9304
2011-02-23,0.1764
2011-03-02,0.2436
2011-03-09,0.2786
2011-03-16,0.5587
2011-03-23,0.9419
2011-03-30,2.2741
2011-04-06,2.8568
2011-04-13,2.3844
2011-04-20,3.5105
2011-04-27,4.2466
2011-05-04,3.0928
2011-05-11,2.5592
2011-05-18,2.2728
2011-05-25,2.4699
2011-06-01,2.2677
2011-06-08,3.1923
2011-06-15,2.7096
2011-06-22,2.5759
2011-06-29,2.7707
2011-07-06,2.741
2011-07-13,3.0159
2011-07-20,2.8676
2011-07-27,2.1035
2011-08-03,2.0539
2011-08-10,2.1534
2011-08-17,2.4963
2011-08-24,2.6305
2011-08-31,1.8045
2011-09-07,1.5936
2011-09-14,2.1104
2011-09-21,3.1292
2011-09-28,3.4189
2011-10-05,3.4411
2011-10-12,3.1582
2011-10-19,3.1593
2011-10-26,3.4039
2011-11-02,3.3522
2011-11-09,3.3165
2011-11-16,3.2731
2011-11-23,3.5093
2011-11-30,3.7084
2011-12-07,3.1957
2011-12-14,3.3162
2011-12-21,3.1144
2011-12-28,3.1221
2012-01-04,2.5937
2012-01-11,2.4286
2012-01-18,2.6317
2012-01-25,2.6426
2012-02-01,2.2795
2012-02-08,1.9421
2012-02-15,1.9938
2012-02-22,1.6118999999999999
2012-02-29,1.146
2012-03-07,1.0814
2012-03-14,1.0137
2012-03-21,1.252
2012-03-28,1.3247
2012-04-04,1.3241
2012-04-11,1.585
2012-04-18,1.4717
2012-04-25,1.5522
2012-05-02,0.6588
2012-05-09,0.612
2012-05-16,0.9719
2012-05-23,1.2036
2012-05-30,1.8794
2012-06-06,1.6945000000000001
2012-06-13,1.8749
2012-06-20,2.2846
2012-06-27,2.8859
2012-07-04,2.8963
2012-07-11,2.7872
2012-07-18,2.7213000000000003
2012-07-25,3.2661
2012-08-01,3.1063
2012-08-08,3.0061
2012-08-15,3.0055
2012-08-22,3.0388
2012-08-29,2.9722
2012-09-05,3.0521
2012-09-12,2.1716
2012-09-19,2.0785
2012-09-26,2.1219
2012-10-03,2.3697
2012-10-10,2.5421
2012-10-17,2.8776
2012-10-24,2.2122
2012-10-31,2.0038
2012-11-07,0.8361
2012-11-14,1.395
2012-11-21,2.0383
2012-11-28,1.884
2012-12-05,1.1956
2012-12-12,2.6455
2012-12-19,1.8197999999999999
2012-12-26,2.1433
2013-01-02,1.7179
2013-01-09,0.2456
2013-01-16,0.3072
2013-01-23,0.3051
2013-01-30,-0.4113
2013-02-06,-0.507
2013-02-13,0.2147
2013-02-20,-0.939
2013-02-27,-0.0856
2013-03-06,-0.6352
2013-03-13,0.284
2013-03-20,0.9181
2013-03-27,1.2559
2013-04-03,0.7499
2013-04-10,0.4365
2013-04-17,1.171
2013-04-24,0.9965
2013-05-01,1.5973000000000002
2013-05-08,1.5098
2013-05-15,2.822
2013-05-22,1.1044
2013-05-29,3.0715
2013-06-05,2.1383
2013-06-12,3.1486
2013-06-19,2.8584
2013-06-26,3.2843
2013-07-03,3.6922
2013-07-10,2.8302
2013-07-17,3.3006
2013-07-24,2.9172000000000002
2013-07-31,2.3554
2013-08-07,4.4603
2013-08-14,4.069
2013-08-21,6.2594
2013-08-28,5.6228
2013-09-04,4.0496
2013-09-11,4.4454
2013-09-18,4.1065
2013-09-25,3.6583
2013-10-02,4.1158
2013-10-09,4.0339
2013-10-16,4.358
2013-10-23,3.2782
2013-10-30,3.6305
2013-11-06,4.3872
2013-11-13,3.8890000000000002
2013-11-20,3.8369999999999997
2013-11-27,4.7218
2013-12-04,7.2473
2013-12-11,6.4616
2013-12-18,4.9287
2013-12-25,2.2631
2014-01-01,5.8911
2014-01-08,5.0309
2014-01-15,4.945
2014-01-22,5.7172
2014-01-29,8.2715
2014-02-05,7.8637
2014-02-12,5.8513
2014-02-19,5.2756
2014-02-26,6.2525
2014-03-05,5.0863
2014-03-12,6.368
2014-03-19,5.53
2014-03-26,5.0725999999999996
2014-04-02,4.7521
2014-04-09,4.3192
2014-04-16,4.6617
2014-04-23,4.5833
2014-04-30,4.8926
2014-05-07,4.6665
2014-05-14,4.2749
2014-05-21,4.0607
2014-05-28,4.9016
2014-06-04,4.2762
2014-06-11,4.0691
2014-06-18,4.3176
2014-06-25,4.1278
2014-07-02,4.3509
2014-07-09,4.2078
2014-07-16,4.1142
2014-07-23,4.2104
2014-07-30,4.5043
2014-08-06,4.518
2014-08-13,4.4759
2014-08-20,4.6514
2014-08-27,4.6162
2014-09-03,4.4979
2014-09-10,5.4365
2014-09-17,4.3061
2014-09-24,4.799
2014-10-01,5.5752
2014-10-08,4.4409
2014-10-15,4.2067
2014-10-22,4.5152
2014-10-29,4.2731
2014-11-05,4.3493
2014-11-12,4.4638
