,PENUSDCR Curncy
1999-01-13,97.1958
1999-01-20,97.9867
1999-01-27,95.7531
1999-02-03,94.1565
1999-02-10,94.8942
1999-02-17,95.144
1999-02-24,94.402
1999-03-03,95.5734
1999-03-10,95.9464
1999-03-17,97.2888
1999-03-24,96.8241
1999-03-31,98.8703
1999-04-07,98.1859
1999-04-14,99.2708
1999-04-21,99.567
1999-04-28,100.1429
1999-05-05,100.578
1999-05-12,100.9979
1999-05-19,101.2363
1999-05-26,101.1356
1999-06-02,101.2073
1999-06-09,101.0858
1999-06-16,101.7081
1999-06-23,101.7664
1999-06-30,102.1808
1999-07-07,102.7351
1999-07-14,103.0356
1999-07-21,103.0663
1999-07-28,102.913
1999-08-04,102.6475
1999-08-11,102.582
1999-08-18,102.2966
1999-08-25,102.3901
1999-09-01,101.7519
1999-09-08,101.1115
1999-09-15,101.4979
1999-09-22,101.1242
1999-09-29,100.1626
1999-10-06,100.2315
1999-10-13,100.2731
1999-10-20,100.5238
1999-10-27,100.1764
1999-11-03,100.3775
1999-11-10,100.7488
1999-11-17,101.2715
1999-11-24,101.0175
1999-12-01,101.3811
1999-12-08,101.9862
1999-12-15,102.4964
1999-12-22,102.0632
1999-12-29,101.665
2000-01-05,101.5541
2000-01-12,102.0501
2000-01-19,102.4941
2000-01-26,103.2272
2000-02-02,103.7568
2000-02-09,105.1298
2000-02-16,105.3775
2000-02-23,104.765
2000-03-01,106.516
2000-03-08,106.9107
2000-03-15,106.1163
2000-03-22,104.8889
2000-03-29,104.7679
2000-04-05,105.2692
2000-04-12,105.1381
2000-04-19,105.7071
2000-04-26,105.4872
2000-05-03,105.5376
2000-05-10,104.8786
2000-05-17,105.3891
2000-05-24,105.2678
2000-05-31,105.8949
2000-06-07,106.3934
2000-06-14,106.6819
2000-06-21,106.5741
2000-06-28,106.8252
2000-07-05,107.0536
2000-07-12,107.3921
2000-07-19,107.5201
2000-07-26,107.9337
2000-08-02,107.8736
2000-08-09,108.0435
2000-08-16,108.3497
2000-08-23,108.3781
2000-08-30,108.6113
2000-09-06,108.7686
2000-09-13,108.8494
2000-09-20,107.8995
2000-09-27,108.1321
2000-10-04,108.1342
2000-10-11,108.573
2000-10-18,108.8804
2000-10-25,108.4743
2000-11-01,108.6912
2000-11-08,108.231
2000-11-15,108.4913
2000-11-22,108.3602
2000-11-29,108.6844
2000-12-06,109.0201
2000-12-13,109.2637
2000-12-20,109.799
2000-12-27,109.0482
2001-01-03,109.8542
2001-01-10,110.0199
2001-01-17,110.1249
2001-01-24,109.9801
2001-01-31,109.9265
2001-02-07,110.114
2001-02-14,110.3522
2001-02-21,110.5294
2001-02-28,110.8785
2001-03-07,111.1727
2001-03-14,111.2303
2001-03-21,111.1679
2001-03-28,111.4232
2001-04-04,111.4162
2001-04-11,111.108
2001-04-18,110.1856
2001-04-25,109.9331
2001-05-02,110.1697
2001-05-09,109.8608
2001-05-16,110.3686
2001-05-23,110.9513
2001-05-30,110.2493
2001-06-06,112.7152
2001-06-13,113.9303
2001-06-20,113.6942
2001-06-27,114.0735
2001-07-04,114.1067
2001-07-11,114.3224
2001-07-18,115.1714
2001-07-25,115.5552
2001-08-01,115.3847
2001-08-08,115.8285
2001-08-15,115.9012
2001-08-22,116.0944
2001-08-29,116.4836
2001-09-05,116.592
2001-09-12,116.3646
2001-09-19,116.1777
2001-09-26,116.8563
2001-10-03,117.2334
2001-10-10,117.4623
2001-10-17,118.2225
2001-10-24,118.3373
2001-10-31,118.8413
2001-11-07,118.6727
2001-11-14,119.0731
2001-11-21,119.1645
2001-11-28,119.3377
2001-12-05,119.5933
2001-12-12,119.5455
2001-12-19,119.2535
2001-12-26,119.2774
2002-01-02,119.3801
2002-01-09,118.453
2002-01-16,118.8468
2002-01-23,118.7926
2002-01-30,118.1458
2002-02-06,118.0643
2002-02-13,118.4097
2002-02-20,118.5568
2002-02-27,118.5946
2002-03-06,119.0252
2002-03-13,119.3999
2002-03-20,119.2551
2002-03-27,119.7124
2002-04-03,119.6588
2002-04-10,119.8307
2002-04-17,120.2737
2002-04-24,120.1245
2002-05-01,120.2992
2002-05-08,120.2101
2002-05-15,119.7564
2002-05-22,119.0477
2002-05-29,119.2169
2002-06-05,119.2061
2002-06-12,119.1372
2002-06-19,119.0101
2002-06-26,117.8122
2002-07-03,117.5253
2002-07-10,116.8804
2002-07-17,117.0517
2002-07-24,117.0624
2002-07-31,115.9601
2002-08-07,116.9726
2002-08-14,116.2343
2002-08-21,115.7307
2002-08-28,115.0637
2002-09-04,114.0703
2002-09-11,115.4735
2002-09-18,115.5777
2002-09-25,114.5667
2002-10-02,115.0059
2002-10-09,115.4376
2002-10-16,115.3797
2002-10-23,116.2792
2002-10-30,116.2998
2002-11-06,116.0528
