,Return_Incl_Costs_BRLUSD Curncy,Return_Incl_Costs_PENUSD Curncy,Return_Incl_Costs_MXNUSD Curncy,Return_Incl_Costs_COPUSD Curncy,Return_Incl_Costs_CLPUSD Curncy,Return_Incl_Costs_CNYUSD Curncy,Return_Incl_Costs_KRWUSD Curncy,Return_Incl_Costs_IDRUSD Curncy,Return_Incl_Costs_INRUSD Curncy,Return_Incl_Costs_PHPUSD Curncy,Return_Incl_Costs_THBUSD Curncy,Return_Incl_Costs_TRYUSD Curncy,Return_Incl_Costs_RUBUSD Curncy,Return_Incl_Costs_ZARUSD Curncy,Return_Incl_Costs_CZKEUR Curncy,Return_Incl_Costs_HUFEUR Curncy,Return_Incl_Costs_PLNEUR Curncy
2000-01-05,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2000-01-12,100.74872204815053,100.43816542118901,100.34169462184545,100.37212886462666,102.03148662808998,100.00019215790773,100.0,100.0,99.90507219186964,100.0,98.8693241690446,100.0,105.30154955324772,100.0,100.0,100.16389874065123,102.17804693581073
2000-01-19,103.06311554323615,100.87515220951151,101.86800516782195,99.6774997113015,102.63434174583793,100.04172407335683,100.0,100.0,99.94114769882178,100.0,98.81988950696008,100.0,104.4368637948825,100.0,100.0,100.33998799436604,103.2762259836957
2000-01-26,103.98804316970534,101.59667251248273,100.99778510496921,97.57430533830261,102.69768904367525,100.09731724269092,100.0,100.0,99.95190372068348,100.0,98.81988950696008,100.0,104.47860371282532,100.0,100.0,100.51607724808086,104.00626337685345
2000-02-02,103.7744439088393,102.11790720414005,100.66543815309944,97.54377103564133,102.82776216190061,100.19611850343287,100.0,102.62622541086054,99.96665755598053,100.0,98.81988950696008,98.87750270777757,104.7218623936308,100.0,100.0,100.59444761654325,104.3275606593477
2000-02-09,104.97694350713587,103.46921995271457,102.77415247786676,98.46997821636634,103.26707567239905,100.22517222006948,100.0,96.86740087256203,100.02196064183691,100.0,98.81988950696008,98.82806395642368,104.42716470621079,100.0,100.0,100.62249409042118,105.16276826075465
2000-02-16,104.86719952598916,103.71300740196561,103.3086001528645,98.42074322725817,103.74186366968601,100.27797176280363,100.0,99.17918394320982,100.10039393399771,100.0,98.81988950696008,98.82806395642368,104.67832599635699,100.0,100.0,100.77124690757181,106.14356082292575
2000-02-23,104.50557972469798,103.11018215906576,103.2340371742089,98.42074322725817,104.97713597750554,100.31522011746654,100.0,99.26711454360698,100.13942020800924,100.0,98.81988950696008,98.82806395642368,104.63856057843928,100.0,100.0,100.42412741599988,106.35518716336749
2000-03-01,105.92381992983401,104.83352420040106,104.15324893778019,98.42074322725817,105.96060277642339,100.35349280188237,100.0,98.26327105112362,100.19615108437826,100.0,98.81988950696008,100.04538887634159,103.74664420284071,100.0,100.0,100.79343557361484,108.43195433237747
2000-03-08,107.4827197986107,105.22198970794832,105.19171367041882,98.42074322725817,105.0310867594971,100.38841313437868,100.0,99.26911477841526,100.36034699333125,100.0,98.81988950696008,100.46516959731392,103.4909247017901,100.0,100.0,100.95834173964465,109.86787211889418
2000-03-15,107.79455330601562,104.44013767046286,104.82112929359766,98.42074322725817,105.66825499690667,100.4357185448002,100.0,99.74902788928954,100.42726277535692,100.0,98.81988950696008,99.90058593835111,102.83861540697241,100.0,100.0,100.8322213618574,110.41393053639855
2000-03-22,108.52542145362838,103.23212509391536,105.5822133727349,98.42074322725817,106.2572792879594,100.47017327286316,100.0,98.93733543789486,100.42545424070761,100.0,98.81988950696008,99.93650015603933,102.49652543303966,100.0,100.0,101.13744865194037,112.36577937945272
2000-03-29,107.87819963310905,103.11303635205238,106.18700197738278,98.42074322725817,107.0282159026345,100.48935617551471,100.0,100.56956889566548,100.46257679403568,100.0,98.81988950696008,100.2743315645708,102.37240249981454,100.0,100.0,100.80612749059078,113.0080983893107
2000-04-05,107.81275474679063,103.60641805697578,105.12894056445691,98.42074322725817,106.14990561812616,100.51384696870537,100.0,103.5661197782957,100.4453481218501,100.0,98.81988950696008,99.56861750540445,102.32121629856464,100.0,100.0,100.75572442684549,109.12433252432838
2000-04-12,107.54307898824057,103.47738884988277,104.78822917587965,98.42074322725817,106.37362715831969,100.54746360878795,100.0,101.37531109691754,100.53577485431688,100.0,98.81988950696008,99.7736929110743,102.32121629856464,100.0,100.0,100.75572442684549,111.86261571064097
2000-04-19,106.63568363193005,104.0374011979806,104.91648387207083,98.42074322725817,105.68303603306846,100.58815743625668,100.0,104.30294536532763,100.5883175451822,100.0,98.81988950696008,100.28213038517892,102.32121629856464,100.0,100.18509319663997,100.75572442684549,110.40805202694165
2000-04-26,105.19950965426499,103.82097463322368,104.94563990859591,98.42074322725817,104.71878458116187,100.62410209850589,100.0,106.15619761662616,100.65732741995971,100.0,98.81988950696008,101.1882573963002,102.32121629856464,100.0,99.84565352161457,100.66240874858856,112.31002539132423
2000-05-03,104.61251318925302,103.87057853892564,105.50669445845618,98.42074322725817,104.32634807106213,100.66870700321374,100.0,106.08594895014735,100.78002221801165,100.0,98.81988950696008,102.40337381196905,102.32121629856464,100.0,99.79573069485376,100.61207754421427,111.39848901869065
2000-05-10,104.58414035510286,103.221987787789,103.4793939843139,98.42074322725817,102.5412212180186,100.73901327263866,100.0,108.38606298946054,99.98712255332907,100.0,98.81988950696008,101.24142251046779,102.32121629856464,100.0,101.43837671080324,100.61207754421427,110.99434149354063
2000-05-17,104.53184828492532,103.72442417391203,104.12600477250223,98.42074322725817,102.4899506074096,100.8393975884541,100.0,112.83885253050177,100.27915330617944,100.0,100.37905575413619,101.94154604530641,102.32121629856464,100.0,101.38765752244784,100.482900492195,110.93884432279387
2000-05-24,104.53184828492532,103.67256196182508,104.28668161859987,102.57211484547315,102.4899506074096,100.89452515335486,100.0,112.55982038974807,100.00054378414767,100.0,100.15266229173619,100.90075031176531,102.32121629856464,100.0,101.38765752244784,100.2758860398297,106.93163007757968
2000-05-31,104.53184828492532,103.67256196182508,104.23453827779058,100.81991514994887,102.4899506074096,100.94183056377638,100.0,113.49755126435178,99.95054351225559,100.0,100.23617767969272,99.79275150158783,102.32121629856464,100.0,100.03295922598902,100.2257480968098,107.17261201829923
2000-06-07,104.53184828492532,103.67256196182508,104.23453827779058,102.09557044304752,102.4899506074096,100.99416450207718,100.0,113.42026691023258,99.95054351225559,100.0,100.18605959085288,98.36658887308955,102.32121629856464,100.0,99.98294274637603,100.2257480968098,106.09631576760503
2000-06-14,104.53184828492532,103.90170720186785,104.23453827779058,100.99793220773692,102.4899506074096,101.05199257269062,100.0506863890303,112.1013527268078,99.95054351225559,100.0,100.18605959085288,98.31740557865301,102.32121629856464,100.0,99.32872207850251,100.2257480968098,106.04326760972124
2000-06-21,104.53184828492532,103.79671653300649,104.23453827779058,101.84382239989225,102.4899506074096,101.08421239947324,100.46560260305536,113.62370339454388,99.95054351225559,100.0,100.18605959085288,98.31740557865301,102.32121629856464,100.0,98.91008130564151,100.16505559232756,106.04326760972124
2000-06-28,104.53184828492532,104.04127271993589,104.23453827779058,101.98116506322644,102.4899506074096,101.11140369837658,100.16870057230737,114.14546948017929,99.95054351225559,100.0,100.18605959085288,98.31740557865301,102.32121629856464,100.0,98.8606262649887,100.1149730645314,106.04326760972124
2000-07-05,105.60480156572406,104.26372048216065,104.23453827779058,103.50669026518437,102.4899506074096,101.12360253452827,100.11861622202123,122.65985303496618,99.95054351225559,100.0,101.31893285940332,98.31740557865301,102.32121629856464,100.0,98.8606262649887,100.1149730645314,106.04326760972124
2000-07-12,105.86916268220696,104.5933989738999,104.23453827779058,103.14521147010736,102.4899506074096,101.14818644860519,100.11861622202123,123.33839836035429,99.95054351225559,100.0,102.42349979717157,98.31740557865301,102.32121629856464,100.0,98.8606262649887,100.1149730645314,106.04326760972124
2000-07-19,106.0130353737866,104.71806321893004,104.23453827779058,102.3203546167485,102.4899506074096,101.17640207726241,99.76337647384474,117.19139557544018,99.95054351225559,100.0,102.76785571184315,98.31740557865301,102.32121629856464,100.0,98.8606262649887,100.1149730645314,107.4779862324088
2000-07-26,107.11790894557542,105.12088456068248,105.15923219172637,103.176497586786,102.4899506074096,101.20862190404502,99.71349478560782,119.10438422591854,99.95054351225559,100.0,105.39443823944885,98.31740557865301,102.32121629856464,100.0,98.8606262649887,100.1149730645314,106.71316989124242
2000-08-02,106.94391414776999,105.06235080188354,105.55165748379542,103.36831601448388,102.4899506074096,101.25061942392745,99.71349478560782,115.10805758052969,99.95054351225559,100.0,104.57588149741548,98.31740557865301,102.32121629856464,100.0,98.8606262649887,100.1149730645314,106.6598133062968
2000-08-09,107.11685202956713,105.22782310837236,105.98320160915537,103.24436918444023,102.4899506074096,101.27147850253876,99.71349478560782,111.72295170119617,99.95054351225559,100.0,104.87118923414837,98.31740557865301,102.32121629856464,100.0,98.74258526719228,100.1149730645314,108.7744126770351
2000-08-16,106.38942958711044,105.52604335702995,107.78320911018687,103.50225942550168,102.4899506074096,101.29773859257543,99.71349478560782,108.47013805087656,99.95054351225559,100.0,104.54581300621699,98.31740557865301,102.32121629856464,100.0,98.69321397455869,99.8860281711653,108.20770136809945
2000-08-23,105.94169354325139,105.55370323639549,106.96124975138635,103.45050829578894,102.4899506074096,101.31226545089373,99.71349478560782,108.41590298185112,99.95054351225559,100.0,104.51902233645772,98.31740557865301,102.32121629856464,100.0,98.69321397455869,99.83608515707972,109.7889157665725
