,PENUSD Curncy
1999-01-13,0.30627
1999-01-20,0.30792
1999-01-27,0.30007
1999-02-03,0.29424
1999-02-10,0.29568
1999-02-17,0.29546
1999-02-24,0.29214
1999-03-03,0.29468
1999-03-10,0.29446
1999-03-17,0.29744
1999-03-24,0.29494
1999-03-31,0.30003
1999-04-07,0.29682
1999-04-14,0.29904
1999-04-21,0.29895
1999-04-28,0.29976
1999-05-05,0.30021
1999-05-12,0.30084
1999-05-19,0.30093
1999-05-26,0.30007
1999-06-02,0.29971
1999-06-09,0.29877
1999-06-16,0.30003
1999-06-23,0.29958
1999-06-30,0.30012
1999-07-07,0.30111
1999-07-14,0.30143
1999-07-21,0.30097
1999-07-28,0.30007
1999-08-04,0.29881
1999-08-11,0.29819
1999-08-18,0.297
1999-08-25,0.29695
1999-09-01,0.29481
1999-09-08,0.29265
1999-09-15,0.29342
1999-09-22,0.29197
1999-09-29,0.2888
1999-10-06,0.2886
1999-10-13,0.28822
1999-10-20,0.28839
1999-10-27,0.28673
1999-11-03,0.28665
1999-11-10,0.28702
1999-11-17,0.28785
1999-11-24,0.2864
1999-12-01,0.28669
1999-12-08,0.28778
1999-12-15,0.2886
1999-12-22,0.28677
1999-12-29,0.28506
2000-01-05,0.28417
2000-01-12,0.28498
2000-01-19,0.28563
2000-01-26,0.28706
2000-02-02,0.28793
2000-02-09,0.29116
2000-02-16,0.29129
2000-02-23,0.28914
2000-03-01,0.29351
2000-03-08,0.29416
2000-03-15,0.29154
2000-03-22,0.28776
2000-03-29,0.28702
2000-04-05,0.28797
2000-04-12,0.28719
2000-04-19,0.28826
2000-04-26,0.28719
2000-05-03,0.28686
2000-05-10,0.28461
2000-05-17,0.28555
2000-05-24,0.28477
2000-05-31,0.28604
2000-06-07,0.2869
2000-06-14,0.28719
2000-06-21,0.2864
2000-06-28,0.28661
2000-07-05,0.28673
2000-07-12,0.28719
2000-07-19,0.2871
2000-07-26,0.28776
2000-08-02,0.28723
2000-08-09,0.28735
2000-08-16,0.28785
2000-08-23,0.2876
2000-08-30,0.28791
2000-09-06,0.28805
2000-09-13,0.28804
2000-09-20,0.28522
2000-09-27,0.28546
2000-10-04,0.2851
2000-10-11,0.28587
2000-10-18,0.2863
2000-10-25,0.28481
2000-11-01,0.28498
2000-11-08,0.28336
2000-11-15,0.28362
2000-11-22,0.28284
2000-11-29,0.28324
2000-12-06,0.28368
2000-12-13,0.28388
2000-12-20,0.2849
2000-12-27,0.28256
2001-01-03,0.28425
2001-01-10,0.28425
2001-01-17,0.28417
2001-01-24,0.28344
2001-01-31,0.283
2001-02-07,0.28312
2001-02-14,0.28336
2001-02-21,0.28348
2001-02-28,0.28405
2001-03-07,0.28445
2001-03-14,0.28425
2001-03-21,0.28372
2001-03-28,0.28401
2001-04-04,0.28362
2001-04-11,0.28244
2001-04-18,0.27964
2001-04-25,0.27843
2001-05-02,0.27851
2001-05-09,0.27723
2001-05-16,0.27799
2001-05-23,0.27894
2001-05-30,0.2767
2001-06-06,0.28236
2001-06-13,0.28498
2001-06-20,0.28396
2001-06-27,0.28449
2001-07-04,0.28417
2001-07-11,0.28429
2001-07-18,0.286
2001-07-25,0.28659
2001-08-01,0.28579
2001-08-08,0.28653
2001-08-15,0.28636
2001-08-22,0.2865
2001-08-29,0.28715
2001-09-05,0.28715
2001-09-12,0.28632
2001-09-19,0.28569
2001-09-26,0.2871
2001-10-03,0.28776
2001-10-10,0.28807
2001-10-17,0.28968
2001-10-24,0.28972
2001-10-31,0.29073
2001-11-07,0.29012
2001-11-14,0.2909
2001-11-21,0.29095
2001-11-28,0.2912
2001-12-05,0.29167
2001-12-12,0.29141
2001-12-19,0.29057
2001-12-26,0.29051
2002-01-02,0.29057
2002-01-09,0.28839
2002-01-16,0.28916
2002-01-23,0.28893
2002-01-30,0.28729
2002-02-06,0.28699
2002-02-13,0.28773
2002-02-20,0.28798
2002-02-27,0.28798
2002-03-06,0.28887
2002-03-13,0.28975
2002-03-20,0.28932
2002-03-27,0.29036
2002-04-03,0.29019
2002-04-10,0.29049
2002-04-17,0.29155
2002-04-24,0.29106
2002-05-01,0.29138
2002-05-08,0.29108
2002-05-15,0.2899
2002-05-22,0.2881
2002-05-29,0.28843
2002-06-05,0.28833
