,US0003M Index
1999-01-13,5.03016
1999-01-20,4.97109
1999-01-27,4.96969
1999-02-03,4.97344
1999-02-10,5.0
1999-02-17,5.0
1999-02-24,5.00375
1999-03-03,5.03
1999-03-10,5.02
1999-03-17,5.0
1999-03-24,5.0
1999-03-31,5.0
1999-04-07,5.0
1999-04-14,5.0
1999-04-21,5.0
1999-04-28,4.99625
1999-05-05,5.0
1999-05-12,5.0
1999-05-19,5.05
1999-05-26,5.0425
1999-06-02,5.0975
1999-06-09,5.1
1999-06-16,5.17625
1999-06-23,5.2175
1999-06-30,5.3675
1999-07-07,5.31
1999-07-14,5.31
1999-07-21,5.29125
1999-07-28,5.3125
1999-08-04,5.37375
1999-08-11,5.44
1999-08-18,5.48
1999-08-25,5.49563
1999-09-01,5.5225
1999-09-08,5.51875
1999-09-15,5.52
1999-09-22,5.515
1999-09-29,6.07875
1999-10-06,6.16375
1999-10-13,6.1775
1999-10-20,6.2225
1999-10-27,6.21125
1999-11-03,6.155
1999-11-10,6.06375
1999-11-17,6.10125
1999-11-24,6.10125
1999-12-01,6.12125
1999-12-08,6.12
1999-12-15,6.14
1999-12-22,6.18
1999-12-29,6.00375
2000-01-05,6.03
2000-01-12,6.03938
2000-01-19,6.0375
2000-01-26,6.04
2000-02-02,6.1
2000-02-09,6.1
2000-02-16,6.09
2000-02-23,6.11
2000-03-01,6.11
2000-03-08,6.13
2000-03-15,6.1725
2000-03-22,6.24625
2000-03-29,6.28
2000-04-05,6.27125
2000-04-12,6.28375
2000-04-19,6.31
2000-04-26,6.375
2000-05-03,6.6
2000-05-10,6.72
2000-05-17,6.80875
2000-05-24,6.82
2000-05-31,6.8625
2000-06-07,6.7975
2000-06-14,6.7925
2000-06-21,6.765
2000-06-28,6.78
2000-07-05,6.745
2000-07-12,6.73125
2000-07-19,6.74
2000-07-26,6.7125
2000-08-02,6.72
2000-08-09,6.68813
2000-08-16,6.6899999999999995
2000-08-23,6.6899999999999995
2000-08-30,6.68
2000-09-06,6.65438
2000-09-13,6.66
2000-09-20,6.66
2000-09-27,6.66
2000-10-04,6.8025
2000-10-11,6.79875
2000-10-18,6.76
2000-10-25,6.76
2000-11-01,6.75875
2000-11-08,6.75938
2000-11-15,6.7575
2000-11-22,6.75063
2000-11-29,6.73625
2000-12-06,6.6175
2000-12-13,6.58
2000-12-20,6.5
2000-12-27,6.43813
2001-01-03,6.28625
2001-01-10,5.65
2001-01-17,5.73875
2001-01-24,5.61
2001-01-31,5.42125
2001-02-07,5.41
2001-02-14,5.4
2001-02-21,5.37
2001-02-28,5.0525
2001-03-07,5.07375
2001-03-14,5.02
2001-03-21,4.87
2001-03-28,4.9025
2001-04-04,4.8100000000000005
2001-04-11,4.76
2001-04-18,4.8275
2001-04-25,4.34
2001-05-02,4.3075
2001-05-09,4.085
2001-05-16,4.03
2001-05-23,4.07
2001-05-30,4.0
2001-06-06,3.9275
2001-06-13,3.89
2001-06-20,3.75
2001-06-27,3.71
2001-07-04,3.8275
2001-07-11,3.76
2001-07-18,3.76
2001-07-25,3.7
2001-08-01,3.65625
2001-08-08,3.6375
2001-08-15,3.56
2001-08-22,3.5125
2001-08-29,3.5
2001-09-05,3.52
2001-09-12,3.15625
2001-09-19,2.78313
2001-09-26,2.59125
2001-10-03,2.5
2001-10-10,2.43
2001-10-17,2.41
2001-10-24,2.33
2001-10-31,2.2
2001-11-07,2.0
2001-11-14,2.02125
2001-11-21,2.13
2001-11-28,2.09625
2001-12-05,1.98125
2001-12-12,1.86313
2001-12-19,1.9024999999999999
2001-12-26,1.90375
2002-01-02,1.86375
2002-01-09,1.84375
2002-01-16,1.71563
2002-01-23,1.8
2002-01-30,1.8599999999999999
2002-02-06,1.9
2002-02-13,1.9
2002-02-20,1.9024999999999999
2002-02-27,1.91125
2002-03-06,1.92
2002-03-13,2.0
2002-03-20,1.99375
2002-03-27,2.0375
2002-04-03,2.02625
2002-04-10,1.98
2002-04-17,1.97
2002-04-24,1.94
2002-05-01,1.92
2002-05-08,1.89625
2002-05-15,1.92
2002-05-22,1.89625
2002-05-29,1.8987500000000002
2002-06-05,1.8912499999999999
2002-06-12,1.8868800000000001
2002-06-19,1.87438
2002-06-26,1.855
2002-07-03,1.8599999999999999
2002-07-10,1.8599999999999999
2002-07-17,1.8599999999999999
2002-07-24,1.8199999999999998
2002-07-31,1.82375
2002-08-07,1.76
2002-08-14,1.73313
2002-08-21,1.77
2002-08-28,1.8199999999999998
2002-09-04,1.7825
2002-09-11,1.81938
2002-09-18,1.8199999999999998
2002-09-25,1.7906300000000002
2002-10-02,1.77
2002-10-09,1.77
2002-10-16,1.8225
2002-10-23,1.83875
2002-10-30,1.70688
2002-11-06,1.6099999999999999
2002-11-13,1.4
2002-11-20,1.42
2002-11-27,1.42
2002-12-04,1.42
2002-12-11,1.41
2002-12-18,1.41
2002-12-25,1.4
2003-01-01,1.38
2003-01-08,1.38
2003-01-15,1.37
2003-01-22,1.3599999999999999
2003-01-29,1.34
2003-02-05,1.34875
2003-02-12,1.34
2003-02-19,1.34
2003-02-26,1.34
2003-03-05,1.3225
2003-03-12,1.23
2003-03-19,1.28625
