WEO Country Group Code	WEO Subject Code	Country Group Name	Subject Descriptor	Subject Notes	Units	Scale	Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	Estimates Start After
001	NGDP_RPCH	World	Gross domestic product, constant prices		Percent change			1.847	2.242	0.708	2.819	4.898	3.944	3.464	3.749	4.476	3.843	3.193	2.208	2.214	2.078	3.375	3.262	3.743	4.240	2.558	3.501	4.774	2.288	2.892	3.623	4.933	4.551	5.206	5.339	2.834	-0.577	4.766	4.220	4.541	4.586	4.624	4.624	
001	NGDP_RPCHMK	World	Gross domestic product, constant prices		Percent change (market exchange rates)			1.516	2.153	0.505	2.820	4.929	3.886	3.273	3.520	4.533	3.866	3.098	1.691	2.443	1.832	3.476	2.843	3.212	3.605	2.133	3.187	4.293	1.592	1.977	2.669	3.960	3.458	3.967	3.917	1.587	-2.046	3.742	3.306	3.707	3.732	3.749	3.728	
001	NGDPD	World	Gross domestic product, current prices		U.S. dollars	Billions		10,669.196	10,901.250	10,789.235	11,075.960	11,506.707	11,926.168	14,050.564	16,130.208	18,097.799	19,019.813	22,137.595	23,733.447	24,271.248	24,863.391	26,699.799	29,671.311	30,399.509	30,265.147	30,041.456	31,196.002	32,148.602	31,940.900	33,243.898	37,375.771	42,071.098	45,514.869	49,295.439	55,615.474	61,187.163	57,843.376	61,963.429	65,417.340	69,125.034	73,111.569	77,405.039	81,962.902	
001	NGDP_D	World	Gross domestic product, deflator		Index, 2000=100																																							
001	NGAP_NPGDP	World	Output gap		Percent of potential GDP																																							
001	PPPGDP	World	Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP		Current international dollar	Billions		11,294.676	12,610.254	13,453.104	14,361.731	15,613.964	16,713.877	17,660.892	18,838.556	20,330.915	21,888.862	24,804.429	26,402.954	27,861.214	29,052.173	30,594.137	32,340.318	34,162.693	36,262.754	37,572.144	39,429.964	42,193.341	44,109.001	46,086.911	48,741.270	52,590.902	56,666.903	61,504.783	66,622.188	69,947.117	70,040.547	74,004.249	78,092.199	82,698.914	87,747.271	93,320.221	99,336.199	
001	PPPPC	World	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP		Current international dollar	Units																																						
001	PPPSH	World	Gross domestic product based on purchasing-power-parity (PPP) share of world total	These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   Please note:   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, "Purchasing Power Parity Based Weights for the World Economic Outlook," in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.	Percent																																							
001	NID_NGDP	World	Investment		Percent of GDP			24.724	24.448	22.528	21.986	23.150	22.784	22.633	22.911	23.819	24.227	24.112	23.514	22.442	22.545	22.740	22.939	22.751	22.839	22.315	22.193	22.576	21.610	21.036	21.242	22.082	22.481	23.199	23.674	23.738	21.594	22.588	23.225	23.864	24.315	24.693	25.049	
001	NGSD_NGDP	World	Gross national savings		Percent of GDP			23.390	23.172	21.322	20.531	21.641	21.111	20.998	21.620	22.810	22.794	21.129	20.900	21.092	21.527	21.865	22.208	22.245	22.625	21.960	21.721	22.156	21.138	20.455	20.744	21.891	22.559	23.886	24.115	23.836	21.564	22.746	23.549	24.169	24.663	25.091	25.458	
001	PCPIPCH	World	Inflation, average consumer prices		Percent change			17.235	15.376	14.703	14.061	15.358	14.899	11.537	14.362	19.605	24.982	27.693	17.103	34.910	35.176	27.799	14.621	8.691	6.144	5.566	5.467	4.555	4.268	3.540	3.720	3.580	3.766	3.699	4.006	5.978	2.455	3.670	3.141	2.919	2.846	2.845	2.866	
001	PCPIEPCH	World	Inflation, end of period consumer prices		Percent change			n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	27.111	25.997	18.083	36.627	37.363	22.939	11.529	7.495	5.415	6.476	4.536	4.538	3.583	3.988	3.257	3.889	3.775	3.463	5.005	4.500	2.945	3.329	3.196	2.827	2.841	2.837	2.837	
001	FLIBOR3	World	Three-month London interbank offered rate (LIBOR)		Percent																																							
