Country,Subject Descriptor,Subject Notes,Units,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.588,3.041,5.000,5.000,5.000,5.000,5.000,5.000
Albania,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.176,1.798,2.840,2.926,3.000,3.000,3.000,3.000
Algeria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.957,4.933,10.400,6.900,5.500,9.200,12.000,15.200
Angola,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,41.945,26.257,24.593,14.994,9.995,8.995,6.495,6.495
Antigua and Barbuda,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-1.121,2.755,2.008,2.008,2.008,2.008,2.008,2.008
Argentina,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,24.796,19.219,13.551,11.500,9.800,8.700,7.400
Armenia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-1.077,2.562,4.000,4.000,4.000,4.000,4.000,4.000
Australia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.385,2.004,2.320,2.447,2.564,2.523,2.524,2.524
Austria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.543,2.304,2.200,2.200,2.200,2.200,2.100,2.100
Azerbaijan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,15.648,10.000,7.000,5.000,4.000,3.000,3.000,3.000
The Bahamas,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.770,2.008,2.409,2.554,2.294,2.221,2.210,2.028
Bahrain,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.262,1.422,2.692,4.682,2.093,1.578,1.573,1.515
