Country,Subject Descriptor,Subject Notes,Units,2008,2009,2010,2011,2012,2013,2014,2015
Islamic Republic of Afghanistan,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,3.242,-5.14,5,4,4,4,4,4
Albania,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,2.162,3.515,3,2.9,2.9,2.9,3,3
Algeria,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,4.863,5.753,5.253,5.053,4.853,4.653,4.453,4.453
Angola,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,13.17,13.987,11.162,12,10,7,6,6
Antigua and Barbuda,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,0.731,2.399,-1.126,4.384,2.141,2.182,2.182,2.182
Argentina,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,7.238,7.695,11,11,11,11,11,11
Armenia,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,5.202,6.604,7.087,4.556,4,4,4,4
Australia,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,3.685,2.108,3.063,3.116,2.952,2.513,2.544,2.422
Austria,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,1.474,1.08,1.141,2.12,1.7,1.7,1.9,2
Azerbaijan,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,15.4,0.676,7,5,3,3,3,3
The Bahamas,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,4.545,1.327,1.673,1.214,1.681,1.969,2.014,2.014
Bahrain,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,5.122,2.783,2.5,2.5,2.5,2.5,2.5,2.5
Bangladesh,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,6.031,8.505,7.426,6.442,5,4.488,4,4
Barbados,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,7.182,4.301,4.994,2.243,1.928,2.236,1.938,1.938
Belarus,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,13.3,10.113,10.035,9.997,7.022,5.026,5.026,5.026
Belgium,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,2.711,0,2.479,1.951,1.951,2.051,2.151,2.151
Belize,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,4.44,-0.392,5.9,2.5,2.5,2.5,2.5,2.5
Benin,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,9.897,-2.892,3.008,2.833,2.833,2.833,2.833,2.8
Bhutan,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,9.174,8.35,7,4.5,4.2,3.9,3.9,3.9
Bolivia,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,11.848,0.268,3.499,3.5,3.498,3.5,3.5,3.5
Bosnia and Herzegovina,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,3.809,-0.025,3.336,2,2.5,2.5,2.5,2.5
Botswana,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,13.678,5.846,6.602,5.914,5.494,5.394,5.194,5.194
