Country,Subject Descriptor,Subject Notes,Units,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,8.376,5.769,6.018,4.488,4.999,4.986,4.986,4.986
Albania,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.664,2.430,2.460,3.000,3.000,3.000,3.000,3.000
Algeria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.160,9.035,8.216,4.500,4.000,4.000,4.000,4.000
Angola,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,11.376,9.042,8.924,8.000,7.500,7.000,7.000,7.000
Antigua and Barbuda,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.027,1.839,2.309,3.070,3.101,2.885,2.937,2.641
Argentina,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,9.508,10.842,10.842,10.842,10.842,10.842,10.842,10.842
Armenia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.652,3.185,7.500,3.800,4.000,4.000,4.000,4.000
Australia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.993,2.204,2.200,2.605,2.218,2.513,2.524,2.524
Austria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.399,2.921,1.850,1.800,1.800,1.800,1.800,1.800
Azerbaijan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.550,-0.329,6.005,6.500,6.500,6.500,6.000,6.000
The Bahamas,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.174,0.738,1.000,1.900,1.969,1.969,1.969,1.969
Bahrain,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.178,2.580,2.526,2.000,2.000,2.000,2.000,2.000
Bangladesh,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,10.629,7.693,6.954,6.512,5.715,5.396,5.500,5.500
Barbados,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,9.541,2.408,2.646,2.466,2.669,3.220,3.058,3.699
Belarus,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,108.686,21.778,12.000,15.500,16.500,16.500,16.500,16.500
Belgium,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.190,2.081,1.350,1.094,1.154,1.198,1.227,1.252
Belize,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.462,0.618,2.000,2.000,2.000,2.000,2.000,2.000
Benin,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.827,6.770,3.041,2.765,2.753,2.774,2.799,2.799
Bhutan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,8.478,8.955,11.033,8.886,8.172,7.367,6.965,6.868
Bolivia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.900,4.532,4.417,4.157,3.970,4.033,4.033,4.033
Bosnia and Herzegovina,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.732,2.049,1.800,1.800,1.900,2.000,2.200,2.200
