Country	Subject Descriptor	Subject Notes	Units	Scale	Country/Series-specific Notes	2012	2013	2014	2015	2016	2017	2018	2019	Estimates Start After
Afghanistan	Inflation, end of period consumer prices	Expressed in end of the period, not annual average data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers? incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.	Index		Source: National Statistical Office Latest actual data: 2013 Harmonized prices: No Frequency of source data: Monthly Base year: 2011. The base is March 2011=100 Primary domestic currency: Afghan Afghani Data last updated: 06/2014	114.628	122.928	127.847	136.026	142.827	149.969	157.467	165.341	2013.0
Albania	Inflation, end of period consumer prices	Expressed in end of the period, not annual average data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers? incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.	Index		Source: National Statistical Office Latest actual data: 2013 Notes: CPI basket was expanded on December 2001 and again in 2007 Harmonized prices: No Frequency of source data: Monthly Base year: 2007. Dec 2007 = 100 Primary domestic currency: Albanian lek Data last updated: 08/2014	114.047	116.161	118.238	121.785	125.438	129.201	133.077	137.070	2013.0
Algeria	Inflation, end of period consumer prices	Expressed in end of the period, not annual average data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers? incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.	Index		Source: National Statistical Office Latest actual data: 2013 Harmonized prices: No Frequency of source data: Monthly Base year: 2001 Primary domestic currency: Algerian dinar Data last updated: 09/2014	158.480	160.300	167.571	174.274	181.245	188.495	196.035	203.876	2013.0
Angola	Inflation, end of period consumer prices	Expressed in end of the period, not annual average data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers? incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.	Index		Source: Central Bank. National Bank of Angola Latest actual data: 2013 Harmonized prices: No Frequency of source data: Monthly Base year: 2010 Primary domestic currency: Angolan kwanza Data last updated: 09/2014	121.447	130.782	140.406	150.515	160.900	171.520	182.326	193.812	2013.0
Antigua and Barbuda	Inflation, end of period consumer prices	Expressed in end of the period, not annual average data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers? incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.	Index		Source: National Statistical Office Latest actual data: 2013 Harmonized prices: No Frequency of source data: Monthly Base year: 2001. CPI Index = 100 in January 2001. Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2014	131.260	132.650	134.516	137.231	140.631	144.115	147.685	151.344	2013.0
Argentina	Inflation, end of period consumer prices	Expressed in end of the period, not annual average data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers? incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.	Index		Source: National Statistical Office Latest actual data: 2013 Notes: Consumer price data from January 2014 onwards reflect the new national CPI (IPCNu), which differs substantively from the preceding CPI (the CPI for the Greater Buenos Aires Area, CPI-GBA). Because of the differences in geographical coverage, weights, sampling, and methodology, the IPCNu data cannot be directly compared to the earlier CPI-GBA data. Because of this structural break in the data, staff forecasts for CPI inflation are not reported in the Fall 2014 World Economic Outlook. Following a declaration of censure by the IMF on February 1, 2013, the public release of a new national CPI by end-March 2014 was one of the specified actions in the IMF Executive Board?s December 2013 decision calling on Argentina to address the quality of its official CPI data. On June 6, 2014, the Executive Board recognized the implementation of the specified actions it had called for by end-March 2014 and the initial steps taken by the Argentine authorities to remedy the inaccurate provision of data. The Executive Board will review this issue again as per the calendar specified in December 2013 and in line with the procedures set forth in the Fund?s legal framework. Harmonized prices: No Frequency of source data: Monthly Base year: 1993 Primary domestic currency: Argentine peso Data last updated: 09/2014	330.105	366.237							2013.0
Armenia	Inflation, end of period consumer prices	Expressed in end of the period, not annual average data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers? incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.	Index		Source: National Statistical Office Latest actual data: 2013 Harmonized prices: No Frequency of source data: Monthly Base year: 1995 Primary domestic currency: Armenian dram Data last updated: 09/2014	254.159	268.280	274.618	284.504	295.884	307.719	320.028	332.829	2013.0
Australia	Inflation, end of period consumer prices	Expressed in end of the period, not annual average data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers? incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.	Index		Source: National Statistical Office. Australian Bureau of Statistics (via Time Series Plus & dXdata) Latest actual data: 2013 Harmonized prices: No. Data refer to calendar years Frequency of source data: Quarterly Base year: 2011/12 Primary domestic currency: Australian dollar Data last updated: 09/2014	102.000	104.800	107.228	110.207	112.707	115.695	118.615	121.608	2013.0
Austria	Inflation, end of period consumer prices	Expressed in end of the period, not annual average data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers? incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.	Index		Source: National Statistical Office Latest actual data: 2013 Harmonized prices: Yes Frequency of source data: Monthly Base year: 2005 Primary domestic currency: Euro Data last updated: 09/2014	118.050	120.411	122.506	124.589	126.707	128.861	131.051	133.279	2013.0
Azerbaijan	Inflation, end of period consumer prices	Expressed in end of the period, not annual average data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers? incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.	Index		Source: National Statistical Office Latest actual data: 2013 Harmonized prices: No Frequency of source data: Monthly Base year: 1995 Primary domestic currency: Azerbaijan manat Data last updated: 09/2014	223.434	231.523	236.154	245.364	253.951	264.109	274.674	285.661	2013.0
