Country,Subject Descriptor,Subject Notes,Units,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.588,3.041,3.000,4.000,5.000,5.000,5.000,5.000
Albania,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.176,1.798,2.478,2.933,3.000,3.000,3.000,3.000
Algeria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.957,4.933,9.000,4.800,6.200,6.300,11.400,10.400
Angola,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,41.125,23.667,20.006,12.000,10.000,8.000,7.000,6.000
Antigua and Barbuda,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-1.121,2.755,2.008,2.008,2.008,2.008,2.008,2.008
Argentina,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,24.796,40.453,20.200,13.000,9.000,5.000,5.000
Armenia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-1.077,2.663,4.700,4.150,4.036,4.036,4.036,4.036
Aruba,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.338,-0.314,0.500,1.600,1.800,1.940,2.065,2.143
Australia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.385,2.004,2.175,2.447,2.564,2.523,2.524,2.524
Austria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.533,2.285,1.862,2.100,2.100,2.100,2.100,2.000
Azerbaijan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,15.648,10.000,3.500,3.250,3.000,3.000,3.000,3.000
The Bahamas,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.770,2.008,2.985,2.785,2.386,2.258,2.224,2.034
Bahrain,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.262,1.422,2.853,4.292,2.525,1.802,1.583,1.508
Bangladesh,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.738,5.743,5.844,6.148,5.975,5.650,5.500,5.500
Barbados,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.828,6.567,0.000,1.450,2.304,2.370,2.315,2.361
Belarus,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,10.576,4.590,5.489,5.531,5.323,5.167,5.011,5.011
Belgium,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.204,2.059,1.938,1.554,1.978,1.873,2.083,1.954
Belize,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.148,1.071,1.646,2.077,1.486,1.509,1.674,1.747
Benin,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-2.652,2.982,1.731,2.779,1.715,2.607,1.858,1.846
Bhutan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.763,3.045,4.451,4.634,4.355,4.122,3.931,4.701
Bolivia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.001,2.713,3.700,4.488,4.500,4.500,4.500,4.500
Bosnia and Herzegovina,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.203,1.623,1.684,1.764,1.793,1.708,1.786,1.800
Botswana,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.986,3.184,4.421,3.590,3.800,4.000,3.950,3.950
Brazil,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.288,2.947,4.162,4.150,4.027,3.969,3.966,3.967
Brunei Darussalam,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-1.645,-0.024,0.500,0.500,0.500,0.500,0.500,0.500
Bulgaria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.502,1.796,3.000,2.300,2.300,2.300,2.300,2.300
Burkina Faso,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-1.635,2.074,2.000,2.000,2.000,2.000,2.000,2.000
Burundi,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,9.498,10.546,5.315,8.974,8.974,8.974,8.974,8.974
Cabo Verde,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.263,0.345,1.008,1.600,2.000,2.000,2.000,2.000
Cambodia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.881,2.231,3.526,3.185,3.083,3.042,3.000,3.000
Cameroon,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.292,0.786,0.992,1.092,2.000,2.000,2.000,2.000
Canada,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.388,1.808,2.702,2.128,2.099,2.109,2.068,2.034
Central African Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.700,4.200,3.637,3.410,3.000,2.991,2.991,3.017
Chad,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-4.888,7.170,-2.347,5.391,2.511,5.117,2.077,2.942
Chile,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.759,2.303,2.900,3.000,3.000,3.000,3.000,3.000
China,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.100,1.800,2.550,2.296,2.650,2.800,2.900,3.000
Colombia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.814,4.127,3.057,2.990,3.042,3.042,3.042,3.042
Comoros,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.800,2.887,6.151,2.819,1.854,1.485,1.496,1.567
Democratic Republic of the Congo,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,23.600,55.000,20.000,14.800,9.900,7.100,6.400,5.000
Republic of Congo,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.035,1.786,2.072,2.427,2.669,2.919,3.000,3.000
Costa Rica,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.767,2.573,2.200,3.000,3.000,3.000,3.000,3.000
Côte d'Ivoire,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.228,1.055,2.000,2.000,2.000,2.000,2.000,2.000
Croatia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.202,1.207,1.300,1.500,1.500,1.600,1.800,1.900
Cyprus,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.070,-0.422,2.378,2.006,1.900,1.900,2.000,2.000
Czech Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.010,2.365,2.600,2.100,2.000,2.000,2.000,2.000
Denmark,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.499,0.993,1.600,1.800,2.000,2.000,2.000,2.000
Djibouti,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.084,-1.033,1.500,2.500,2.500,2.500,2.500,2.500
Dominica,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.221,1.377,1.358,1.761,1.831,2.000,2.000,2.000
Dominican Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.695,4.204,4.101,4.121,4.033,4.033,4.033,4.033
Ecuador,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.120,-0.197,0.678,0.120,0.798,0.912,1.092,1.217
Egypt,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,13.969,29.764,14.384,11.060,10.192,7.928,7.228,7.194
El Salvador,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.931,2.035,1.402,2.000,2.000,2.000,2.000,2.000
Equatorial Guinea,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.000,-0.225,1.300,1.478,2.252,2.702,3.261,3.260
Eritrea,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000
Estonia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.353,3.760,3.000,2.500,2.300,2.200,2.100,2.100
Eswatini,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,8.682,4.706,5.532,4.864,5.800,5.200,5.700,5.400
Ethiopia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.674,13.628,10.500,8.000,8.000,8.000,8.000,8.000
Fiji,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.931,2.814,4.500,3.000,3.000,3.000,3.000,3.000
Finland,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.100,0.505,1.631,1.693,1.860,2.000,2.000,2.000
France,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.809,1.259,1.627,2.198,1.488,2.015,1.772,1.934
Gabon,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.071,1.057,2.800,2.500,2.500,2.540,2.540,2.540
The Gambia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.875,6.945,5.535,5.008,4.860,4.829,4.829,4.829
Georgia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.832,6.716,2.489,3.000,3.000,3.000,3.000,3.000
Germany,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.603,1.578,1.806,1.931,2.188,2.377,2.509,2.558
