,Spot_Incl_Signals
2000-01-11,100.0
2000-01-12,99.9912752873342
2000-01-13,99.94955558023426
2000-01-14,99.96894310766592
2000-01-17,100.11012717953247
2000-01-18,100.13088973257035
2000-01-19,100.11406068991943
2000-01-20,100.11740162398733
2000-01-21,100.16782360228265
2000-01-24,100.22575372964893
2000-01-25,100.22479588352833
2000-01-26,100.41293106473948
2000-01-27,100.48929226275426
2000-01-28,100.52589882970943
2000-01-31,100.51743304914253
2000-02-01,100.54632882736118
2000-02-02,100.66903030921488
2000-02-03,100.55194550855964
2000-02-04,100.47266326955089
2000-02-07,100.3884841755635
2000-02-08,100.29523893848636
2000-02-09,100.2076302770182
2000-02-10,100.19148854858717
2000-02-11,100.28279600749084
2000-02-14,100.24259229940132
2000-02-15,100.26392773353817
2000-02-16,100.26184638306495
2000-02-17,100.25840828225878
2000-02-18,100.25837092521202
2000-02-21,100.23719717119198
2000-02-22,100.25337390039414
2000-02-23,100.1959903812653
2000-02-24,100.20689416261915
2000-02-25,100.10151303973811
2000-02-28,100.18502232303871
2000-02-29,100.15467090411377
2000-03-01,100.0942638173904
2000-03-02,100.20069652669491
2000-03-03,100.22035831828988
2000-03-06,100.26133516135344
2000-03-07,100.22935043367217
2000-03-08,100.21633192487171
2000-03-09,100.03654638352468
2000-03-10,100.14140956577604
2000-03-13,100.12351275417733
2000-03-14,100.14527682839648
2000-03-15,100.09455169444576
2000-03-16,100.06100100643003
2000-03-17,100.03664298602878
2000-03-20,100.04167156219756
2000-03-21,100.0471394280659
2000-03-22,100.04822686869211
2000-03-23,100.04326605821541
2000-03-24,100.09604538023284
2000-03-27,100.08522882685054
2000-03-28,100.15189804380135
2000-03-29,100.17935782937168
2000-03-30,100.23788599490787
2000-03-31,100.17466780474415
2000-04-03,100.30535186668662
2000-04-04,100.40871951789705
2000-04-05,100.57471092455542
2000-04-06,100.54450714751364
2000-04-07,100.36895011909607
2000-04-10,100.3639909306899
2000-04-11,100.47508713940634
2000-04-12,100.52290380654985
2000-04-13,100.5655246889642
2000-04-14,100.79603576293903
2000-04-17,100.7963441624895
2000-04-18,100.67754576353633
2000-04-19,100.74036358913317
2000-04-20,100.82171412074393
2000-04-21,100.84133048103986
2000-04-24,100.77519013332164
2000-04-25,100.74774689036875
2000-04-26,100.86710791480827
2000-04-27,100.86117191484124
2000-04-28,100.88007766058338
