,0
0,2000-01-11
1,2000-01-12
2,2000-01-13
3,2000-01-14
4,2000-01-17
5,2000-01-18
6,2000-01-19
7,2000-01-20
8,2000-01-21
9,2000-01-24
10,2000-01-25
11,2000-01-26
12,2000-01-27
13,2000-01-28
14,2000-01-31
15,2000-02-01
16,2000-02-02
17,2000-02-03
18,2000-02-04
19,2000-02-07
20,2000-02-08
21,2000-02-09
22,2000-02-10
23,2000-02-11
24,2000-02-14
25,2000-02-15
26,2000-02-16
27,2000-02-17
28,2000-02-18
29,2000-02-21
30,2000-02-22
31,2000-02-23
32,2000-02-24
33,2000-02-25
34,2000-02-28
35,2000-02-29
36,2000-03-01
37,2000-03-02
38,2000-03-03
39,2000-03-06
40,2000-03-07
41,2000-03-08
42,2000-03-09
43,2000-03-10
44,2000-03-13
45,2000-03-14
46,2000-03-15
47,2000-03-16
48,2000-03-17
49,2000-03-20
50,2000-03-21
51,2000-03-22
52,2000-03-23
53,2000-03-24
54,2000-03-27
55,2000-03-28
56,2000-03-29
57,2000-03-30
58,2000-03-31
59,2000-04-03
60,2000-04-04
61,2000-04-05
62,2000-04-06
63,2000-04-07
64,2000-04-10
65,2000-04-11
66,2000-04-12
67,2000-04-13
68,2000-04-14
69,2000-04-17
70,2000-04-18
71,2000-04-19
72,2000-04-20
73,2000-04-21
74,2000-04-24
75,2000-04-25
76,2000-04-26
77,2000-04-27
78,2000-04-28
79,2000-05-01
80,2000-05-02
81,2000-05-03
82,2000-05-04
83,2000-05-05
84,2000-05-08
85,2000-05-09
86,2000-05-10
87,2000-05-11
88,2000-05-12
89,2000-05-15
90,2000-05-16
91,2000-05-17
92,2000-05-18
93,2000-05-19
94,2000-05-22
95,2000-05-23
96,2000-05-24
97,2000-05-25
98,2000-05-26
99,2000-05-29
100,2000-05-30
101,2000-05-31
102,2000-06-01
103,2000-06-02
104,2000-06-05
105,2000-06-06
106,2000-06-07
107,2000-06-08
108,2000-06-09
109,2000-06-12
110,2000-06-13
111,2000-06-14
112,2000-06-15
113,2000-06-16
114,2000-06-19
115,2000-06-20
116,2000-06-21
117,2000-06-22
118,2000-06-23
119,2000-06-26
120,2000-06-27
121,2000-06-28
122,2000-06-29
123,2000-06-30
124,2000-07-03
125,2000-07-04
126,2000-07-05
127,2000-07-06
128,2000-07-07
129,2000-07-10
130,2000-07-11
131,2000-07-12
132,2000-07-13
133,2000-07-14
134,2000-07-17
135,2000-07-18
136,2000-07-19
137,2000-07-20
138,2000-07-21
139,2000-07-24
140,2000-07-25
141,2000-07-26
142,2000-07-27
143,2000-07-28
144,2000-07-31
145,2000-08-01
146,2000-08-02
147,2000-08-03
148,2000-08-04
149,2000-08-07
150,2000-08-08
151,2000-08-09
152,2000-08-10
153,2000-08-11
154,2000-08-14
155,2000-08-15
156,2000-08-16
157,2000-08-17
158,2000-08-18
159,2000-08-21
160,2000-08-22
161,2000-08-23
162,2000-08-24
163,2000-08-25
164,2000-08-28
165,2000-08-29
166,2000-08-30
167,2000-08-31
168,2000-09-01
169,2000-09-04
170,2000-09-05
171,2000-09-06
172,2000-09-07
173,2000-09-08
174,2000-09-11
175,2000-09-12
176,2000-09-13
177,2000-09-14
178,2000-09-15
179,2000-09-18
180,2000-09-19
181,2000-09-20
182,2000-09-21
183,2000-09-22
184,2000-09-25
185,2000-09-26
186,2000-09-27
187,2000-09-28
188,2000-09-29
189,2000-10-02
190,2000-10-03
191,2000-10-04
192,2000-10-05
193,2000-10-06
194,2000-10-09
195,2000-10-10
196,2000-10-11
197,2000-10-12
