,Inflation_Differential_ARSUSD Curncy
2000-01-11,-4.07225
2000-01-12,-4.07225
2000-01-13,-4.07225
2000-01-14,-4.07225
2000-01-17,-4.07225
2000-01-18,-4.07225
2000-01-19,-4.07225
2000-01-20,-4.07225
2000-01-21,-4.07225
2000-01-24,-4.07225
2000-01-25,-4.07225
2000-01-26,-4.07225
2000-01-27,-4.07225
2000-01-28,-4.07225
2000-01-31,-4.07225
2000-02-01,-4.07225
2000-02-02,-3.9834999999999994
2000-02-03,-3.9834999999999994
2000-02-04,-3.9834999999999994
2000-02-07,-3.9834999999999994
2000-02-08,-3.9834999999999994
2000-02-09,-3.9834999999999994
2000-02-10,-3.9834999999999994
2000-02-11,-3.9834999999999994
2000-02-14,-3.9834999999999994
2000-02-15,-3.9834999999999994
2000-02-16,-3.9834999999999994
2000-02-17,-3.9834999999999994
2000-02-18,-3.9834999999999994
2000-02-21,-3.9834999999999994
2000-02-22,-3.9834999999999994
2000-02-23,-3.9834999999999994
2000-02-24,-3.9834999999999994
2000-02-25,-3.9834999999999994
2000-02-28,-3.9834999999999994
2000-02-29,-3.9834999999999994
2000-03-01,-3.9834999999999994
2000-03-02,-3.89475
2000-03-03,-3.89475
2000-03-06,-3.89475
2000-03-07,-3.89475
2000-03-08,-3.89475
2000-03-09,-3.89475
2000-03-10,-3.89475
2000-03-13,-3.89475
2000-03-14,-3.89475
2000-03-15,-3.89475
2000-03-16,-3.89475
2000-03-17,-3.89475
2000-03-20,-3.89475
2000-03-21,-3.89475
2000-03-22,-3.89475
2000-03-23,-3.89475
2000-03-24,-3.89475
2000-03-27,-3.89475
2000-03-28,-3.89475
2000-03-29,-3.89475
2000-03-30,-3.89475
2000-03-31,-3.89475
2000-04-03,-3.89475
2000-04-04,-3.8059999999999996
2000-04-05,-3.8059999999999996
2000-04-06,-3.8059999999999996
2000-04-07,-3.8059999999999996
2000-04-10,-3.8059999999999996
2000-04-11,-3.8059999999999996
2000-04-12,-3.8059999999999996
2000-04-13,-3.8059999999999996
2000-04-14,-3.8059999999999996
2000-04-17,-3.8059999999999996
2000-04-18,-3.8059999999999996
2000-04-19,-3.8059999999999996
2000-04-20,-3.8059999999999996
2000-04-21,-3.8059999999999996
2000-04-24,-3.8059999999999996
2000-04-25,-3.8059999999999996
2000-04-26,-3.8059999999999996
2000-04-27,-3.8059999999999996
2000-04-28,-3.8059999999999996
2000-05-01,-3.8059999999999996
2000-05-02,-3.7172500000000004
2000-05-03,-3.7172500000000004
2000-05-04,-3.7172500000000004
2000-05-05,-3.7172500000000004
2000-05-08,-3.7172500000000004
2000-05-09,-3.7172500000000004
2000-05-10,-3.7172500000000004
2000-05-11,-3.7172500000000004
2000-05-12,-3.7172500000000004
2000-05-15,-3.7172500000000004
2000-05-16,-3.7172500000000004
2000-05-17,-3.7172500000000004
2000-05-18,-3.7172500000000004
2000-05-19,-3.7172500000000004
2000-05-22,-3.7172500000000004
2000-05-23,-3.7172500000000004
2000-05-24,-3.7172500000000004
