,Return_Incl_Costs_BRLUSD Curncy,Return_Incl_Costs_ARSUSD Curncy,Return_Incl_Costs_MXNUSD Curncy,Return_Incl_Costs_COPUSD Curncy,Return_Incl_Costs_CLPUSD Curncy,Return_Incl_Costs_PENUSD Curncy,Return_Incl_Costs_TRYUSD Curncy,Return_Incl_Costs_RUBUSD Curncy,Return_Incl_Costs_ZARUSD Curncy,Return_Incl_Costs_CNYUSD Curncy,Return_Incl_Costs_KRWUSD Curncy,Return_Incl_Costs_IDRUSD Curncy,Return_Incl_Costs_INRUSD Curncy,Return_Incl_Costs_PHPUSD Curncy,Return_Incl_Costs_THBUSD Curncy,Return_Incl_Costs_CZKEUR Curncy,Return_Incl_Costs_HUFEUR Curncy,Return_Incl_Costs_PLNEUR Curncy
2000-01-10,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2000-01-11,100.31946078113103,100.0,100.25116986984396,99.82749091675322,100.0,100.0,100.0,101.51895540849969,100.0,100.0,100.0,101.60881347570532,100.00095840190708,100.0,100.0,100.0,100.0,100.31105705517798
2000-01-12,100.58452266773612,100.0,100.20104428490905,100.04247151027644,100.0,100.0,100.0,102.02204736278264,100.0,99.95753957462985,100.0,100.75808106663135,99.95095792270614,100.0,100.0,100.0,100.0,100.02412528855912
2000-01-13,100.53423040640226,100.0,99.70167027642536,100.60715377563557,100.0,100.0,100.10796647583672,101.65572863672816,100.0,99.96247287654795,100.0,100.60464019877368,99.95095792270614,100.0,100.0,100.0,99.81088095876478,99.97411322591485
2000-01-14,100.53423040640226,100.0,99.19412824127605,100.78537106038557,100.0,100.36106688528223,100.60154103244203,101.62650038527859,100.0,99.91249164010968,100.0,99.17037159883218,99.95095792270614,100.0,100.0,100.0,99.83137511737937,99.97411322591485
2000-01-17,100.53423040640226,100.0,98.75361125712482,100.88598908889622,100.0,100.35989491982211,100.81918375108881,101.63273433516338,100.0,99.91249164010968,100.0,101.27292257994192,99.95095792270614,100.0,100.0,100.0,99.78145942982069,99.97411322591485
2000-01-18,100.53423040640226,100.0,98.70423445149626,101.51192085505194,100.0,100.31565322368712,100.73086128937632,101.46157891916565,100.0,99.91249164010968,100.0,101.25789321874873,99.95095792270614,100.0,100.0,100.0,99.78145942982069,99.97411322591485
2000-01-19,100.53423040640226,100.0,98.70423445149626,100.73964406660096,100.0,100.09962092379516,100.5835628237032,101.18429130156403,100.0,99.91249164010968,100.0,102.11869022948747,99.95095792270614,100.0,100.0,100.0,99.78145942982069,99.97411322591485
2000-01-20,100.53423040640226,100.0,98.70423445149626,101.40328132019984,100.0,100.14151868900889,100.58536856347166,101.13758088186532,100.0,99.87276034464789,100.0,101.22869506335762,99.95095792270614,100.0,100.0,100.0,100.15183127344419,99.97411322591485
2000-01-21,100.53423040640226,100.0,98.70423445149626,101.40983611942671,100.0,100.35550004934461,100.82578119056889,101.03761386591356,100.0,99.87936008533299,100.0,102.05187754122112,99.95095792270614,100.0,100.0,100.0,99.65285354810797,99.97411322591485
2000-01-24,100.53423040640226,100.0,98.70423445149626,101.6514491752993,100.0,100.46947369038142,101.02692188533517,100.91120402844255,100.0,99.89395387811687,100.0,102.03943325929971,99.95095792270614,100.0,100.0,100.0,99.57487812594589,99.97411322591485
2000-01-25,100.53423040640226,100.0,98.70423445149626,101.81713703585534,100.0,100.43958857113806,101.00763252218348,101.01489831535355,100.0,99.90510836941624,100.0,102.30470592396503,99.95095792270614,100.0,100.0,99.7375027204167,99.50606906899897,99.97411322591485
2000-01-26,100.53423040640226,99.96564161261732,98.55364716112761,102.9110666742669,100.0,100.815594156393,100.98826778408014,101.22473127517816,100.0,99.91802898850453,100.0,103.82147720187858,99.95095792270614,100.0,100.0,99.68763396905649,99.5568537889694,99.97411322591485
2000-01-27,100.53423040640226,99.97575143540621,98.73642605432333,103.59014984634415,100.0,101.1778291474864,101.44414216265325,101.08950008008043,100.0,99.92676667335579,100.0,103.18282998426506,99.95095792270614,100.0,100.0,99.68763396905649,99.59801159108802,99.97411322591485
2000-01-28,100.53423040640226,100.02143638933128,99.1779683415081,103.0892178407466,100.0,100.6984952741275,101.9903241941287,101.2639141606748,100.0,99.9777984710507,100.0,103.93420841922901,99.95095792270614,100.0,100.0,99.68763396905649,99.45261662504942,99.97411322591485
2000-01-31,100.53423040640226,99.99711558922557,99.35295952479561,103.45464610069185,100.0,100.92800517681498,101.80189357806495,101.23516848826502,100.0,99.99267112611652,100.0,103.50326183943446,99.95095792270614,100.0,99.74406951409034,99.68763396905649,99.4028903167369,99.97411322591485
2000-02-01,100.53423040640226,100.0229624003191,99.10088125189932,102.94162008018277,100.0,101.37950487048575,102.18885653339716,100.95885900391511,100.0,100.00596356158205,100.0,104.04628969268694,99.95095792270614,100.0,99.8312590991625,99.68763396905649,99.07409287199077,99.97411322591485
2000-02-02,100.53423040640226,100.03869938862273,99.05133081127337,102.94328111116681,99.56464659636137,101.33282157964082,102.0836599691426,100.90837957441316,100.0,100.01665328241086,100.0,106.60136390003417,99.95095792270614,100.0,99.99780078096634,99.68763396905649,99.02455582555478,99.97411322591485
2000-02-03,100.53423040640226,100.03869938862273,98.1472184627,101.68125911113617,99.23330614667478,101.34463889803482,102.05103638954337,101.08399512353819,100.0,100.01693214469378,100.0,106.79182645924209,99.95095792270614,100.0,99.73866979224185,99.68763396905649,99.02455582555478,99.97411322591485
2000-02-04,100.53423040640226,100.04919071415884,97.79667076159912,101.96532794762919,99.33475579211996,101.35684687158252,101.90945879580934,101.06396523567386,100.0,100.01860531838838,100.0,105.0805271147132,99.95095792270614,100.0,99.68880045734574,99.48706280359426,99.02455582555478,99.97411322591485
2000-02-07,100.46435056122665,100.0191473728511,97.44391228173859,102.008477546457,99.2850884142239,101.4858607360297,101.92732415015861,100.81573822396945,100.0,100.02864436055799,100.0,104.19083147218267,99.95095792270614,100.0,99.68880045734574,99.43731927219247,98.94270987133675,99.97411322591485
2000-02-08,100.41411838594604,100.03917626705626,97.39519032559772,102.0872626046368,99.2850884142239,102.09870100810095,101.46000738342761,100.8484044656377,100.0,100.03803272406844,100.0,102.57816229576885,99.95095792270614,100.0,99.68880045734574,99.43731927219247,98.96167057333452,99.97411322591485
2000-02-09,100.41411838594604,100.03927164274258,97.39519032559772,102.0362189733345,99.2850884142239,102.67374539406994,101.13833154050927,100.57410119844853,100.0,100.04565495978999,100.0,100.61947625108367,99.95095792270614,100.0,99.68880045734574,99.43731927219247,98.84444047266501,99.97411322591485
2000-02-10,100.41411838594604,100.03946239411619,97.39519032559772,102.0362189733345,99.2850884142239,102.45937337858051,101.34105572679371,100.59803354846703,100.0,99.99563213231009,100.0,100.56916651295813,99.95095792270614,100.0,99.68880045734574,99.43731927219247,98.88412617622342,99.97411322591485
2000-02-11,100.41411838594604,99.98944266291913,97.39519032559772,102.0362189733345,99.2850884142239,102.64893879182182,101.77768487256594,101.21794686358791,100.0,99.99563213231009,100.0,100.56916651295813,99.95095792270614,100.0,99.68880045734574,99.43731927219247,98.80252163688381,99.97411322591485
2000-02-14,100.41411838594604,99.98944266291913,97.39519032559772,102.0362189733345,99.2850884142239,102.94251613968582,101.68272655503716,100.68079664679138,100.0,99.99563213231009,100.0,100.56916651295813,99.95095792270614,100.0,99.68880045734574,99.43731927219247,98.81611303875256,99.97411322591485
2000-02-15,100.41411838594604,99.94964392892295,97.39519032559772,102.0362189733345,99.2850884142239,102.74074275289681,101.42978424103838,100.61711079491664,100.0,99.99563213231009,100.0,100.56916651295813,99.95095792270614,100.0,99.68880045734574,99.43731927219247,98.76638321897732,99.97411322591485
