,Spot_Incl_Costs_BRLUSD Curncy,Spot_Incl_Costs_ARSUSD Curncy,Spot_Incl_Costs_MXNUSD Curncy,Spot_Incl_Costs_COPUSD Curncy,Spot_Incl_Costs_CLPUSD Curncy,Spot_Incl_Costs_PENUSD Curncy,Spot_Incl_Costs_TRYUSD Curncy,Spot_Incl_Costs_RUBUSD Curncy,Spot_Incl_Costs_ZARUSD Curncy,Spot_Incl_Costs_CNYUSD Curncy,Spot_Incl_Costs_KRWUSD Curncy,Spot_Incl_Costs_IDRUSD Curncy,Spot_Incl_Costs_INRUSD Curncy,Spot_Incl_Costs_PHPUSD Curncy,Spot_Incl_Costs_THBUSD Curncy,Spot_Incl_Costs_CZKEUR Curncy,Spot_Incl_Costs_HUFEUR Curncy,Spot_Incl_Costs_PLNEUR Curncy
2000-01-10,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2000-01-11,100.36896300346277,100.0,100.61557267884322,99.87399239543727,100.0,100.0,100.0,101.55102974828378,100.0,100.0,100.0,101.61972206011087,99.90648672181106,100.0,100.0,100.0,100.0,100.60933403361344
2000-01-12,100.66249314567723,100.0,100.5652648925038,100.12144082332762,100.0,100.0,100.0,102.07659574468089,100.0,99.94172462328201,100.0,100.78888285941684,99.85653347845016,100.0,100.0,100.0,100.0,100.36895460451856
2000-01-13,100.6121618991044,100.0,99.83872302188225,100.71648773006137,100.0,100.0,100.310548470564,101.75477214101464,100.0,99.94172462328201,100.0,100.65051661849714,99.85653347845016,100.0,100.0,100.0,99.61912401324167,100.31877012721631
2000-01-14,100.6121618991044,100.0,99.96186376185231,100.92933717579253,100.0,100.32087198515771,101.57731007964846,101.75477214101464,100.0,99.89175376097037,100.0,99.2238157988461,99.85653347845016,100.0,100.0,100.0,99.51775629610786,100.31877012721631
2000-01-17,100.6121618991044,100.0,100.72639044454334,101.06525586764141,100.0,100.278886477404,101.13731691843232,101.78394495412844,100.0,99.89175376097037,100.0,101.34617315387416,99.85653347845016,100.0,100.0,100.0,99.46799741795981,100.31877012721631
2000-01-18,100.6121618991044,100.0,100.67602724932108,101.71097773475314,100.0,100.1914166695838,101.15225391789514,101.63824792442027,100.0,99.89175376097037,100.0,101.34617315387416,99.85653347845016,100.0,100.0,100.0,99.46799741795981,100.31877012721631
2000-01-19,100.6121618991044,100.0,100.67602724932108,100.98754325259517,100.0,99.93600483074877,101.20761459102975,101.37704169046259,100.0,99.89175376097037,100.0,102.22375798047995,99.85653347845016,100.0,100.0,100.0,99.46799741795981,100.31877012721631
2000-01-20,100.6121618991044,100.0,100.67602724932108,101.67160828333658,100.0,99.93600483074877,101.20761459102975,101.37704169046259,100.0,99.85007498750004,100.0,101.34617315387418,99.85653347845016,100.0,100.0,100.0,99.74940290796471,100.31877012721631
2000-01-21,100.6121618991044,100.0,100.67602724932108,101.69128919860628,100.0,100.10744565407639,101.57452033726074,101.29027104136948,100.0,99.85007498750004,100.0,102.17876842954598,99.85653347845016,100.0,100.0,100.0,99.3675139228653,100.31877012721631
2000-01-24,100.6121618991044,100.0,100.67602724932108,101.9478362119154,100.0,100.17742150033256,101.97501544060881,101.2036488027366,100.0,99.85007498750004,100.0,102.17876842954598,99.85653347845016,100.0,100.0,100.0,99.77496656837167,100.31877012721631
2000-01-25,100.6121618991044,100.0,100.67602724932108,102.12620528771386,100.0,100.10744565407636,101.98401369923455,101.3481016271767,100.0,99.85834209091017,100.0,102.45683656957931,99.85653347845016,100.0,100.0,100.30953237410074,98.91308931651074,100.31877012721631
2000-01-26,100.6121618991044,99.95,100.35778780956736,103.25023584905662,100.0,100.43633213148036,102.08591720353535,101.58008583690987,100.0,99.85834209091017,100.0,103.99426278462113,99.85653347845016,100.0,100.0,100.25937760791369,99.44365761169507,100.31877012721631
2000-01-27,100.6121618991044,99.959995,100.72171527752839,103.94483577364466,100.0,100.75472223194595,102.90853557416735,101.46396113175193,100.0,99.85834209091017,100.0,103.36151591600506,99.85653347845016,100.0,100.0,100.25937760791369,99.36751392286531,100.31877012721631
2000-01-28,100.6121618991044,99.95,101.19490454393289,103.45356439543131,100.0,100.23690096965029,103.32483642601316,101.66735395189004,100.0,99.86660919432032,100.0,104.13419675562534,99.85653347845016,100.0,100.0,100.25937760791369,99.19029797446782,100.31877012721631
2000-01-31,100.6121618991044,99.959995,101.24343927033287,103.84210318244715,100.0,100.42233696222914,103.24176813778857,101.66735395189004,100.0,99.86660919432032,100.0,103.71552006552005,99.85653347845016,100.0,99.76233571160346,100.25937760791369,99.1407028254806,100.31877012721631
2000-02-01,100.6121618991044,99.959995,101.24343927033287,103.35180011804057,100.0,100.82819687051493,103.78702448168644,101.43497142857142,100.0,99.87487629773042,100.0,104.26670284431138,99.85653347845016,100.0,99.76233571160346,100.25937760791369,98.88906032015696,100.31877012721631
2000-02-02,100.6121618991044,99.959995,101.19281755069771,103.35180011804057,99.5782275145942,100.74072706269473,103.94453918967534,101.38425394285713,100.0,99.87487629773042,100.0,106.84997698857099,99.85653347845016,100.0,99.98761761385022,100.25937760791369,98.83961578999688,100.31877012721631
2000-02-03,100.6121618991044,99.95,100.60469011943516,102.10635568513123,99.26029919151347,100.71273672419225,103.86105522699062,101.59615958621191,100.0,99.8666091943203,100.0,107.05526821395635,99.85653347845016,100.0,99.7248873873874,100.25937760791369,98.83961578999688,100.31877012721631
2000-02-04,100.6121618991044,99.979985,100.1201000933593,102.40491228070181,99.37800319653537,100.68124759337698,103.85172270488535,101.59615958621191,100.0,99.85834209091017,100.0,105.3549500831947,99.85653347845016,100.0,99.67502494369371,100.56842085071945,98.83961578999688,100.31877012721631
2000-02-07,100.50851678571948,99.95,99.88425702331935,102.46483323581045,99.32831419493711,100.7687174011972,104.09257082707104,101.39179949509021,100.0,99.85834209091017,100.0,104.47784819620493,99.85653347845016,100.0,99.67502494369371,100.51813664029409,98.46089532882822,100.31877012721631
2000-02-08,100.45826252732662,99.95,99.83431489480769,102.56485747754786,99.32831419493711,101.33902054818498,103.72240682054014,101.4501041526492,100.0,99.85834209091017,100.0,102.88058714918762,99.85653347845016,100.0,99.67502494369371,100.51813664029409,98.05860362166243,100.31877012721631
2000-02-09,100.45826252732662,99.959995,99.83431489480769,102.51357504880909,99.32831419493711,101.87083697973185,103.42654604435248,101.18825989185947,100.0,99.85834209091017,100.0,100.92763005361543,99.85653347845016,100.0,99.67502494369371,100.51813664029409,98.4356554171828,100.31877012721631
2000-02-10,100.45826252732662,99.959995,99.83431489480769,102.51357504880909,99.32831419493711,101.61892393320964,103.79634537882104,101.2463306292436,100.0,99.80841291986472,100.0,100.87716623858863,99.85653347845016,100.0,99.67502494369371,100.51813664029409,98.08365051913923,100.31877012721631
2000-02-11,100.45826252732662,99.91001500250002,99.83431489480769,102.51357504880909,99.32831419493711,101.7658732103476,104.34219189058038,101.88953573286571,100.0,99.80841291986472,100.0,100.87716623858863,99.85653347845016,100.0,99.67502494369371,100.51813664029409,98.46089532882822,100.31877012721631
2000-02-14,100.45826252732662,99.91001500250002,99.83431489480769,102.51357504880909,99.32831419493711,102.01778625686983,104.24043709378293,101.39179949509023,100.0,99.80841291986472,100.0,100.87716623858863,99.85653347845016,100.0,99.67502494369371,100.51813664029409,98.08365051913923,100.31877012721631
2000-02-15,100.45826252732662,99.86005999499878,99.83431489480769,102.51357504880909,99.32831419493711,101.77986837959884,104.56403336160588,101.36267229040908,100.0,99.80841291986472,100.0,100.87716623858863,99.85653347845016,100.0,99.67502494369371,100.51813664029409,98.46089532882822,100.31877012721631
2000-02-16,100.45826252732662,99.86005999499878,99.83431489480769,102.51357504880909,99.32831419493711,101.91632127979837,104.38813477995798,101.56691486554807,100.0,99.80841291986472,100.0,100.87716623858863,99.85653347845016,100.0,99.67502494369371,100.51813664029409,98.25933771300666,100.31877012721631
2000-02-17,100.45826252732662,99.85007498750002,99.83431489480769,102.51357504880909,99.32831419493711,101.7203889102811,104.43470793871315,101.65469958021148,100.0,99.76676686809961,100.0,100.87716623858863,99.85653347845016,100.0,99.67502494369371,100.51813664029409,98.30964971388376,100.31877012721631
2000-02-18,100.45826252732662,99.80014995000627,99.83431489480769,102.51357504880909,99.32831419493711,101.48596982532293,104.79513374135782,101.77198218716875,100.0,99.76676686809961,100.0,100.87716623858863,99.67608218833033,100.0,99.67502494369371,100.51813664029409,98.30964971388376,100.31877012721631
2000-02-21,100.45826252732662,99.72033676531265,99.83431489480769,102.51357504880909,99.32831419493711,100.90167150908391,104.57585986540744,101.88953573286574,100.0,99.7585087134048,100.0,100.87716623858863,99.71958986279053,100.0,99.67502494369371,100.51813664029409,98.63793778125608,100.31877012721631
2000-02-22,100.83843039579607,99.72033676531265,99.83431489480769,102.51357504880909,99.32831419493711,101.00313648615537,104.02757225953802,101.94841440130426,100.0,99.7667668680996,100.0,100.75907384581458,99.71958986279053,100.0,99.67502494369371,100.51813664029409,99.01946667932695,100.31877012721631
