,Return_Ex_Costs_ARSUSD Curncy
2000-01-10,100.0
2000-01-11,100.0
2000-01-12,100.0
2000-01-13,100.0
2000-01-14,100.0
2000-01-17,100.0
2000-01-18,100.0
2000-01-19,100.0
2000-01-20,100.0
2000-01-21,100.0
2000-01-24,100.0
2000-01-25,100.0
2000-01-26,100.015649437336
2000-01-27,100.025764317565
2000-01-28,100.071472125394
2000-01-31,100.047139158805
2000-02-01,100.072998899769
2000-02-02,100.088743760503
2000-02-03,100.088743760503
2000-02-04,100.099240334326
2000-02-07,100.069181963833
2000-02-08,100.089220877495
2000-02-09,100.089316300893
2000-02-10,100.08950714769
2000-02-11,100.08950714769
2000-02-14,100.08950714769
2000-02-15,100.099718444313
2000-02-16,100.099813876992
2000-02-17,100.100004742349
2000-02-18,100.100004742349
2000-02-21,100.030094978313
2000-02-22,100.070343164429
2000-02-23,100.030381102858
2000-02-24,100.04058621166
2000-02-25,100.04058621166
2000-02-28,100.000636337825
2000-02-29,100.040681557421
2000-03-01,100.010647642724
2000-03-02,100.010647642724
2000-03-03,100.010647642724
2000-03-06,100.010647642724
2000-03-07,100.010647642724
2000-03-08,100.010647642724
2000-03-09,99.970805459381
2000-03-10,100.011124223864
2000-03-13,99.971282040521
2000-03-14,99.981385560699
2000-03-15,99.981576193155
2000-03-16,99.981671509383
2000-03-17,100.002069182195
2000-03-20,99.982052774295
2000-03-21,99.962036366395
2000-03-22,99.972139886573
2000-03-23,99.9837684664
2000-03-24,99.984054415084
2000-03-27,99.97423684359
2000-03-28,99.974332159818
2000-03-29,99.974522792274
2000-03-30,99.974618108502
2000-03-31,100.005023985264
2000-04-03,99.975094689643
2000-04-04,99.975285322099
2000-04-05,99.975285322099
2000-04-06,99.986056035336
2000-04-07,99.986056035336
2000-04-10,99.986151322496
2000-04-11,99.946321289491
2000-04-12,99.946321289491
2000-04-13,99.946321289491
2000-04-14,99.946321289491
2000-04-17,99.946321289491
2000-04-18,99.946321289491
2000-04-19,99.946321289491
2000-04-20,99.946321289491
2000-04-21,99.946321289491
2000-04-24,99.947082947759
2000-04-25,99.877200801638
2000-04-26,99.877391216205
2000-04-27,99.877391216205
2000-04-28,99.877391216205
2000-05-01,99.877391216205
2000-05-02,99.877391216205
2000-05-03,99.877391216205
2000-05-04,99.877391216205
2000-05-05,99.877391216205
2000-05-08,99.877391216205
2000-05-09,99.877391216205
2000-05-10,99.877391216205
2000-05-11,99.877391216205
2000-05-12,99.877391216205
2000-05-15,99.843152397868
2000-05-16,99.868926619449
2000-05-17,99.884714519016
2000-05-18,99.880339558895
2000-05-19,99.946344392023
2000-05-22,99.922091895701
2000-05-23,99.947866117283
2000-05-24,99.96365401685
2000-05-25,99.979632132074
2000-05-26,100.030134389121
2000-05-29,99.980297886875
2000-05-30,99.970406672689
2000-05-31,99.970596888346
2000-06-01,99.980773426018
2000-06-02,100.021194253221
2000-06-05,100.011207931206
2000-06-06,99.98134407299
2000-06-07,99.981534288647
2000-06-08,99.981819612133
2000-06-09,99.982104935619
2000-06-12,99.982295151276
2000-06-13,99.982295151276
2000-06-14,99.982295151276
2000-06-15,100.00246202035
2000-06-16,100.063152881054
2000-06-19,100.064389528686
2000-06-20,100.00445968191
2000-06-21,100.004649935392
2000-06-22,100.004840188874
2000-06-23,100.045269053763
2000-06-26,100.00541094932
2000-06-27,100.005601202802
2000-06-28,100.005696329543
2000-06-29,100.005886583025
2000-06-30,100.006076836507
2000-07-03,100.0365173936
2000-07-04,100.0365173936
2000-07-05,100.0365173936
2000-07-06,100.0365173936
2000-07-07,100.0365173936
2000-07-10,100.0365173936
2000-07-11,100.0365173936
2000-07-12,100.036612557081
2000-07-13,100.036802884043
2000-07-14,100.076961873034
2000-07-17,100.047080539993
2000-07-18,100.047270866955
2000-07-19,100.047461193917
2000-07-20,100.047556357398
2000-07-21,100.041846548537
2000-07-24,100.041846548537
2000-07-25,100.041846548537
2000-07-26,100.041846548537
2000-07-27,100.041846548537
2000-07-28,100.041846548537
