,Return_Incl_Costs_ARSUSD Curncy
2000-01-10,100.0
2000-01-11,100.0
2000-01-12,100.0
2000-01-13,100.0
2000-01-14,100.0
2000-01-17,100.0
2000-01-18,100.0
2000-01-19,100.0
2000-01-20,100.0
2000-01-21,100.0
2000-01-24,100.0
2000-01-25,100.0
2000-01-26,99.96564161261732
2000-01-27,99.97575143540621
2000-01-28,100.02143638933128
2000-01-31,99.99711558922557
2000-02-01,100.0229624003191
2000-02-02,100.03869938862273
2000-02-03,100.03869938862273
2000-02-04,100.04919071415884
2000-02-07,100.0191473728511
2000-02-08,100.03917626705626
2000-02-09,100.03927164274258
2000-02-10,100.03946239411619
2000-02-11,99.98944266291913
2000-02-14,99.98944266291913
2000-02-15,99.94964392892295
2000-02-16,99.94973921852451
2000-02-17,99.9499297977266
2000-02-18,99.89995483282775
2000-02-21,99.78026969109838
2000-02-22,99.82041735731926
2000-02-23,99.78055510104697
2000-02-24,99.79073472257699
2000-02-25,99.7408393552157
2000-02-28,99.65115867669938
2000-02-29,99.6910639480891
2000-03-01,99.66113499454681
2000-03-02,99.61130442704955
2000-03-03,99.61130442704955
2000-03-06,99.61130442704955
2000-03-07,99.61130442704955
2000-03-08,99.61130442704955
2000-03-09,99.52183552315645
2000-03-10,99.56197321564512
2000-03-13,99.52230996396554
2000-03-14,99.5323681091284
2000-03-15,99.53255788545205
2000-03-16,99.53265277361386
2000-03-17,99.55295884026326
2000-03-20,99.53303232626115
2000-03-21,99.51310581225904
2000-03-22,99.52316395742191
2000-03-23,99.53474031317491
2000-03-24,99.53502497766037
2000-03-27,99.52525149698296
2000-03-28,99.52534638514477
2000-03-29,99.52553616146842
2000-03-30,99.52563104963025
2000-03-31,99.55590037328069
2000-04-03,99.52610549044034
2000-04-04,99.52629526676398
2000-04-05,99.47653211913061
2000-04-06,99.43750547526064
2000-04-07,99.38778672252302
2000-04-10,99.3381874988099
2000-04-11,99.29861558575593
2000-04-12,99.24896627796305
2000-04-13,99.24896627796305
2000-04-14,99.24896627796305
2000-04-17,99.24896627796305
2000-04-18,99.24896627796305
2000-04-19,99.24896627796305
2000-04-20,99.24896627796305
2000-04-21,99.24896627796305
2000-04-24,99.20009776060535
2000-04-25,99.1307379001425
2000-04-26,99.13092689158783
2000-04-27,99.08136142814205
2000-04-28,99.08136142814205
2000-05-01,99.08136142814205
2000-05-02,99.08136142814205
2000-05-03,99.08136142814205
2000-05-04,99.08136142814205
2000-05-05,99.08136142814205
2000-05-08,99.08136142814205
2000-05-09,99.08136142814205
2000-05-10,99.08136142814205
2000-05-11,99.08136142814205
2000-05-12,99.08136142814205
2000-05-15,98.99787179783223
2000-05-16,99.02342781266636
2000-05-17,99.03908205053601
2000-05-18,99.03474412919861
2000-05-19,99.10019015980873
2000-05-22,99.07614298717846
2000-05-23,99.10169900201356
2000-05-24,99.1173532398832
2000-05-25,99.13319608302794
2000-05-26,99.18327078368159
2000-05-29,99.13385620149229
2000-05-30,99.12404872716488
2000-05-31,99.12423733243999
2000-06-01,99.13432771468057
2000-06-02,99.17440633573068
2000-06-05,99.16450455876522
2000-06-06,99.13489353050686
2000-06-07,99.13508213578197
2000-06-08,99.13536504369512
2000-06-09,99.13564795160828
2000-06-12,99.13583655688338
2000-06-13,99.08626863860493
2000-06-14,99.08626863860493
2000-06-15,99.05670164779924
2000-06-16,99.11681853252435
2000-06-19,99.11804348472104
2000-06-20,99.05868041673298
2000-06-21,99.05886887091724
2000-06-22,99.0590573251015
2000-06-23,99.09910383922087
2000-06-26,99.0596226876543
2000-06-27,99.05981114183857
2000-06-28,99.0599053689307
2000-06-29,99.06009382311495
2000-06-30,99.06028227729922
2000-07-03,99.0904349467539
2000-07-04,99.04088972928054
2000-07-05,99.04088972928054
2000-07-06,99.04088972928054
2000-07-07,99.04088972928054
2000-07-10,99.04088972928054
2000-07-11,99.04088972928054
2000-07-12,98.99146345366064
2000-07-13,98.99165179215014
2000-07-14,99.03139121344222
2000-07-17,99.0018220705848
