,Return_Ex_Costs_CNYUSD Curncy
2000-01-10,100.0
2000-01-11,100.0
2000-01-12,100.007543346303
2000-01-13,100.012479116106
2000-01-14,100.012479116106
2000-01-17,100.012479116106
2000-01-18,100.012479116106
2000-01-19,100.012479116106
2000-01-20,100.02271941924
2000-01-21,100.029329069444
2000-01-24,100.043944774826
2000-01-25,100.055116014608
2000-01-26,100.068056034022
2000-01-27,100.076806838518
2000-01-28,100.127915260521
2000-01-31,100.142810246897
2000-02-01,100.156122640971
2000-02-02,100.166828412429
2000-02-03,100.167107693424
2000-02-04,100.168783379391
2000-02-07,100.178837495195
2000-02-08,100.188239955345
2000-02-09,100.195873635863
2000-02-10,100.195873635863
2000-02-11,100.195873635863
2000-02-14,100.195873635863
2000-02-15,100.195873635863
2000-02-16,100.195873635863
2000-02-17,100.209272065186
2000-02-18,100.216622592384
2000-02-21,100.220344378307
2000-02-22,100.230858423539
2000-02-23,100.233091495093
2000-02-24,100.243698584973
2000-02-25,100.246862103008
2000-02-28,100.256538746408
2000-02-29,100.256538746408
2000-03-01,100.256538746408
2000-03-02,100.256538746408
2000-03-03,100.256538746408
2000-03-06,100.256538746408
2000-03-07,100.256538746408
2000-03-08,100.256538746408
2000-03-09,100.256538746408
2000-03-10,100.256538746408
2000-03-13,100.256538746408
2000-03-14,100.256538746408
2000-03-15,100.266578865491
2000-03-16,100.272807457885
2000-03-17,100.281360151919
2000-03-20,100.282196828509
2000-03-21,100.293817336707
2000-03-22,100.300975569757
2000-03-23,100.303392635462
2000-03-24,100.303392635462
2000-03-27,100.303392635462
2000-03-28,100.303392635462
2000-03-29,100.303392635462
2000-03-30,100.303392635462
2000-03-31,100.303392635462
2000-04-03,100.303392635462
2000-04-04,100.303392635462
2000-04-05,100.303392635462
2000-04-06,100.303392635462
2000-04-07,100.303392635462
2000-04-10,100.303392635462
2000-04-11,100.303392635462
2000-04-12,100.303392635462
2000-04-13,100.303392635462
2000-04-14,100.303392635462
2000-04-17,100.303392635462
2000-04-18,100.303392635462
2000-04-19,100.303392635462
2000-04-20,100.303392635462
2000-04-21,100.303392635462
2000-04-24,100.309891007439
2000-04-25,100.311469183491
2000-04-26,100.313975698396
2000-04-27,100.319545731519
2000-04-28,100.32836495063
2000-05-01,100.32836495063
2000-05-02,100.32836495063
2000-05-03,100.32836495063
2000-05-04,100.32836495063
2000-05-05,100.32836495063
2000-05-08,100.32836495063
2000-05-09,100.32836495063
2000-05-10,100.32836495063
2000-05-11,100.349417224039
2000-05-12,100.369913049692
2000-05-15,100.392356442489
2000-05-16,100.405989412494
2000-05-17,100.428340063998
2000-05-18,100.433255352503
2000-05-19,100.449299596114
2000-05-22,100.458202760199
2000-05-23,100.472484919251
2000-05-24,100.483242909187
2000-05-25,100.489271093203
2000-05-26,100.500956496064
2000-05-29,100.515980585457
2000-05-30,100.515887844164
2000-05-31,100.530355485802
2000-06-01,100.542319112541
2000-06-02,100.552984361184
2000-06-05,100.564947987923
2000-06-06,100.571810843572
2000-06-07,100.582476092215
2000-06-08,100.591471997592
2000-06-09,100.591471997592
2000-06-12,100.591471997592
2000-06-13,100.591471997592
2000-06-14,100.591471997592
2000-06-15,100.600185469553
2000-06-16,100.608064672922
2000-06-19,100.61575848327
2000-06-20,100.61983712972
2000-06-21,100.623544990129
2000-06-22,100.631516890008
2000-06-23,100.640044968948
2000-06-26,100.64106463056
2000-06-27,100.646162938622
2000-06-28,100.650612371113
2000-06-29,100.650612371113
2000-06-30,100.650612371113
2000-07-03,100.650612371113
2000-07-04,100.650612371113
2000-07-05,100.650612371113
2000-07-06,100.650612371113
2000-07-07,100.650612371113
2000-07-10,100.650612371113
2000-07-11,100.650612371113
2000-07-12,100.650612371113
2000-07-13,100.650612371113
2000-07-14,100.650612371113
2000-07-17,100.650612371113
2000-07-18,100.650612371113
2000-07-19,100.650612371113
2000-07-20,100.650612371113
2000-07-21,100.650612371113
2000-07-24,100.650612371113
2000-07-25,100.650612371113
2000-07-26,100.650612371113
