,Total_Excl_Signals
2000-01-11,100.0
2000-01-12,100.04188896112038
2000-01-13,100.23531618269668
2000-01-14,100.5327835608987
2000-01-17,100.51971523084799
2000-01-18,100.4286004344831
2000-01-19,100.32508346177856
2000-01-20,100.38841667955629
2000-01-21,100.47785012664804
2000-01-24,100.45820821330165
2000-01-25,100.35654116572482
2000-01-26,100.22556050152397
2000-01-27,100.24158251118877
2000-01-28,99.96244405369774
2000-01-31,100.03223592616241
2000-02-01,100.088643647916
2000-02-02,99.88438282956679
2000-02-03,100.10450700739788
2000-02-04,100.2679187254659
2000-02-07,100.3564220512527
2000-02-08,100.55944031143227
2000-02-09,100.74405453624618
2000-02-10,100.70510700506628
2000-02-11,100.66112964304773
2000-02-14,100.79518529476434
2000-02-15,100.73592962255572
2000-02-16,100.6875967577671
2000-02-17,100.7154243262075
2000-02-18,100.66660922018045
2000-02-21,100.58903700005662
2000-02-22,100.45836206223943
2000-02-23,100.66055678017815
2000-02-24,100.57563447673006
2000-02-25,100.89601372090448
2000-02-28,100.77544557028261
2000-02-29,100.9344712734725
2000-03-01,101.092335469031
2000-03-02,101.1000031993002
2000-03-03,101.09793826485306
2000-03-06,101.12572098287264
2000-03-07,101.1086877095408
2000-03-08,101.15265250962523
2000-03-09,101.42874321047154
2000-03-10,101.41027890413127
2000-03-13,101.30389602892801
2000-03-14,101.3679410516108
2000-03-15,101.25300089055656
2000-03-16,101.436181495163
2000-03-17,101.4363563116711
2000-03-20,101.38923290335025
2000-03-21,101.48320426923702
2000-03-22,101.56708445594343
2000-03-23,101.7116363104796
2000-03-24,101.47562730175085
2000-03-27,101.59094353780999
2000-03-28,101.60535421532079
2000-03-29,101.51177600753122
2000-03-30,101.11561286627683
2000-03-31,101.23237619219474
2000-04-03,101.02857562258254
2000-04-04,100.8311477031992
2000-04-05,100.78377608494914
2000-04-06,100.74679932746973
2000-04-07,101.01823054760548
2000-04-10,101.07869948869934
2000-04-11,101.0496473211627
2000-04-12,101.0684091082214
2000-04-13,101.07325032351763
2000-04-14,100.85437793955188
2000-04-17,100.51584139463449
2000-04-18,100.73557707716225
2000-04-19,100.71872764941963
2000-04-20,100.60939668278196
2000-04-21,100.57176958717993
2000-04-24,100.53170373135343
2000-04-25,100.6174542888275
2000-04-26,100.3978314506773
2000-04-27,100.38889072979416
2000-04-28,100.31203657542875
2000-05-01,100.27244778956315
2000-05-02,100.35590307954185
2000-05-03,100.1919303474287
2000-05-04,99.99221759942081
2000-05-05,99.75781063381747
2000-05-08,99.91837004564279
2000-05-09,99.63169717155225
2000-05-10,99.56046230405535
2000-05-11,99.53293685121646
2000-05-12,99.3268849047554
2000-05-15,99.34373542340327
2000-05-16,99.38961119308257
2000-05-17,99.35937216214562
2000-05-18,99.17947049578308
2000-05-19,99.12470838948967
2000-05-22,99.06269120710981
2000-05-23,99.01862924035048
2000-05-24,98.73429827236347
2000-05-25,98.90100233921726
2000-05-26,98.75692811133196
2000-05-29,98.86418115461097
2000-05-30,99.0562790239371
2000-05-31,99.25413789779923
2000-06-01,99.44519413436471
2000-06-02,99.72363811773137
2000-06-05,99.78931649009185
2000-06-06,99.53195003035441
2000-06-07,99.34715206914083
2000-06-08,99.11005561589675
2000-06-09,99.1468224389058
2000-06-12,99.2230396998592
2000-06-13,99.26659197303852
2000-06-14,99.44202345668617
2000-06-15,99.42280174111262
2000-06-16,99.33947050260855
2000-06-19,99.37349709814879
2000-06-20,99.37997458764617
2000-06-21,99.35536854692563
2000-06-22,99.32621060770147
2000-06-23,99.22189768494594
2000-06-26,99.2376399963013
2000-06-27,99.30554390654933
2000-06-28,99.42719964513941
2000-06-29,99.45953539530566
2000-06-30,99.56352142200218
2000-07-03,99.5561669419464
2000-07-04,99.64377298842064
2000-07-05,99.2792035041579
2000-07-06,99.2993818721163
2000-07-07,99.30914190120141
2000-07-10,99.38510490098554
2000-07-11,99.34702794835529
2000-07-12,99.34720978527062
2000-07-13,99.34592739812248
2000-07-14,99.34788351799193
2000-07-17,99.37799021308166
2000-07-18,99.50263960517796
2000-07-19,99.64559945281208
2000-07-20,99.76243868068343
2000-07-21,99.78009851075709
2000-07-24,99.74564937338148
2000-07-25,99.48827098779599
2000-07-26,99.39553736866412
2000-07-27,99.61260196390813
2000-07-28,99.50307852529625
2000-07-31,99.51794388004372
2000-08-01,99.56310710955002
2000-08-02,99.69929976689136
2000-08-03,99.82069781109836
2000-08-04,99.81883281844993
2000-08-07,99.80658676811923
2000-08-08,99.86752820047991
2000-08-09,99.98341570194617
2000-08-10,100.09597935142419
2000-08-11,100.2798509396701
2000-08-14,100.41101403921724
2000-08-15,100.31077187854025
2000-08-16,100.31886206450784
2000-08-17,100.37716191887988
2000-08-18,100.28638744150977
2000-08-21,100.46226790404022
2000-08-22,100.51615168971631
2000-08-23,100.27632168041802
2000-08-24,100.22741418077281
2000-08-25,100.35520944964486
2000-08-28,100.41189712661435
2000-08-29,100.2205292139307
2000-08-30,100.22158795278511
2000-08-31,100.2941433216782
2000-09-01,100.2835226041877
2000-09-04,100.32248119504708
2000-09-05,100.12050508649331
2000-09-06,100.13916910446568
2000-09-07,100.01067281586121
2000-09-08,100.06138058594209
2000-09-11,100.09962021162637
2000-09-12,99.87938270987964
2000-09-13,99.70627293231833
2000-09-14,99.79516650612341
2000-09-15,99.61487470165815
2000-09-18,99.2178996799637
2000-09-19,99.26385632575442
2000-09-20,98.9750895785971
2000-09-21,99.14623645561629
2000-09-22,99.08557645079432
2000-09-25,99.1478951579068
2000-09-26,99.29703206126543
2000-09-27,99.27006255682252
2000-09-28,99.29811685471226
2000-09-29,99.43703042754049
2000-10-02,99.43289214118805
2000-10-03,99.50116972124476
2000-10-04,99.39579374279975
2000-10-05,99.53596683746763
2000-10-06,99.47719203851274
2000-10-09,99.44635180344595
2000-10-10,99.27004764491522
2000-10-11,99.16897275344351
2000-10-12,98.7995858174207
2000-10-13,98.68729004626358
2000-10-16,98.78006770491524
2000-10-17,98.74961038486803
2000-10-18,98.65744675909471
2000-10-19,98.9187845213041
2000-10-20,98.7704238841929
2000-10-23,98.7052291712869
2000-10-24,98.74831202858871
2000-10-25,98.52560091575221
2000-10-26,98.27161596775146
2000-10-27,98.35729518171479
2000-10-30,98.27115960967413
2000-10-31,98.45121675598567
2000-11-01,98.69088955648279
2000-11-02,98.72608777120213
2000-11-03,98.74324384503863
2000-11-06,99.144355071535
2000-11-07,98.72301927039736
2000-11-08,98.67913932746487
2000-11-09,98.59612474142249
2000-11-10,98.75666320608288
2000-11-13,98.67515391535633
2000-11-14,98.870629806956
2000-11-15,98.88113490860464
2000-11-16,98.80147715152341
2000-11-17,98.68010054121704
2000-11-20,98.72089013312218
2000-11-21,98.84533731019374
2000-11-22,98.87770050305495
2000-11-23,98.78002977666769
2000-11-24,98.80080386062977
2000-11-27,98.79724079581801
2000-11-28,98.65872528283043
2000-11-29,98.6100429141963
2000-11-30,98.51261880103513
2000-12-01,98.68396052466406
2000-12-04,98.61282414116282
2000-12-05,98.94433516612564
2000-12-06,98.84323205662513
2000-12-07,98.80153319832867
2000-12-08,98.88513659214729
2000-12-11,99.13845624552471
2000-12-12,98.98076584497517
2000-12-13,99.07034682833468
2000-12-14,99.14369012776235
2000-12-15,99.26713202235567
2000-12-18,99.36811610314143
2000-12-19,99.5343329848368
2000-12-20,99.53385695525176
2000-12-21,99.39313125077928
2000-12-22,99.5145571002922
2000-12-25,99.5567995035352
2000-12-26,99.47453448760045
2000-12-27,99.1959569441775
2000-12-28,99.12909678695415
2000-12-29,98.98876950408311
2001-01-01,98.9084117013803
2001-01-02,99.0653089721311
2001-01-03,99.03090218602016
2001-01-04,99.08196456456348
2001-01-05,99.03935616458936
2001-01-08,99.18075509651268
2001-01-09,99.10364017736586
2001-01-10,98.82762612019407
2001-01-11,98.61348990186605
2001-01-12,98.77266886814932
2001-01-15,98.74066006950572
2001-01-16,98.7757545955748
2001-01-17,98.80827049406005
2001-01-18,98.66771925697681
2001-01-19,99.48670318512511
2001-01-22,99.54570520577613
2001-01-23,99.58427988938399
2001-01-24,99.7233769579696
2001-01-25,99.60666488340802
2001-01-26,99.59715742501666
2001-01-29,99.78822836939788
2001-01-30,99.95535583526014
2001-01-31,100.16428502671143
2001-02-01,100.02973779122487
2001-02-02,100.12554489744271
2001-02-05,100.00936953330817
2001-02-06,100.16563074435084
2001-02-07,99.95333894842778
2001-02-08,100.16016020067
2001-02-09,100.20633072347051
2001-02-12,100.3757475331344
2001-02-13,100.4304111824721
2001-02-14,100.3936366326557
2001-02-15,100.58066797051829
2001-02-16,100.52285183695896
2001-02-19,100.48961744863176
2001-02-20,100.59502775707313
2001-02-21,100.23556400866042
2001-02-22,98.44823815142477
2001-02-23,97.93841755890254
2001-02-26,98.39274598030691
2001-02-27,98.39116913628459
2001-02-28,98.7351430425868
2001-03-01,98.93866066405063
2001-03-02,98.88090874314216
2001-03-05,99.23409262958302
2001-03-06,99.35219491149488
2001-03-07,98.83355908082642
2001-03-08,99.3706653753792
2001-03-09,99.0115019719744
2001-03-12,98.42743316855616
2001-03-13,98.50786569884767
2001-03-14,98.24248826464883
2001-03-15,98.19031753652007
2001-03-16,97.82245788911186
2001-03-19,97.9328932494418
2001-03-20,98.20546517396586
2001-03-21,98.03427792876236
2001-03-22,97.76023266935738
2001-03-23,97.78517602404553
2001-03-26,98.07034297777759
2001-03-27,98.04421121896415
2001-03-28,98.01143718987001
2001-03-29,97.84037722153569
2001-03-30,97.57898492144469
2001-04-02,97.21246161236094
2001-04-03,96.61102440139585
2001-04-04,96.26713422401454
2001-04-05,96.61167018084471
2001-04-06,96.50233827522506
2001-04-09,96.44638202938948
2001-04-10,96.57040357791192
2001-04-11,96.85652694084298
2001-04-12,96.85879166855725
2001-04-13,97.22908852983069
2001-04-16,97.00039700894385
2001-04-17,96.75384126084215
2001-04-18,96.8169458594768
2001-04-19,96.72290978519756
2001-04-20,96.10202858473816
2001-04-23,96.01483636369012
2001-04-24,96.19509232102527
2001-04-25,96.08193060348054
2001-04-26,96.23438888328319
2001-04-27,97.02408533920583
2001-04-30,97.1852155116067
2001-05-01,97.25620941286513
2001-05-02,97.19996678880085
2001-05-03,97.42943425574305
2001-05-04,97.8450937472459
2001-05-07,97.96783222733484
2001-05-08,97.9048950978637
2001-05-09,97.80241431474278
2001-05-10,97.88417913506882
2001-05-11,97.7877651901483
2001-05-14,97.65768812330556
2001-05-15,97.55724135380581
2001-05-16,97.77294847036735
2001-05-17,98.11741879959281
2001-05-18,98.2881874777614
2001-05-21,98.20491694691808
2001-05-22,98.42762884183973
2001-05-23,98.51505063675354
2001-05-24,98.50082040767552
2001-05-25,98.6284887287728
2001-05-28,98.35837615477526
2001-05-29,98.49067618313167
2001-05-30,98.30102311552305
2001-05-31,98.45448374384077
2001-06-01,98.43354449522985
2001-06-04,98.67526182910096
2001-06-05,98.7472635191999
2001-06-06,98.77158754337437
2001-06-07,98.98089495227045
2001-06-08,99.06485513880192
2001-06-11,98.89298542202148
2001-06-12,98.8340546215694
2001-06-13,98.64241123263275
2001-06-14,98.83750134137787
2001-06-15,99.01502088184552
2001-06-18,98.47792555244264
2001-06-19,98.38556927577272
2001-06-20,98.29093284047691
2001-06-21,98.57249754613824
2001-06-22,98.88713686260232
2001-06-25,98.80520104237935
2001-06-26,98.86930817606022
2001-06-27,99.06997370553812
2001-06-28,99.17716040504084
2001-06-29,99.06305766200678
2001-07-02,98.97624819491034
2001-07-03,98.946047636519
2001-07-04,98.69949807831932
2001-07-05,98.54559598337933
2001-07-06,97.89820113988453
2001-07-09,97.85334079997223
2001-07-10,97.47584627305842
2001-07-11,96.98824945894266
2001-07-12,97.16307408664525
2001-07-13,97.26246140434898
2001-07-16,97.1130176526565
2001-07-17,97.23001642255637
2001-07-18,97.65750312712912
2001-07-19,97.83046920760808
2001-07-20,98.10817727262248
2001-07-23,98.93028205864505
2001-07-24,98.88033823618515
2001-07-25,98.83777956148734
2001-07-26,99.03279468224505
2001-07-27,99.03472331953196
2001-07-30,99.39286682127526
2001-07-31,99.34456546994895
2001-08-01,98.99338158845823
2001-08-02,99.16619174653133
2001-08-03,99.41849790129932
2001-08-06,99.46186712978357
2001-08-07,99.60832719743024
2001-08-08,99.71010683167077
2001-08-09,99.69171775079555
2001-08-10,99.99614035651908
2001-08-13,100.257666179141
2001-08-14,99.98746761133944
2001-08-15,99.74513756288471
2001-08-16,99.78740903082492
2001-08-17,99.79465134740612
2001-08-20,100.01849011309474
2001-08-21,99.96932072785381
2001-08-22,100.01763504081812
2001-08-23,100.24828103503076
2001-08-24,100.28510274493348
2001-08-27,100.33800766044118
2001-08-28,100.33836456675365
2001-08-29,100.44773879244545
2001-08-30,100.5906494788178
2001-08-31,100.60675913105776
2001-09-03,100.53566665521488
2001-09-04,100.54159711642198
2001-09-05,100.39316351277698
2001-09-06,100.40927713340497
2001-09-07,100.30458074975991
2001-09-10,100.13387043518215
2001-09-11,99.22302124161382
2001-09-12,99.5935479122043
2001-09-13,99.54934908065229
2001-09-14,99.35445013570077
2001-09-17,99.0623381003286
2001-09-18,99.02402653822823
2001-09-19,99.01278004065601
2001-09-20,98.88519526104243
2001-09-21,98.77319823055049
2001-09-24,98.97846993330913
2001-09-25,98.90178198326515
2001-09-26,98.91148815322455
2001-09-27,99.01842548359996
2001-09-28,99.078921770246
2001-10-01,98.76123498451392
2001-10-02,98.62593963535916
2001-10-03,98.57280712521639
2001-10-04,98.71255669665861
2001-10-05,98.54913399571676
2001-10-08,98.27724564353456
2001-10-09,98.45521571688623
2001-10-10,98.74195592742853
2001-10-11,99.34428398424892
2001-10-12,99.13534809714389
2001-10-15,99.43191023728147
2001-10-16,99.55832271300548
2001-10-17,99.49838112724456
2001-10-18,99.46515905435585
2001-10-19,99.38002575106546
2001-10-22,99.49172080526039
2001-10-23,99.61163339339573
2001-10-24,99.61723607440875
2001-10-25,99.5788391854812
2001-10-26,99.62804262005905
2001-10-29,99.66765037410269
2001-10-30,99.56674331527722
2001-10-31,99.70204559344971
2001-11-01,99.80817701082891
2001-11-02,99.8113923672307
2001-11-05,100.06193549212263
2001-11-06,100.34957474583598
2001-11-07,100.61654140188362
2001-11-08,101.01469661708654
2001-11-09,100.93023333073279
2001-11-12,100.72250711379921
2001-11-13,101.04688006971178
2001-11-14,101.1730672906711
2001-11-15,101.36546084020955
2001-11-16,101.50003962153974
2001-11-19,101.77835253853384
2001-11-20,101.7749244529663
2001-11-21,101.76172295486046
2001-11-22,101.71432723009714
2001-11-23,101.88646265614425
2001-11-26,102.39152771170677
2001-11-27,102.32992289947875
2001-11-28,102.32730930548973
2001-11-29,101.86947827370217
2001-11-30,102.13553155533722
2001-12-03,102.3458206896842
2001-12-04,102.52876353200759
2001-12-05,102.53591522799674
2001-12-06,102.62285811641574
2001-12-07,102.7414980880632
2001-12-10,103.16974341259844
2001-12-11,103.32558883212671
2001-12-12,103.53200645280548
2001-12-13,103.48044592262697
2001-12-14,102.87490870276808
2001-12-17,103.3472105469888
2001-12-18,103.66708016427282
2001-12-19,103.58684706161631
2001-12-20,102.95103795168914
2001-12-21,103.68070109137834
2001-12-24,103.99877320112618
2001-12-25,104.28330250203615
2001-12-26,104.3580033771186
2001-12-27,104.45267749767106
2001-12-28,104.4477611432528
2001-12-31,104.6887602599891
2002-01-01,104.8473734477764
2002-01-02,104.81175148075074
2002-01-03,105.21661158253899
