,Spot_Ex_Costs_BRLUSD Curncy,Spot_Ex_Costs_ARSUSD Curncy,Spot_Ex_Costs_MXNUSD Curncy,Spot_Ex_Costs_COPUSD Curncy,Spot_Ex_Costs_CLPUSD Curncy,Spot_Ex_Costs_PENUSD Curncy,Spot_Ex_Costs_TRYUSD Curncy,Spot_Ex_Costs_RUBUSD Curncy,Spot_Ex_Costs_ZARUSD Curncy,Spot_Ex_Costs_CNYUSD Curncy,Spot_Ex_Costs_KRWUSD Curncy,Spot_Ex_Costs_IDRUSD Curncy,Spot_Ex_Costs_INRUSD Curncy,Spot_Ex_Costs_PHPUSD Curncy,Spot_Ex_Costs_THBUSD Curncy,Spot_Ex_Costs_CZKEUR Curncy,Spot_Ex_Costs_HUFEUR Curncy,Spot_Ex_Costs_PLNEUR Curncy
2000-01-10,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2000-01-11,100.0,100.0,100.0,100.0,100.0,100.02807214541369,100.12932270614527,100.0,99.63578972927037,100.0,100.0,100.0,99.95646495428821,100.0,100.0,100.0,99.87261146496816,100.0
2000-01-12,99.70840167669037,100.0,100.0,100.0,100.0,99.99999999999999,100.11092533372293,100.0,100.08498239650358,99.99172048352376,100.0,100.0,99.95646495428821,100.0,100.0,100.0,99.71974522292994,100.23949579831934
2000-01-13,100.51029706579187,100.0,100.0,100.0,100.0,100.24212225419325,99.75109437310954,100.0,100.12747359475539,99.99172048352376,100.0,100.0,99.95646495428821,100.0,100.0,100.0,100.05095541401273,100.71848739495799
2000-01-14,101.02059413158375,100.0,100.0,100.0,100.0,100.61407818092495,98.5071073378461,100.0,100.13961393711303,99.99172048352376,100.0,100.0,100.00000000000001,100.0,100.0,100.0,100.05095541401273,100.71848739495799
2000-01-17,101.56734098778932,100.0,99.24098671726756,100.0,100.0,100.57196996280437,98.9356578954488,100.0,100.06677188296709,100.00000000000001,100.0,100.0,100.00000000000001,100.0,100.0,100.0,100.05095541401273,100.71848739495799
2000-01-18,101.67669035903043,100.0,101.79316888045541,100.0,100.0,100.48424450838654,98.92104821734871,100.0,99.64793007162801,100.00000000000001,100.0,100.0,100.00000000000001,100.0,100.0,100.36101083032491,100.05095541401273,100.71848739495799
2000-01-19,101.76781483506471,100.0,101.79316888045541,100.0,100.0,100.2280861814864,98.86693829845949,100.0,99.31407065679251,99.99172048352378,100.0,100.0,99.91292990857642,100.0,100.0,100.36101083032491,100.05095541401273,100.44722271936868
2000-01-20,102.27811190085657,100.0,101.58231776329413,100.0,100.0,100.2280861814864,98.86693829845949,100.0,99.54473716158795,100.00000000000003,100.0,100.0,99.8258598171528,100.0,100.0,100.36101083032491,99.71881485722464,100.58076840581265
2000-01-21,103.6449790413705,100.0,101.58231776329413,100.0,100.0,100.4000280721454,98.86693829845949,100.0,98.98628141313584,100.00000000000003,100.0,100.0,99.91292990857642,100.0,100.0,100.36101083032491,99.71881485722464,100.58076840581265
2000-01-24,103.6449790413705,100.0,100.89952456427928,100.0,100.0,100.4702084356797,98.86693829845949,100.0,98.98628141313584,100.00000000000003,100.0,100.0,99.73878972572922,100.0,100.0,100.36101083032491,99.31159151936973,100.4730314149771
2000-01-25,103.35089859010931,100.0,100.87067414741949,100.0,100.0,100.4000280721454,98.86693829845949,100.0,98.98628141313584,100.00827951647626,100.0,100.0,99.73878972572922,100.0,100.0,100.72202166064984,100.17694111231145,100.11667059913647
2000-01-26,103.33251856190549,100.0,100.87067414741949,100.0,100.0,100.72987578075654,98.86693829845949,100.0,98.98628141313584,100.00827951647626,100.0,100.0,99.73878972572922,100.0,100.0,100.72202166064984,100.17694111231145,100.11667059913647
2000-01-27,103.24061842088635,100.0,100.87067414741949,100.0,100.0,101.04919643483754,98.86693829845949,100.0,98.98628141313584,100.00827951647626,100.0,100.0,99.73878972572922,100.24301336573511,100.0,100.72202166064984,100.17694111231145,100.8662824705042
2000-01-28,102.17457678506447,100.0,100.87067414741949,100.0,100.0,100.52986174468384,98.86693829845949,100.0,98.98628141313584,100.01655903295251,100.0,100.0,99.73878972572922,100.08100445524502,100.0,100.72202166064984,100.35591982282351,101.22659314900693
2000-01-31,103.02005808244044,100.0,100.87067414741949,100.0,100.0,100.71583970804969,98.86693829845949,100.0,98.98628141313584,100.01655903295251,100.0,100.0,99.78232477144101,99.8379910895099,100.0,100.72202166064984,100.10023595066345,101.08164057719549
2000-02-01,103.02005808244044,100.0,100.87067414741949,100.0,100.0,101.12288581654853,98.86693829845949,100.0,98.98628141313584,100.02483854942874,100.0,100.0,99.78232477144101,99.87849331713242,100.0,100.72202166064984,100.10023595066345,101.08164057719549
2000-02-02,102.90977791321748,100.0,100.87067414741949,100.0,100.0,101.03516036213068,98.86693829845949,100.0,98.98628141313584,100.02483854942874,100.0,100.0,99.8258598171528,99.59497772377479,100.0,100.72202166064984,100.10023595066345,100.74450754224725
2000-02-03,103.05681813884809,100.0,100.87067414741949,100.0,100.0,101.00708821671697,98.86693829845949,100.0,98.98628141313584,100.0165590329525,100.0,100.0,99.8258598171528,99.59497772377479,100.0,100.72202166064984,100.10023595066345,100.41569877976687
2000-02-04,103.95743952083552,100.0,100.87067414741949,100.0,100.0,100.97550705312655,98.86693829845949,100.0,98.98628141313584,100.00827951647625,100.0,100.0,99.8258598171528,99.59497772377479,100.0,101.08303249097474,99.00499163873506,101.15239689317228
2000-02-07,103.90229943622406,100.0,100.87067414741949,100.0,100.0,101.0632325075444,98.86693829845949,100.0,98.98628141313584,100.00827951647625,100.0,100.0,99.78230577709297,99.59497772377479,100.0,101.08303249097474,99.33611201210876,101.38547652227228
2000-02-08,104.1596198310776,100.0,100.87067414741949,100.0,100.0,101.63520247034882,98.86693829845949,100.0,98.98628141313584,100.00827951647625,100.0,100.0,99.78230577709297,99.59497772377479,100.0,101.08303249097474,99.33611201210876,101.38547652227228
2000-02-09,103.92067946442789,100.0,100.87067414741949,100.0,100.0,102.16857323320934,98.86693829845949,100.0,98.98628141313584,100.00827951647625,100.0,100.0,99.8258598171528,99.4740121637864,100.0,101.08303249097474,98.95561107232795,100.57399524987906
2000-02-10,104.012579605447,100.0,100.89919554444516,100.0,100.0,101.91592392448592,98.86693829845949,100.0,98.98628141313584,100.00827951647625,100.0,100.0,99.78230577709297,99.83690884375157,100.0,101.08303249097474,99.31074528279005,101.2322887310552
2000-02-11,103.93905949263171,100.0,100.89919554444516,100.0,100.0,102.06330268790792,98.34973454395976,100.0,98.98628141313584,100.00827951647625,100.0,100.0,99.73875173703314,99.71594328376318,100.0,101.08303249097474,99.31074528279005,100.9590348332085
2000-02-14,103.71849915418582,100.0,101.18440951470176,100.0,100.0,102.31595199663134,98.44573910353964,100.0,98.98628141313584,100.0165590329525,100.0,100.0,99.86941385721265,99.79658699042213,100.0,101.44404332129966,99.69270968772386,102.01064831886094
2000-02-15,103.49793881573993,100.0,101.46011635261647,100.0,100.0,102.07733876061477,98.14107723527745,100.0,98.98628141313584,100.0165590329525,100.0,100.0,99.82585981715282,99.67562143043372,100.0,101.44404332129966,99.69270968772386,101.91956368624537
2000-02-16,103.60821898496286,100.0,101.46011635261647,100.0,100.0,102.21419046950662,98.3064492512012,100.0,98.98628141313584,100.0165590329525,100.0,100.0,99.86941385721265,99.55465587044533,100.0,101.44404332129966,99.89720755374995,101.91956368624537
2000-02-17,103.79201926700112,100.0,101.33655836548917,100.0,100.0,102.01768545161063,98.26260901879189,100.0,98.98628141313584,100.0165590329525,100.0,100.0,99.9129678972725,99.353046603798,100.0,101.44404332129966,99.89720755374995,102.51025704747336
2000-02-18,103.44279873112843,100.0,101.19399145726534,100.38925652004671,100.0,101.78258123377077,97.92465077148465,100.0,98.98628141313584,100.0165590329525,100.0,100.0,99.78230577709299,99.1514373371507,100.0,101.44404332129966,99.89720755374995,102.71824766762407
2000-02-21,103.35089859010931,100.0,101.03241562794503,100.13623978201636,100.0,101.19657519825951,98.12997844226246,100.0,98.98628141313584,100.0165590329525,100.0,100.0,99.82585981715282,99.1514373371507,100.0,101.44404332129966,99.89720755374995,102.71824766762407
2000-02-22,102.90977791321748,100.0,100.53818367943579,100.21409108602569,100.0,101.29833672538423,98.6471821967622,100.0,98.98628141313584,100.0165590329525,100.0,100.0,99.82585981715282,99.1514373371507,100.0,101.44404332129966,99.89720755374995,101.76437586243809
2000-02-23,103.05681813884809,100.0,101.37457620768218,100.03892565200466,100.0,101.45975156151309,98.81865854884421,100.0,98.76145452790726,100.0165590329525,100.0,100.0,99.82585981715282,99.1514373371507,100.0,101.44404332129966,99.89720755374995,101.85184882273899
