,Spot_Incl_Costs_ARSUSD Curncy
2000-01-10,100.0
2000-01-11,100.0
2000-01-12,100.0
2000-01-13,100.0
2000-01-14,100.0
2000-01-17,100.0
2000-01-18,100.0
2000-01-19,100.0
2000-01-20,100.0
2000-01-21,100.0
2000-01-24,100.0
2000-01-25,100.0
2000-01-26,99.95
2000-01-27,99.959995
2000-01-28,99.95
2000-01-31,99.959995
2000-02-01,99.959995
2000-02-02,99.959995
2000-02-03,99.95
2000-02-04,99.979985
2000-02-07,99.95
2000-02-08,99.95
2000-02-09,99.959995
2000-02-10,99.959995
2000-02-11,99.91001500250002
2000-02-14,99.91001500250002
2000-02-15,99.86005999499878
2000-02-16,99.86005999499878
2000-02-17,99.85007498750002
2000-02-18,99.80014995000627
2000-02-21,99.72033676531265
2000-02-22,99.72033676531265
2000-02-23,99.72033676531265
2000-02-24,99.72033676531265
2000-02-25,99.67047659693
2000-02-28,99.60072320580565
2000-02-29,99.59076412939271
2000-03-01,99.59076412939271
2000-03-02,99.54096874732802
2000-03-03,99.54096874732802
2000-03-06,99.54096874732802
2000-03-07,99.54096874732802
2000-03-08,99.54096874732802
2000-03-09,99.45142167194469
2000-03-10,99.47130996744953
2000-03-13,99.45142167194469
2000-03-14,99.45142167194469
2000-03-15,99.49119826295437
2000-03-16,99.4514216719447
2000-03-17,99.49119826295438
2000-03-20,99.4414775241923
2000-03-21,99.49119826295438
2000-03-22,99.49119826295438
2000-03-23,99.49119826295438
2000-03-24,99.54091900171647
2000-03-27,99.49119826295438
2000-03-28,99.49119826295438
2000-03-29,99.49119826295438
2000-03-30,99.49119826295438
2000-03-31,99.49119826295438
2000-04-03,99.45142167194471
2000-04-04,99.4911982629544
2000-04-05,99.44145266382293
2000-04-06,99.31229798589264
2000-04-07,99.2626418368997
2000-04-10,99.1634535676716
2000-04-11,99.11389661936191
2000-04-12,99.06433967105224
2000-04-13,99.06433967105224
2000-04-14,99.06433967105224
2000-04-17,99.06433967105224
2000-04-18,99.06433967105224
2000-04-19,99.06433967105224
2000-04-20,99.06433967105224
2000-04-21,99.06433967105224
2000-04-24,98.92577430434281
2000-04-25,98.92577430434281
2000-04-26,98.92577430434281
2000-04-27,98.87631141719065
2000-04-28,98.87631141719065
2000-05-01,98.87631141719065
2000-05-02,98.87631141719065
2000-05-03,98.87631141719065
2000-05-04,98.87631141719065
2000-05-05,98.87631141719065
2000-05-08,98.87631141719065
2000-05-09,98.87631141719065
2000-05-10,98.87631141719065
2000-05-11,98.87631141719065
2000-05-12,98.87631141719065
2000-05-15,98.77748451922245
2000-05-16,98.77748451922245
2000-05-17,98.77748451922245
2000-05-18,98.82687326148206
2000-05-19,98.77748451922245
2000-05-22,98.82687326148206
2000-05-23,98.77748451922245
2000-05-24,98.77748451922245
2000-05-25,98.7972400161263
2000-05-26,98.82687326148206
2000-05-29,98.82687326148206
2000-05-30,98.82687326148206
2000-05-31,98.82687326148206
2000-06-01,98.82687326148206
2000-06-02,98.82687326148206
2000-06-05,98.82687326148206
2000-06-06,98.82687326148206
2000-06-07,98.82687326148206
2000-06-08,98.80711776457822
2000-06-09,98.79724001612631
2000-06-12,98.82687326148208
2000-06-13,98.77745982485135
2000-06-14,98.77745982485135
2000-06-15,98.72807109493893
2000-06-16,98.72807109493893
2000-06-19,98.75767471445765
2000-06-20,98.72807109493893
2000-06-21,98.72807109493893
2000-06-22,98.72807109493893
2000-06-23,98.72807109493893
2000-06-26,98.72807109493893
2000-06-27,98.72807109493893
2000-06-28,98.72807109493893
2000-06-29,98.72807109493893
2000-06-30,98.72807109493893
2000-07-03,98.72807109493893
2000-07-04,98.67870705939146
2000-07-05,98.67870705939146
2000-07-06,98.67870705939146
2000-07-07,98.67870705939146
2000-07-10,98.67870705939146
2000-07-11,98.67870705939146
2000-07-12,98.62936770586177
2000-07-13,98.62936770586177
2000-07-14,98.62936770586177
2000-07-17,98.62936770586177
2000-07-18,98.62936770586177
2000-07-19,98.62936770586177
2000-07-20,98.62936770586177
