,Weighted_Performance
2003-07-24,-0.014189930707385535
2003-07-25,0.007403995952205717
2003-07-28,0.01508736902072706
2003-07-29,-0.005890529629283697
2003-07-30,-0.023508447540305497
2003-07-31,0.01342383497772856
2003-08-01,-0.019736681880169554
2003-08-04,-0.015925984596951222
2003-08-05,0.03139089921403991
2003-08-06,0.013817816822671788
2003-08-07,0.00979651684388139
2003-08-08,-0.022611956319513352
2003-08-11,0.0031782259463091216
2003-08-12,-0.004401884199547113
2003-08-13,-0.007486697526853693
2003-08-14,0.03406204799349742
2003-08-15,0.0026480478408069685
2003-08-18,0.00978998941496525
2003-08-19,-0.011160894759731478
2003-08-20,-0.014526164884562183
2003-08-21,-0.020313004782588646
2003-08-22,0.005608900667828759
2003-08-25,0.0012011147230542734
2003-08-26,0.0068662799712208905
2003-08-27,0.0038527086757490967
2003-08-28,0.0049159927839601495
2003-08-29,0.010007751852895607
2003-09-01,0.009606099569164812
2003-09-02,0.021568770839151957
2003-09-03,0.027790951773528035
2003-09-04,0.04535523061860058
2003-09-05,0.004691334456652521
2003-09-08,-0.03612355399014454
2003-09-09,0.007216688499281493
2003-09-10,0.05601638443981874
2003-09-11,0.007951411999440569
2003-09-12,0.04156735265776295
2003-09-15,0.011584351656140475
2003-09-16,-0.015073917501256882
2003-09-17,0.012722016207387022
2003-09-18,-0.01845674334751143
2003-09-19,-0.005249259439884125
2003-09-22,0.060559217899985536
2003-09-23,0.002038377456046355
2003-09-24,0.055512383821639484
2003-09-25,-0.08431246202854009
2003-09-26,-0.028955733931597845
2003-09-29,0.011795777596804016
2003-09-30,0.04385925156522618
2003-10-01,0.0017737688629924624
2003-10-02,-0.017367807508471732
2003-10-03,-0.020528905396370985
2003-10-06,0.04391826328936105
2003-10-07,0.022267928493823547
2003-10-08,-0.007138312871270218
2003-10-09,-0.0026857122543977414
2003-10-10,0.03540526544153939
2003-10-13,-0.017892236004452403
2003-10-14,-0.061423868529074326
2003-10-15,-0.02715210462311323
2003-10-16,-0.00953676889562146
2003-10-17,-0.029912132111837804
2003-10-20,-0.01301050007303764
2003-10-21,0.0446985177537827
2003-10-22,-0.017867631912177606
2003-10-23,0.04767040977468217
2003-10-24,0.0184272134573309
2003-10-27,0.006207367860446137
2003-10-28,-0.010171411676931275
2003-10-29,-0.027014925762952276
2003-10-30,0.009026029351064887
2003-10-31,0.04162720731307568
2003-11-03,-0.006027370369784218
2003-11-04,-0.03815512891371634
2003-11-05,-0.013875105260634228
2003-11-06,-0.01702262815527951
2003-11-07,0.018128036236118576
2003-11-10,0.005077401350779453
2003-11-11,0.004668969853557559
2003-11-12,-0.02907993820783805
2003-11-13,0.03905082653807296
2003-11-14,0.03167518631227095
2003-11-17,-0.02680748071123592
2003-11-18,0.0693593836350214
2003-11-19,-0.0024692429560087804
2003-11-20,-0.03646145074610047
2003-11-21,0.029320765950018333
2003-11-24,-0.02686687858560989
2003-11-25,0.04056475632417829
2003-11-26,0.050181107110288156
2003-11-27,0.03324686021794385
2003-11-28,-0.010073230771227073
2003-12-01,0.07729697423203266
2003-12-02,0.032792066000119496
2003-12-03,0.025087096415637652
2003-12-04,-0.04706505839125996
2003-12-05,0.018575386941167817
2003-12-08,-0.10969684686850345
2003-12-09,0.025239395033493005
