WEO Country Group Code	WEO Subject Code	Country Group Name	Subject Descriptor	Subject Notes	Units	Scale	Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	Estimates Start After
001	NGDP_RPCH	World	Gross domestic product, constant prices		Percent change			1.844	2.234	0.703	2.779	4.919	3.940	3.452	3.763	4.486	3.829	3.224	2.206	2.193	2.128	3.380	3.276	3.762	4.133	2.580	3.553	4.738	2.352	2.885	3.679	4.869	4.544	5.248	5.400	2.761	-0.611	5.265	3.851	3.533	4.073	4.364	4.547	4.623	4.663	
001	NGDP_RPCHMK	World	Gross domestic product, constant prices		Percent change (market exchange rates)			1.457	2.181	0.441	2.716	4.905	3.879	3.235	3.533	4.554	3.858	3.139	1.691	2.397	1.552	3.217	2.829	3.208	3.575	2.133	3.183	4.223	1.669	1.974	2.748	3.866	3.400	3.990	3.971	1.447	-2.247	4.183	2.837	2.720	3.313	3.650	3.841	3.916	3.938	
001	NGDPD	World	Gross domestic product, current prices		U.S. dollars	Billions		10,705.477	10,930.965	10,829.132	11,096.944	11,534.012	11,945.191	14,078.119	16,166.229	18,141.185	19,042.944	22,175.384	23,246.914	24,325.535	24,960.584	26,784.297	29,774.181	30,501.518	30,370.174	30,156.544	31,337.733	32,299.020	32,090.903	33,357.749	37,484.384	42,136.202	45,571.189	49,342.423	55,677.539	61,166.629	57,760.763	63,074.924	69,659.626	71,896.504	75,522.071	79,504.622	83,940.909	88,743.877	94,028.240	
001	NGDP_D	World	Gross domestic product, deflator		Index, 2000=100																																									
001	NGAP_NPGDP	World	Output gap		Percent of potential GDP																																									
001	PPPGDP	World	Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP		Current international dollar	Billions		11,328.167	12,647.192	13,492.846	14,396.874	15,655.310	16,756.848	17,703.466	18,885.790	20,383.440	21,938.769	23,504.999	24,830.634	27,883.164	29,087.768	30,632.319	32,406.550	34,236.600	36,300.111	37,632.791	39,512.276	42,293.168	44,234.846	46,214.873	48,875.880	52,658.078	56,794.464	61,638.178	66,754.974	70,029.899	70,138.989	74,604.114	78,897.426	82,646.727	87,251.023	92,348.696	98,041.193	104,174.073	111,088.288	
001	PPPPC	World	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP		Current international dollar	Units																																								
001	PPPSH	World	Gross domestic product based on purchasing-power-parity (PPP) share of world total	These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   Please note:   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, "Purchasing Power Parity Based Weights for the World Economic Outlook," in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.	Percent																																									
001	NID_NGDP	World	Investment		Percent of GDP			25.042	24.698	22.799	22.275	23.294	22.961	22.781	23.023	23.931	24.332	24.201	23.501	22.520	22.507	22.754	22.924	22.657	22.766	22.278	22.136	22.509	21.584	21.030	21.236	22.083	22.437	23.167	23.736	23.799	21.720	22.836	23.477	24.045	24.539	24.934	25.336	25.682	26.006	
001	NGSD_NGDP	World	Gross national savings		Percent of GDP			23.555	23.394	21.532	20.740	21.849	21.334	21.251	21.858	23.053	23.015	22.397	21.749	21.350	21.661	22.061	22.470	22.468	22.775	22.166	21.894	22.312	21.318	20.658	20.941	22.065	22.600	23.992	24.246	24.098	21.885	23.280	23.971	24.361	24.834	25.116	25.416	25.669	25.989	
