WEO Country Group Code	WEO Subject Code	Country Group Name	Subject Descriptor	Subject Notes	Units	Scale	Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	Estimates Start After
001	NGDP_RPCH	World	Gross domestic product, constant prices		Percent change			1.865	2.243	0.713	2.792	4.941	3.943	3.455	3.790	4.524	3.883	3.273	2.195	2.224	2.185	3.390	3.270	3.774	4.118	2.579	3.604	4.766	2.333	2.875	3.691	4.968	4.580	5.269	5.438	2.807	-0.590	5.221	3.954	3.152	3.308	4.040	4.370	4.461	4.508	4.489	
001	NGDP_RPCHMK	World	Gross domestic product, constant prices		Percent change (market exchange rates)			1.472	2.182	0.448	2.724	4.917	3.876	3.241	3.558	4.592	3.891	3.186	1.675	2.446	1.629	3.236	2.819	3.222	3.592	2.129	3.188	4.224	1.658	1.961	2.764	3.869	3.447	4.000	4.012	1.496	-2.151	4.098	2.922	2.482	2.587	3.429	3.770	3.866	3.906	3.872	
001	NGDPD	World	Gross domestic product, current prices		U.S. dollars	Billions		10,711.333	10,939.645	10,840.231	11,110.101	11,545.169	11,956.053	14,088.503	16,176.143	18,158.776	19,062.145	22,195.938	23,274.134	24,355.722	24,999.082	26,825.492	29,824.973	30,546.649	30,416.671	30,201.585	31,376.547	32,331.329	32,129.919	33,403.250	37,527.889	42,228.596	45,678.638	49,451.669	55,827.289	61,363.577	57,983.314	63,467.755	70,220.553	71,707.302	74,171.718	77,805.096	82,146.558	86,906.139	92,094.471	97,598.942	
001	NGDP_D	World	Gross domestic product, deflator		Index, 2000=100																																										
001	NGAP_NPGDP	World	Output gap		Percent of potential GDP																																										
001	PPPGDP	World	Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP		Current international dollar	Billions		11,298.752	12,615.588	13,460.802	14,364.615	15,623.803	16,723.632	17,668.930	18,853.887	20,356.569	21,922.012	23,500.906	24,823.762	27,893.886	29,114.633	30,664.102	32,438.687	34,274.554	36,333.117	37,665.560	39,564.303	42,359.854	44,297.573	46,276.191	49,004.450	52,831.359	56,955.344	61,825.462	66,982.859	70,299.573	70,306.267	74,879.425	79,285.920	83,140.055	87,209.739	92,483.482	98,414.787	104,888.462	111,909.159	119,344.057	
001	PPPPC	World	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP		Current international dollar	Units																																									
001	PPPSH	World	Gross domestic product based on purchasing-power-parity (PPP) share of world total	These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   Please note:   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, "Purchasing Power Parity Based Weights for the World Economic Outlook," in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.	Percent																																										
001	NID_NGDP	World	Investment		Percent of GDP			25.196	24.751	22.848	22.341	23.339	23.006	22.816	23.039	23.935	24.309	24.168	23.471	22.495	22.499	22.741	22.911	22.678	22.781	22.297	22.161	22.528	21.605	21.045	21.265	22.125	22.496	23.244	23.857	23.921	21.792	22.963	23.387	23.560	24.151	24.679	25.175	25.633	26.050	26.440	
001	NGSD_NGDP	World	Gross national savings		Percent of GDP			23.462	23.135	21.314	20.546	21.667	21.201	21.190	21.800	23.037	23.000	22.390	21.704	21.294	21.564	22.061	22.481	22.353	22.740	22.205	21.910	22.318	21.313	20.637	20.927	22.106	22.696	24.051	24.335	24.240	21.898	23.333	23.847	23.914	24.373	24.785	25.261	25.684	26.092	26.451	
001	PCPIPCH	World	Inflation, average consumer prices		Percent change			17.891	15.699	15.117	14.743	16.195	15.253	11.618	14.658	19.842	25.332	27.832	17.074	34.641	34.822	27.731	14.528	8.604	6.124	5.565	5.449	4.576	4.221	3.516	3.708	3.566	3.779	3.732	4.063	5.975	2.413	3.655	4.866	3.916	3.819	3.846	3.704	3.642	3.604	3.549	
001	PCPIEPCH	World	Inflation, end of period consumer prices		Percent change			n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	26.963	25.868	18.038	36.761	37.100	22.767	11.426	7.423	5.408	6.410	4.561	4.544	3.546	3.957	3.361	3.837	3.805	3.603	5.043	4.338	2.987	4.327	4.365	3.937	3.760	3.815	3.728	3.576	3.556	3.538	
001	FLIBOR3	World	Three-month London interbank offered rate (LIBOR)		Percent																																										
001	TRADEPCH	World	Trade volume of goods and services		Percent change			3.065	2.722	-2.158	1.568	8.778	3.084	4.459	6.770	8.927	8.004	7.099	4.744	5.813	3.118	9.516	10.399	7.113	10.057	4.883	5.545	11.915	0.290	4.009	5.785	10.847	7.669	9.194	7.972	3.103	-10.613	12.545	5.956	2.469	3.609	5.317	6.052	6.232	6.384	6.482	
001	TM_RPCH	World	Volume of imports of goods and services		Percent change			1.664	1.664	-2.176	1.797	9.126	3.087	4.954	7.329	8.918	8.392	6.498	4.292	5.396	2.676	9.990	10.845	7.453	9.585	4.966	6.029	12.053	0.331	4.102	5.852	11.072	7.760	8.957	8.070	3.214	-10.937	12.576	5.998	2.387	3.655	5.328	6.047	6.226	6.402	6.502	
