WEO Country Group Code	WEO Subject Code	Country Group Name	Subject Descriptor	Subject Notes	Units	Scale	Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	Estimates Start After
001	NGDP_RPCH	World	Gross domestic product, constant prices		Percent change			2.075	1.921	0.552	2.817	4.580	3.650	3.684	3.954	4.658	3.799	3.462	2.615	2.268	2.078	3.266	3.336	3.928	4.001	2.566	3.565	4.823	2.462	2.995	4.274	5.378	4.864	5.433	5.558	3.005	-0.150	5.385	4.273	3.516	3.472	3.579	3.453	3.234	3.761	3.939	3.943	3.764	3.750	3.701	3.705	
001	NGDP_RPCHMK	World	Gross domestic product, constant prices		Percent change (market exchange rates)			1.679	2.002	0.353	2.870	4.814	3.656	3.420	3.803	4.556	3.798	3.243	1.935	2.505	1.454	3.210	2.936	3.351	3.501	2.324	3.155	4.240	1.682	1.994	2.875	3.988	3.536	3.922	3.805	1.465	-2.072	4.090	3.063	2.478	2.588	2.837	2.803	2.474	3.168	3.371	3.293	3.003	2.962	2.880	2.866	
001	NGDPD	World	Gross domestic product, current prices		U.S. dollars	Billions		11,136.332	11,389.413	11,178.209	11,482.978	11,896.782	12,442.661	14,664.532	16,888.238	18,997.254	19,989.023	23,453.702	24,345.305	25,180.185	25,871.347	27,818.373	31,022.166	31,881.594	31,812.726	31,663.538	32,782.879	33,867.113	33,619.953	34,745.092	39,015.900	43,919.510	47,580.891	51,509.014	58,115.313	63,721.645	60,337.197	65,960.280	73,165.347	74,535.411	76,596.140	78,663.165	74,429.034	75,485.006	79,865.481	87,504.567	92,734.029	97,789.458	103,029.664	108,523.318	114,353.192	
001	PPPGDP	World	Gross domestic product, current prices		Purchasing power parity; international dollars	Billions		13,202.779	14,687.480	15,643.747	16,682.927	18,036.359	19,280.760	20,365.225	21,693.668	23,465.034	25,273.304	27,283.407	28,867.483	32,866.234	34,313.265	36,091.057	38,184.662	40,376.468	42,765.623	44,372.026	46,609.057	49,960.641	52,331.092	54,684.273	58,041.671	62,755.883	67,859.982	73,658.679	79,699.006	83,600.935	83,856.419	89,345.906	94,924.666	99,726.333	104,749.379	110,341.676	115,251.651	120,367.160	127,044.182	134,981.037	143,282.588	151,521.127	160,118.457	168,809.724	178,018.355	
001	NGDP_D	World	Gross domestic product, deflator		Index, 2000=100																																															
001	NGDPRPPPPC	World	Gross domestic product per capita, constant prices		Purchasing power parity; 2011 international dollar	Units																																														
001	PPPPC	World	Gross domestic product per capita, current prices		Purchasing power parity; international dollars	Units																																														
001	NGAP_NPGDP	World	Output gap		Percent of potential GDP																																															
001	PPPSH	World	Gross domestic product based on purchasing-power-parity (PPP) share of world total	These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   Please note:   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, "Purchasing Power Parity Based Weights for the World Economic Outlook," in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.	Percent																																															
001	NID_NGDP	World	Investment		Percent of GDP			26.273	25.708	24.277	23.860	24.912	24.587	24.358	24.680	25.630	26.056	25.875	25.234	24.168	23.837	24.009	24.176	24.046	24.022	23.706	23.644	24.151	23.321	22.643	22.874	23.579	23.987	24.549	25.144	25.109	23.065	24.297	25.104	25.265	25.334	25.646	25.772	25.239	25.567	26.032	26.369	26.607	26.705	26.784	26.819	
001	NGSD_NGDP	World	Gross national savings		Percent of GDP			23.780	23.557	22.196	21.458	22.680	22.275	22.225	22.799	24.030	24.159	23.760	23.234	22.526	22.450	22.746	23.252	23.639	23.947	23.645	23.424	24.021	23.141	22.491	22.739	23.624	24.133	25.265	25.411	24.991	23.154	24.664	25.620	25.951	25.964	26.412	26.449	25.762	26.069	26.433	26.632	26.796	26.865	26.886	26.905	
001	PCPIPCH	World	Inflation, average consumer prices		Percent change			17.401	15.107	14.221	13.405	14.028	13.749	11.735	14.509	19.529	22.928	26.306	17.102	40.367	40.109	31.575	16.163	9.268	6.446	6.300	6.222	4.884	4.630	3.647	3.857	3.771	4.045	4.042	4.290	6.288	2.689	3.674	5.051	4.077	3.662	3.226	2.782	2.763	3.047	3.494	3.364	3.302	3.239	3.264	3.309	
001	PCPIEPCH	World	Inflation, end of period consumer prices		Percent change			n/a	n/a	n/a	n/a	n/a	16.526	9.715	18.295	22.991	24.363	25.118	18.769	43.362	42.634	25.795	12.559	7.785	5.890	7.276	5.061	4.838	3.967	4.058	3.611	4.083	3.968	3.933	5.267	4.663	3.157	4.327	4.735	3.988	3.300	2.913	2.848	3.032	3.162	3.507	3.426	3.187	3.229	3.260	3.269	
001	FLIBOR3	World	Three-month London interbank offered rate (LIBOR)		Percent																																															
001	TRADEPCH	World	Trade volume of goods and services		Percent change			2.979	3.125	-1.577	1.530	8.654	2.647	4.435	6.469	8.879	8.239	6.828	5.178	5.740	3.007	9.406	9.825	6.689	9.900	4.778	4.953	12.281	0.514	3.868	5.798	11.261	7.823	9.353	8.071	3.052	-10.481	12.534	7.106	3.000	3.539	3.818	2.747	2.270	4.888	5.084	4.665	4.294	3.883	3.774	3.677	
