WEO Country Group Code	WEO Subject Code	Country Group Name	Subject Descriptor	Subject Notes	Units	Scale	Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	Estimates Start After
001	NGDP_RPCH	World	Gross domestic product, constant prices		Percent change			1.862	2.243	0.705	2.785	4.939	3.943	3.454	3.778	4.519	3.834	3.271	2.192	2.230	2.166	3.396	3.268	3.768	4.092	2.578	3.612	4.759	2.350	2.874	3.690	4.874	4.556	5.254	5.412	2.801	-0.574	5.137	3.833	3.278	3.620	4.146	4.418	4.510	4.560	
001	NGDP_RPCHMK	World	Gross domestic product, constant prices		Percent change (market exchange rates)			1.464	2.179	0.449	2.723	4.916	3.879	3.239	3.549	4.588	3.863	3.186	1.674	2.447	1.611	3.235	2.815	3.214	3.564	2.127	3.194	4.223	1.664	1.960	2.762	3.871	3.434	3.993	3.986	1.472	-2.166	4.056	2.844	2.562	2.899	3.504	3.810	3.897	3.943	
001	NGDPD	World	Gross domestic product, current prices		U.S. dollars	Billions		10,709.732	10,935.958	10,835.093	11,103.723	11,539.276	11,948.594	14,081.445	16,168.434	18,149.580	19,051.522	22,185.276	23,261.454	24,343.994	24,984.403	26,808.462	29,799.076	30,520.999	30,388.408	30,171.585	31,348.178	32,306.236	32,099.723	33,354.708	37,493.946	42,177.520	45,615.555	49,375.206	55,718.160	61,221.583	57,846.177	63,179.590	69,899.225	71,277.366	74,148.584	78,090.751	82,549.582	87,439.002	92,722.264	
001	NGDP_D	World	Gross domestic product, deflator		Index, 2000=100																																									
001	NGAP_NPGDP	World	Output gap		Percent of potential GDP																																									
001	PPPGDP	World	Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP		Current international dollar	Billions		11,305.170	12,622.753	13,467.032	14,370.102	15,629.238	16,729.343	17,674.586	18,857.665	20,359.436	21,914.287	23,490.097	24,811.630	27,873.973	29,089.179	30,638.294	32,410.459	34,242.716	36,289.771	37,620.434	39,519.656	42,309.823	44,251.165	46,226.905	48,893.571	52,741.470	56,853.442	61,705.216	66,835.107	70,140.159	70,154.425	74,683.812	78,969.782	82,762.149	86,836.374	91,679.617	97,254.447	103,479.822	110,405.349	
001	PPPPC	World	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP		Current international dollar	Units																																								
001	PPPSH	World	Gross domestic product based on purchasing-power-parity (PPP) share of world total	These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   Please note:   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, "Purchasing Power Parity Based Weights for the World Economic Outlook," in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.	Percent																																									
001	NID_NGDP	World	Investment		Percent of GDP			25.107	24.657	22.758	22.267	23.275	22.950	22.767	22.993	23.893	24.297	24.157	23.461	22.482	22.470	22.714	22.885	22.651	22.757	22.268	22.135	22.510	21.585	21.035	21.236	22.094	22.453	23.198	23.781	23.846	21.699	22.743	23.443	23.863	24.389	24.843	25.261	25.635	25.978	
001	NGSD_NGDP	World	Gross national savings		Percent of GDP			23.466	23.148	21.331	20.561	21.684	21.219	21.203	21.814	23.035	23.021	22.406	21.729	21.310	21.566	22.036	22.468	22.337	22.734	22.193	21.894	22.317	21.265	20.607	20.903	22.070	22.650	24.012	24.321	24.184	21.799	23.087	23.867	24.046	24.556	24.933	25.312	25.672	25.994	
