WEO Country Group Code	WEO Subject Code	Country Group Name	Subject Descriptor	Subject Notes	Units	Scale	Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	Estimates Start After
001	NGDP_RPCH	World	Gross domestic product, constant prices		Percent change			2.070	1.888	0.566	2.786	4.564	3.629	3.670	3.947	4.642	3.790	3.447	2.601	2.247	2.064	3.265	3.357	3.857	4.001	2.579	3.575	4.823	2.482	2.991	4.283	5.386	4.894	5.467	5.574	3.037	-0.110	5.385	4.282	3.513	3.491	3.580	3.451	3.268	3.738	3.733	3.654	3.661	3.644	3.575	3.591	
001	NGDP_RPCHMK	World	Gross domestic product, constant prices		Percent change (market exchange rates)			1.664	1.972	0.373	2.844	4.798	3.627	3.398	3.796	4.542	3.789	3.232	1.921	2.492	1.455	3.205	2.949	3.303	3.503	2.343	3.171	4.241	1.707	1.983	2.889	3.994	3.586	3.981	3.844	1.519	-2.013	4.096	3.072	2.483	2.618	2.833	2.810	2.513	3.160	3.184	3.073	2.925	2.899	2.795	2.782	
001	NGDPD	World	Gross domestic product, current prices		U.S. dollars	Billions		11,133.889	11,387.774	11,179.374	11,480.866	11,895.465	12,435.961	14,655.055	16,873.945	18,981.893	19,974.026	23,440.243	24,332.276	25,162.839	25,852.931	27,798.719	30,998.224	31,854.506	31,782.089	31,641.788	32,756.857	33,837.413	33,588.236	34,714.823	38,975.762	43,870.534	47,540.811	51,488.837	58,113.183	63,749.080	60,385.529	66,011.216	73,229.764	74,619.087	76,749.850	78,832.477	74,601.677	75,652.620	80,050.964	84,835.462	88,081.126	93,084.958	98,016.892	103,262.902	108,712.268	
001	PPPGDP	World	Gross domestic product, current prices		Purchasing power parity; international dollars	Billions		13,252.871	14,754.984	15,714.130	16,747.818	18,114.096	19,352.990	20,438.168	21,753.176	23,531.798	25,350.901	27,374.644	28,975.236	33,003.365	34,446.846	36,224.530	38,340.064	40,513.717	42,916.503	44,551.660	46,762.240	50,104.936	52,448.540	54,829.896	58,122.656	62,812.815	67,874.855	73,667.821	79,743.505	83,661.744	83,955.667	89,402.461	95,017.545	99,891.358	105,087.930	110,804.803	115,729.034	120,692.612	127,489.344	135,235.883	143,089.492	151,081.008	159,424.405	168,113.319	177,424.183	
001	NGDP_D	World	Gross domestic product, deflator		Index, 2000=100																																															
001	NGDPRPPPPC	World	Gross domestic product per capita, constant prices		Purchasing power parity; 2011 international dollar	Units																																														
001	PPPPC	World	Gross domestic product per capita, current prices		Purchasing power parity; international dollars	Units																																														
001	NGAP_NPGDP	World	Output gap		Percent of potential GDP																																															
001	PPPSH	World	Gross domestic product based on purchasing-power-parity (PPP) share of world total	These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   Please note:   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, "Purchasing Power Parity Based Weights for the World Economic Outlook," in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.	Percent																																															
001	NID_NGDP	World	Investment		Percent of GDP			26.271	25.704	24.267	23.857	24.910	24.594	24.367	24.694	25.644	26.071	25.886	25.244	24.181	23.850	24.021	24.202	24.074	24.042	23.747	23.677	24.192	23.382	22.702	22.914	23.629	24.041	24.612	25.233	25.190	23.129	24.374	25.214	25.398	25.466	25.770	25.951	25.452	25.779	26.216	26.500	26.727	26.811	26.860	26.877	
001	NGSD_NGDP	World	Gross national savings		Percent of GDP			23.778	23.493	22.174	21.441	22.663	22.257	22.215	22.797	24.024	24.155	23.756	23.230	22.525	22.449	22.744	23.256	23.695	23.993	23.696	23.476	24.085	23.221	22.566	22.782	23.713	24.226	25.298	25.513	24.979	23.054	24.760	25.793	26.186	26.175	26.674	26.654	26.016	26.512	26.734	26.760	26.894	26.842	26.766	26.723	
001	PCPIPCH	World	Inflation, average consumer prices		Percent change			17.475	15.166	14.280	13.482	14.126	13.859	11.827	14.625	19.735	23.222	26.669	17.283	40.780	40.641	31.975	16.303	9.346	6.487	6.339	6.264	4.837	4.656	3.701	3.886	3.793	4.050	4.054	4.306	6.288	2.758	3.679	5.051	4.070	3.660	3.221	2.751	2.754	3.198	3.781	3.826	3.590	3.414	3.354	3.345	
001	PCPIEPCH	World	Inflation, end of period consumer prices		Percent change			n/a	n/a	n/a	n/a	n/a	16.672	9.785	18.473	23.287	24.730	25.446	18.950	43.867	43.258	26.097	12.686	7.870	5.914	7.315	5.107	4.864	3.997	4.090	3.639	4.097	3.978	3.951	5.280	4.664	3.159	4.328	4.735	3.984	3.295	2.906	2.846	3.030	3.301	4.170	3.598	3.479	3.352	3.336	3.329	
001	FLIBOR3	World	Three-month London interbank offered rate (LIBOR)		Percent																																															
