Country,Subject Descriptor,Subject Notes,Units,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,16.622,11.263,5.895,5.422,5.000,5.000,5.000,5.000
Albania,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.357,1.664,3.005,3.000,3.000,3.000,3.000,3.000
Algeria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.567,5.160,6.300,5.000,3.968,4.218,4.270,4.411
Angola,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,15.332,11.394,9.594,7.500,7.500,7.400,7.400,7.400
Antigua and Barbuda,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.941,4.027,2.987,3.092,2.764,2.662,2.529,2.427
Argentina,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,10.923,9.508,9.850,9.850,9.850,9.850,9.850,9.850
Armenia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,8.482,4.652,2.756,4.000,4.000,4.000,4.000,4.000
Australia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.655,3.103,3.342,1.003,3.310,2.340,2.513,2.422
Austria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.174,3.399,1.900,1.900,1.900,1.900,1.900,1.900
Azerbaijan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.881,5.550,6.500,5.500,5.500,5.500,5.000,5.000
The Bahamas,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.552,4.000,1.500,1.969,2.014,2.014,2.014,2.014
Bahrain,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.990,0.178,3.000,2.000,2.000,2.000,2.000,2.000
Bangladesh,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,8.285,10.629,6.898,6.447,6.143,5.663,5.500,5.500
Barbados,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.554,9.541,6.437,4.479,4.461,4.537,4.476,4.538
Belarus,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,9.927,108.686,27.599,29.812,26.149,23.451,20.413,15.774
Belgium,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.380,3.208,2.649,1.524,1.269,1.228,1.271,1.204
Belize,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.007,2.462,1.904,2.500,2.500,2.500,2.500,2.500
Benin,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.020,1.806,7.250,3.300,3.100,3.000,2.800,2.800
Bhutan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,9.099,6.486,10.537,6.708,6.421,6.421,6.421,6.445
Bolivia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.182,6.904,5.015,4.542,4.157,3.970,4.033,4.033
Bosnia and Herzegovina,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.076,2.732,2.200,2.100,2.200,2.400,2.400,2.400
Botswana,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.410,9.175,6.450,6.050,5.750,5.550,5.450,5.450
Brazil,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.909,6.503,4.968,5.095,4.500,4.500,4.500,4.500
Brunei Darussalam,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.861,1.803,1.617,1.419,1.365,1.338,1.331,1.338
Bulgaria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.446,2.046,2.140,2.500,3.000,3.000,3.000,3.000
Burkina Faso,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.261,5.090,2.995,2.000,2.000,2.000,2.000,2.000
Burundi,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.090,14.892,14.651,8.400,6.116,6.353,5.111,5.476
Cambodia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.143,4.908,4.556,4.594,3.970,3.042,3.042,3.042
Cameroon,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.569,2.732,3.000,3.000,2.500,2.500,2.500,2.500
Canada,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.228,2.661,1.674,2.034,2.022,2.022,2.022,2.022
Cape Verde,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.426,3.581,2.297,2.251,1.991,1.991,1.991,2.000
Central African Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.261,4.341,2.945,2.344,2.297,2.309,1.531,1.970
Chad,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-2.161,10.777,5.500,3.000,3.000,3.000,3.000,3.000
