Country,Subject Descriptor,Subject Notes,Units,2019,2020,2021,2022,2023,2024,2025,Estimates Start After
Afghanistan,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.773,5.000,4.500,4.000,4.000,4.000,4.000,2019.0
Albania,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.150,1.150,2.200,2.500,2.860,3.000,3.000,2019.0
Algeria,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.434,5.200,2.500,6.200,2.600,9.300,5.400,2019.0
Angola,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,16.893,22.206,19.589,10.000,8.000,6.000,6.000,2019.0
Antigua and Barbuda,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.518,0.712,1.277,1.520,1.764,2.008,2.000,2019.0
Argentina,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,53.832,,,,,,,2019.0
Armenia,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.720,1.473,2.466,2.982,3.500,4.000,4.000,2019.0
Aruba,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.162,-1.089,3.257,2.381,2.251,2.209,2.216,2019.0
Australia,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.842,0.563,1.155,1.731,1.964,2.371,2.422,2019.0
Austria,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.801,1.000,1.900,1.800,2.000,2.000,2.000,2019.0
Azerbaijan,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.700,3.000,3.100,3.200,3.200,3.200,3.200,2018.0
The Bahamas,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.822,1.731,2.502,2.345,2.318,2.162,2.170,2018.0
Bahrain,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.700,2.000,2.400,2.300,2.200,2.200,2.200,2019.0
Bangladesh,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.518,6.021,5.965,5.493,5.493,5.493,5.493,2019.0
Barbados,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.197,-0.825,2.370,2.315,2.361,2.322,2.355,2019.0
Belarus,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.730,5.519,4.942,4.993,5.068,3.943,3.994,2019.0
Belgium,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.922,0.606,1.073,1.555,1.357,1.570,1.558,2019.0
Belize,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.164,1.137,1.272,1.550,1.676,2.153,2.082,2019.0
Benin,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.274,2.500,2.000,2.000,2.000,2.000,2.000,2019.0
Bhutan,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.700,4.541,4.653,3.044,3.119,3.160,3.275,2019.0
Bolivia,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.469,3.260,3.763,3.500,3.500,3.500,3.500,2019.0
Bosnia and Herzegovina,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.679,-0.776,0.373,1.055,1.209,1.665,4.045,2019.0
Botswana,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.200,1.618,2.989,3.450,4.000,4.000,4.000,2019.0
Brazil,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.306,1.981,2.916,3.237,3.253,3.252,3.252,2019.0
Brunei Darussalam,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.273,0.294,0.508,0.347,0.347,0.347,0.347,2019.0
Bulgaria,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.100,0.500,2.400,2.100,2.000,2.000,2.000,2019.0
Burkina Faso,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-2.556,3.500,2.500,2.500,2.500,2.500,2.500,2019.0
Burundi,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.142,7.881,3.001,3.237,3.170,3.171,3.172,2018.0
Cabo Verde,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.936,1.000,1.200,1.400,1.500,1.600,1.700,2019.0
Cambodia,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.072,2.093,2.784,2.782,2.987,3.040,3.040,2018.0
Cameroon,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.402,2.400,2.100,2.000,2.000,2.000,2.000,2019.0
Canada,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.062,0.299,1.442,1.733,1.912,1.978,1.997,2019.0
Central African Republic,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-2.803,4.554,2.459,2.459,2.459,2.459,2.459,2018.0
Chad,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-1.679,1.570,4.416,2.994,2.994,2.994,2.994,2019.0
Chile,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.976,2.360,2.900,3.000,3.000,3.000,3.000,2019.0
China,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.500,1.362,2.540,2.600,2.600,2.600,2.600,2018.0
Colombia,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.796,1.351,2.433,2.600,2.740,2.860,2.960,2019.0
Comoros,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.253,-5.484,4.146,2.888,2.603,2.474,3.298,2019.0
Democratic Republic of the Congo,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.588,17.100,8.000,7.600,6.500,5.000,5.000,2019.0
Republic of Congo,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.799,2.517,2.718,3.000,3.000,3.000,3.000,2019.0
Costa Rica,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.521,0.500,1.200,1.600,2.000,2.500,3.000,2019.0
Côte d'Ivoire,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.566,1.200,1.400,1.600,1.800,2.000,2.000,2019.0
Croatia,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.379,0.215,0.922,1.477,1.981,2.349,1.856,2019.0
Cyprus,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.778,-0.500,0.600,1.000,1.200,1.400,1.700,2019.0
Czech Republic,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.208,3.200,2.398,2.000,2.000,2.000,2.000,2019.0
Denmark,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.784,0.400,0.900,1.200,1.400,1.500,1.600,2019.0
Djibouti,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.257,2.500,2.200,2.000,2.000,2.000,2.000,2019.0
Dominica,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.761,1.831,2.000,2.000,2.000,2.000,2.000,2019.0
Dominican Republic,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.656,4.000,4.000,4.000,4.000,4.000,4.000,2019.0
Ecuador,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.065,-0.325,1.990,1.849,1.047,1.000,1.000,2019.0
Egypt,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,9.359,5.633,8.048,7.731,7.711,7.481,7.241,2020.0
El Salvador,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.009,0.700,1.500,1.300,1.100,1.000,1.000,2019.0
Equatorial Guinea,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.129,2.117,2.183,2.134,2.090,2.045,2.046,2019.0
Eritrea,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,27.205,4.000,2.000,2.000,2.000,2.000,2.000,2018.0
Estonia,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.795,0.200,1.400,2.200,2.100,1.900,1.900,2019.0
Eswatini,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.974,4.534,4.114,4.796,4.800,4.800,4.900,2019.0
Ethiopia,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,19.515,16.112,8.000,8.040,8.040,8.040,8.040,2019.0
Fiji,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.873,-1.800,1.500,2.000,2.000,2.000,2.000,2018.0
Finland,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.137,1.208,1.252,1.500,1.600,1.760,1.900,2019.0
France,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.623,-0.478,1.088,0.964,1.369,1.602,1.510,2019.0
Gabon,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.021,3.000,3.000,2.500,2.500,2.500,2.500,2019.0
