WEO Country Group Code	WEO Subject Code	Country Group Name	Subject Descriptor	Subject Notes	Units	Scale	Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	Estimates Start After
001	NGDP_RPCH	World	Gross domestic product, constant prices		Percent change			2.009	2.213	0.914	2.809	4.607	3.644	3.479	3.629	4.478	3.745	2.984	1.484	2.049	2.062	3.394	3.285	3.743	4.037	2.580	3.629	4.831	2.282	2.891	3.613	4.917	4.480	5.079	5.182	3.021	-0.604	4.217	4.340	4.461	4.531	4.577	4.586	
001	NGDP_RPCHMK	World	Gross domestic product, constant prices		Percent change (market exchange rates)			1.751	2.122	0.721	2.786	4.626	3.586	3.305	3.433	4.515	3.771	2.871	1.000	1.251	1.235	3.019	2.855	3.210	3.516	2.134	3.227	4.318	1.584	1.975	2.662	3.952	3.420	3.902	3.851	1.793	-2.031	3.250	3.421	3.571	3.629	3.654	3.658	
001	NGDPD	World	Gross domestic product, current prices		U.S. dollars	Billions		11,770.927	11,975.395	11,811.794	12,107.660	12,474.081	12,883.324	15,224.640	17,463.571	19,570.024	20,557.171	22,827.290	24,027.309	24,272.759	24,882.938	26,724.959	29,648.898	30,372.955	30,245.229	30,016.941	31,179.604	32,113.500	31,903.177	33,210.202	37,331.511	41,998.220	45,430.981	49,154.628	55,392.480	61,220.961	57,937.460	61,781.491	65,003.281	68,701.466	72,740.011	77,132.386	81,789.716	
001	NGDP_D	World	Gross domestic product, deflator		Index, 2000=100																																							
001	NGAP_NPGDP	World	Output gap		Percent of potential GDP																																							
001	PPPGDP	World	Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP		Current international dollar	Billions		12,451.522	13,900.746	14,862.741	15,864.052	17,200.532	18,359.956	19,401.165	20,672.478	22,311.575	23,998.616	25,626.132	26,859.402	27,985.172	29,125.030	30,667.752	32,290.246	34,106.873	36,086.696	37,439.069	39,337.983	42,116.047	44,020.100	45,993.285	48,640.464	52,494.908	56,504.660	61,250.750	66,189.802	69,569.435	69,808.807	73,199.609	77,435.964	82,290.519	87,599.230	93,308.813	99,394.656	
001	PPPPC	World	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP		Current international dollar	Units																																						
001	PPPSH	World	Gross domestic product based on purchasing-power-parity (PPP) share of world total	These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   Please note:   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, "Purchasing Power Parity Based Weights for the World Economic Outlook," in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.	Percent																																							
001	NID_NGDP	World	Investment		Percent of GDP			25.202	24.876	23.382	22.870	23.872	23.528	23.403	23.635	24.479	24.764	24.029	23.542	22.452	22.198	22.493	22.810	22.627	22.828	22.302	22.182	22.573	21.604	21.031	21.245	22.091	22.583	23.290	23.682	23.727	21.410	22.245	23.041	n/a	n/a	n/a	n/a	
001	NGSD_NGDP	World	Gross national savings		Percent of GDP			24.181	23.846	22.418	21.704	22.676	22.104	22.070	22.668	23.744	23.689	22.835	22.478	21.464	21.578	21.973	22.473	22.462	22.920	22.281	22.020	22.443	21.406	20.730	21.059	22.142	22.900	24.208	24.289	23.878	21.426	22.621	23.500	n/a	n/a	n/a	n/a	
001	PCPIPCH	World	Inflation, average consumer prices		Percent change			16.408	14.248	13.686	12.884	13.996	13.745	10.843	13.360	18.140	23.493	26.296	21.829	37.165	35.209	27.861	14.596	8.691	6.143	5.566	5.470	4.555	4.263	3.541	3.721	3.581	3.767	3.708	4.013	5.970	2.449	3.671	2.993	2.874	2.891	2.901	2.895	
001	PCPIEPCH	World	Inflation, end of period consumer prices		Percent change			n/a	15.437	15.161	15.769	16.838	17.331	9.477	18.228	23.773	27.069	25.977	23.782	38.918	37.133	22.992	11.515	7.493	5.416	6.482	4.541	4.624	3.572	3.991	3.260	3.893	3.779	3.479	5.004	4.498	2.936	3.355	2.937	2.870	2.889	2.848	2.811	
001	FLIBOR3	World	Three-month London interbank offered rate (LIBOR)		Percent																																							
001	TRADEPCH	World	Trade volume of goods and services		Percent change			2.794	2.948	-1.099	1.856	8.362	3.043	3.826	6.272	8.198	7.945	6.324	4.353	4.619	3.644	9.109	9.200	7.174	10.366	4.470	5.895	12.327	0.213	3.562	5.443	10.713	7.740	8.824	7.182	2.759	-10.657	7.023	6.056	n/a	n/a	n/a	n/a	
001	TM_RPCH	World	Import volume of goods and services		Percent change			1.807	2.386	-1.013	1.777	8.717	3.134	3.653	6.967	8.461	8.508	5.871	3.766	4.231	2.896	8.988	9.352	7.498	9.744	4.637	6.443	12.300	0.246	3.525	5.606	10.832	7.817	8.477	6.933	2.935	-10.856	6.832	5.859	n/a	n/a	n/a	n/a	
001	TMG_RPCH	World	Import volume of goods		Percent change			1.296	1.249	-0.989	2.398	9.642	3.696	5.050	6.696	9.323	7.086	6.014	3.684	5.599	3.839	10.399	10.012	6.963	10.069	4.983	6.547	12.944	-0.401	3.844	6.489	11.352	7.772	8.616	6.508	2.387	-11.880	7.855	6.102	n/a	n/a	n/a	n/a	
001	TX_RPCH	World	Export volume of goods and services		Percent change			3.810	3.517	-1.185	1.935	8.006	2.951	4.001	5.573	7.931	7.369	6.793	4.955	5.013	4.396	9.229	9.051	6.852	10.987	4.306	5.354	12.354	0.180	3.598	5.280	10.594	7.663	9.173	7.431	2.585	-10.458	7.213	6.252	n/a	n/a	n/a	n/a	
001	TXG_RPCH	World	Export volume of goods		Percent change			3.068	3.333	-1.816	2.522	8.526	3.004	4.120	5.733	9.024	6.429	5.910	5.055	5.287	4.665	9.851	9.891	6.260	11.041	4.728	5.050	13.056	-0.484	3.663	5.938	10.381	7.148	8.919	6.494	2.330	-11.799	8.231	6.366	n/a	n/a	n/a	n/a	
001	TTPCH	World	Terms of trade of goods and services		Percent change																																							
001	TTTPCH	World	Terms of trade of goods		Percent change																																							
001	TXGM_D	World	Export price of manufactures		U.S. dollars; index, 2000=100																																							
001	TXGM_DPCH	World	Export price of manufactures		U.S. dollars; annual percent change																																							
001	LUR	World	Unemployment rate		Percent of total labor force																																							
001	LE	World	Employment		Index, 2000=100																																							
001	GGXCNL_NGDP	World	General government net lending/borrowing		Percent of GDP																																							
001	GGSB_NPGDP	World	General government structural balance		Percent of potential GDP																																							
