WEO Country Group Code	WEO Subject Code	Country Group Name	Subject Descriptor	Subject Notes	Units	Scale	Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	Estimates Start After
001	NGDP_RPCH	World	Gross domestic product, constant prices		Percent change			1.838	2.240	0.693	2.818	4.900	3.939	3.459	3.755	4.475	3.857	3.215	2.206	2.206	2.117	3.403	3.277	3.761	4.276	2.559	3.486	4.778	2.281	2.865	3.629	4.916	4.572	5.244	5.395	2.865	-0.524	5.010	4.401	4.513	4.540	4.627	4.667	4.732	
001	NGDP_RPCHMK	World	Gross domestic product, constant prices		Percent change (market exchange rates)			1.461	2.134	0.404	2.747	4.888	3.878	3.246	3.523	4.526	3.876	3.119	1.691	2.423	1.556	3.042	2.854	3.223	3.623	2.118	3.175	4.311	1.591	1.956	2.686	3.941	3.476	3.995	3.937	1.594	-2.097	3.946	3.515	3.696	3.705	3.766	3.787	3.829	
001	NGDPD	World	Gross domestic product, current prices		U.S. dollars	Billions		10,706.917	10,934.594	10,835.428	11,098.782	11,536.112	11,954.379	14,077.870	16,160.356	18,131.355	19,051.738	22,180.235	23,256.017	24,309.187	24,944.152	26,773.865	29,716.793	30,450.657	30,323.317	30,098.357	31,270.676	32,227.389	32,014.376	33,286.868	37,415.905	42,118.885	45,562.273	49,349.478	55,702.376	61,268.094	57,920.270	62,909.274	68,652.409	72,485.810	76,467.339	80,695.682	85,424.674	90,451.589	
001	NGDP_D	World	Gross domestic product, deflator		Index, 2000=100																																								
001	NGAP_NPGDP	World	Output gap		Percent of potential GDP																																								
001	PPPGDP	World	Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP		Current international dollar	Billions		11,307.206	12,624.909	13,467.866	14,376.370	15,629.932	16,729.399	17,675.241	18,854.078	20,346.674	21,907.407	24,827.947	26,139.092	27,855.031	29,055.201	30,604.362	32,374.108	34,202.401	36,310.704	37,619.643	39,475.231	42,255.294	44,168.943	46,138.571	48,797.234	52,655.342	56,729.370	61,582.519	66,715.050	70,038.299	70,123.559	74,264.873	78,290.734	82,912.563	87,754.180	93,121.031	99,056.193	105,545.654	
001	PPPPC	World	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP		Current international dollar	Units																																							
001	PPPSH	World	Gross domestic product based on purchasing-power-parity (PPP) share of world total	These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   Please note:   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, "Purchasing Power Parity Based Weights for the World Economic Outlook," in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.	Percent																																								
001	NID_NGDP	World	Investment		Percent of GDP			24.684	24.427	22.485	21.993	23.142	22.768	22.619	22.895	23.807	24.211	24.085	23.382	22.421	22.488	22.686	22.914	22.724	22.809	22.286	22.149	22.537	21.579	21.029	21.237	22.068	22.468	23.178	23.650	23.677	21.607	22.825	23.396	24.082	24.589	25.018	25.337	25.631	
001	NGSD_NGDP	World	Gross national savings		Percent of GDP			23.314	23.116	21.243	20.496	21.604	21.060	20.968	21.597	22.785	22.756	21.108	20.733	21.113	21.508	21.856	22.231	22.241	22.624	21.949	21.703	22.142	21.117	20.465	20.733	21.807	22.471	23.791	23.900	23.654	21.442	22.761	23.788	24.580	25.063	25.483	25.826	26.072	
001	PCPIPCH	World	Inflation, average consumer prices		Percent change			17.282	15.419	14.748	14.081	15.365	14.877	11.536	14.375	19.728	24.938	27.609	17.054	34.798	34.891	27.684	14.569	8.647	6.152	5.592	5.446	4.546	4.259	3.527	3.709	3.581	3.767	3.704	4.021	5.993	2.459	3.744	4.458	3.441	3.006	2.897	2.894	2.908	
001	PCPIEPCH	World	Inflation, end of period consumer prices		Percent change			n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	26.904	25.763	18.022	36.772	37.194	22.739	11.424	7.466	5.402	6.513	4.513	4.533	3.570	3.973	3.256	3.892	3.782	3.470	5.022	4.502	2.973	4.101	4.222	3.126	2.916	2.897	2.896	2.894	
001	FLIBOR3	World	Three-month London interbank offered rate (LIBOR)		Percent																																								
001	TRADEPCH	World	Trade volume of goods and services		Percent change			3.010	3.353	-1.588	1.777	8.905	2.934	3.940	6.758	8.679	8.455	7.276	4.685	5.908	3.572	9.269	10.220	7.128	10.344	4.549	5.885	12.243	0.163	3.684	5.574	10.757	7.668	8.664	7.486	2.749	-10.878	12.400	7.413	6.905	n/a	n/a	n/a	n/a	
001	TM_RPCH	World	Import volume of goods and services		Percent change			1.784	2.347	-1.514	1.551	9.222	2.787	4.270	7.360	8.748	8.892	6.713	4.422	5.528	2.762	9.051	10.703	7.417	9.737	4.716	6.426	12.142	0.143	3.685	5.742	10.957	7.771	8.389	7.396	2.921	-11.209	11.956	7.315	6.864	n/a	n/a	n/a	n/a	
001	TMG_RPCH	World	Import volume of goods		Percent change			1.574	1.042	-2.677	1.552	9.017	3.136	7.559	8.094	9.527	6.835	7.461	4.415	6.952	2.553	10.275	9.963	7.294	9.668	4.976	6.230	12.174	-0.416	4.213	7.281	11.694	7.662	8.466	7.264	2.704	-11.948	12.960	7.471	6.812	n/a	n/a	n/a	n/a	
001	TX_RPCH	World	Export volume of goods and services		Percent change			4.292	4.380	-1.662	2.004	8.587	3.082	3.609	6.152	8.608	8.009	7.854	4.953	6.292	4.385	9.485	9.745	6.840	10.951	4.385	5.348	12.344	0.183	3.683	5.406	10.557	7.564	8.941	7.577	2.576	-10.545	12.843	7.509	6.944	n/a	n/a	n/a	n/a	
001	TXG_RPCH	World	Export volume of goods		Percent change			3.668	3.334	-3.503	1.606	7.932	2.689	5.299	7.226	9.487	6.578	7.708	4.758	6.387	3.186	9.733	9.850	6.588	10.544	4.707	4.756	12.193	-0.304	3.910	6.729	10.838	7.227	8.739	7.016	2.658	-11.442	14.198	7.919	6.909	n/a	n/a	n/a	n/a	
001	TTPCH	World	Terms of trade of goods and services		Percent change																																								
001	TTTPCH	World	Terms of trade of goods		Percent change																																								
001	TXGM_D	World	Export price of manufactures		U.S. dollars; index, 2000=100																																								
001	TXGM_DPCH	World	Export price of manufactures		U.S. dollars; annual percent change																																								
001	LUR	World	Unemployment rate		Percent of total labor force																																								
001	LE	World	Employment		Index, 2000=100																																								
001	GGR_NGDP	World	General government revenue	Revenue consists of taxes, social contributions, grants receivable, and other revenue. Revenue increases government?s net worth, which is the difference between its assets and liabilities (GFSM 2001, paragraph 4.20). Note: Transactions that merely change the composition of the balance sheet do not change the net worth position, for example, proceeds from sales of nonfinancial and financial assets or incurrence of liabilities.	Percent of GDP																																								
