WEO Country Group Code	WEO Subject Code	Country Group Name	Subject Descriptor	Subject Notes	Units	Scale	Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	Estimates Start After
001	NGDP_RPCH	World	Gross domestic product, constant prices		Percent change			1.876	2.269	0.704	2.862	4.944	3.975	3.460	3.843	4.588	3.887	3.279	2.200	2.325	2.141	3.416	3.330	3.809	4.116	2.621	3.666	4.663	2.305	2.830	3.761	5.069	4.653	5.249	5.348	2.705	-0.381	5.176	3.939	3.221	3.005	3.586	3.879	3.950	3.949	3.926	3.878	
001	NGDP_RPCHMK	World	Gross domestic product, constant prices		Percent change (market exchange rates)			1.534	2.225	0.521	2.840	4.977	3.905	3.258	3.638	4.635	3.902	3.179	1.694	2.520	1.591	3.246	2.882	3.258	3.607	2.175	3.208	4.169	1.594	1.939	2.835	3.998	3.547	3.995	3.924	1.467	-2.058	4.088	2.954	2.544	2.385	3.067	3.349	3.423	3.414	3.373	3.309	
001	NGDPD	World	Gross domestic product, current prices		U.S. dollars	Billions		10,952.067	11,203.534	10,994.657	11,268.231	11,689.960	12,132.802	14,257.780	16,354.094	18,352.743	19,284.231	22,427.744	23,499.323	24,614.032	25,278.505	27,113.073	30,125.906	30,891.972	30,759.249	30,561.449	31,757.892	32,731.439	32,526.771	33,811.423	37,977.656	42,747.733	46,255.214	50,059.210	56,440.135	61,848.003	58,623.153	64,019.535	70,895.760	72,105.761	73,982.138	76,776.008	81,009.256	85,559.972	90,546.742	95,733.352	100,846.638	
001	NGDP_D	World	Gross domestic product, deflator		Index, 2000=100																																											
001	NGAP_NPGDP	World	Output gap		Percent of potential GDP																																											
001	PPPGDP	World	Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP		Current international dollar	Billions		11,475.674	12,812.266	13,682.852	14,609.914	15,859.194	17,009.128	17,937.243	19,084.856	20,631.247	22,242.963	23,809.847	25,099.775	28,187.127	29,457.413	31,039.739	32,855.176	34,699.350	36,762.740	38,112.202	40,037.880	42,874.985	44,836.882	46,781.447	49,523.108	53,443.221	57,651.569	62,474.492	67,465.876	70,557.549	70,626.819	75,099.378	79,381.105	83,258.426	86,995.061	91,093.118	96,256.321	101,913.958	108,015.602	114,454.996	121,264.783	
001	PPPPC	World	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP		Current international dollar	Units																																										
001	PPPSH	World	Gross domestic product based on purchasing-power-parity (PPP) share of world total	These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   Please note:   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, "Purchasing Power Parity Based Weights for the World Economic Outlook," in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.	Percent																																											
001	NID_NGDP	World	Investment		Percent of GDP			25.534	25.133	23.604	23.142	24.225	23.937	23.691	23.900	24.718	25.092	24.848	24.155	23.191	23.198	23.408	23.513	23.317	23.492	23.060	22.970	23.359	22.517	21.958	22.131	22.879	23.254	23.943	24.484	24.457	22.449	23.572	24.146	24.393	24.481	24.828	25.137	25.476	25.820	26.052	26.142	
001	NGSD_NGDP	World	Gross national savings		Percent of GDP			23.752	23.479	21.984	21.268	22.476	22.049	21.990	22.606	23.746	23.717	23.093	22.427	22.011	22.189	22.623	22.994	22.915	23.375	22.918	22.608	23.047	22.280	21.743	21.939	22.870	23.374	24.719	24.919	24.657	22.660	23.935	24.735	24.843	25.003	25.452	25.613	25.860	26.168	26.331	26.433	
