WEO Country Group Code	WEO Subject Code	Country Group Name	Subject Descriptor	Subject Notes	Units	Scale	Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	Estimates Start After
001	NGDP_RPCH	World	Gross domestic product, constant prices		Percent change			2.043	2.250	0.767	2.785	4.823	3.899	3.356	3.795	4.596	3.926	3.383	2.433	2.346	2.159	3.340	3.372	3.897	4.127	2.521	3.625	4.795	2.484	2.938	4.039	5.378	4.861	5.535	5.684	3.058	-0.009	5.379	4.169	3.404	3.408	3.389	3.451	3.759	3.848	3.873	3.928	3.966	
001	NGDP_RPCHMK	World	Gross domestic product, constant prices		Percent change (market exchange rates)			1.562	2.166	0.512	2.874	4.935	3.874	3.213	3.669	4.675	3.888	3.121	1.741	2.523	1.582	3.240	2.849	3.270	3.581	2.216	3.197	4.175	1.669	1.932	2.855	3.983	3.516	4.028	3.931	1.520	-1.998	4.117	2.981	2.445	2.536	2.637	2.863	3.185	3.207	3.226	3.222	3.243	
001	NGDPD	World	Gross domestic product, current prices		U.S. dollars	Billions		11,143.614	11,382.570	11,155.792	11,431.516	11,853.653	12,289.956	14,448.386	16,581.477	18,616.916	19,555.134	22,769.944	23,868.651	25,012.770	25,689.050	27,545.440	30,686.862	31,522.455	31,386.257	31,171.730	32,236.427	33,181.874	32,973.932	34,284.704	38,556.143	43,423.760	47,019.739	50,971.931	57,455.906	62,998.932	59,710.753	65,206.222	72,187.936	73,475.280	75,470.924	77,301.958	74,551.027	78,301.533	82,768.651	87,566.196	92,602.815	98,115.585	
001	NGDP_D	World	Gross domestic product, deflator		Index, 2000=100																																												
001	NGAP_NPGDP	World	Output gap		Percent of potential GDP																																												
001	PPPGDP	World	Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP		Current international dollar	Billions		12,981.617	14,486.571	15,477.970	16,511.279	17,900.303	19,184.093	20,202.761	21,486.788	23,225.383	25,046.275	26,838.474	28,351.370	32,216.630	33,662.949	35,434.955	37,506.985	39,642.418	41,997.591	43,501.786	45,726.691	49,034.917	51,360.382	53,649.701	57,033.000	61,664.616	66,677.600	72,447.356	78,485.718	82,370.054	82,738.659	88,156.126	93,575.603	98,190.588	102,965.873	107,921.345	112,552.106	118,471.485	125,497.504	133,101.141	141,018.691	149,436.361	
001	PPPPC	World	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP		Current international dollar	Units																																											
001	PPPSH	World	Gross domestic product based on purchasing-power-parity (PPP) share of world total	These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   Please note:   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, "Purchasing Power Parity Based Weights for the World Economic Outlook," in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.	Percent																																												
001	NID_NGDP	World	Investment		Percent of GDP			26.059	25.616	24.136	23.671	24.658	24.384	24.233	24.525	25.379	25.807	25.605	24.864	23.899	23.549	23.766	23.924	23.739	23.782	23.437	23.357	23.773	22.988	22.469	22.750	23.448	23.796	24.467	25.030	25.015	22.977	24.120	24.824	24.911	24.857	24.940	25.235	25.510	25.751	25.974	26.145	26.308	
001	NGSD_NGDP	World	Gross national savings		Percent of GDP			23.764	23.538	22.065	21.354	22.540	22.168	22.140	22.816	23.992	23.984	23.380	22.690	22.422	22.338	22.775	23.165	23.129	23.503	23.159	22.911	23.476	22.665	22.172	22.458	23.394	23.863	25.126	25.273	24.924	22.992	24.372	25.234	25.533	25.552	25.481	25.633	25.878	26.092	26.258	26.393	26.489	
