WEO Country Group Code	WEO Subject Code	Country Group Name	Subject Descriptor	Subject Notes	Units	Scale	Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	Estimates Start After
001	NGDP_RPCH	World	Gross domestic product, constant prices		Percent change			2.107	1.896	0.684	2.702	4.666	3.807	3.651	3.867	4.746	3.848	3.422	2.618	2.291	2.104	3.269	3.338	3.892	4.093	2.532	3.637	4.825	2.489	2.917	4.285	5.395	4.856	5.489	5.650	3.022	-0.051	5.410	4.224	3.463	3.278	3.411	3.090	3.162	3.535	3.640	3.754	3.795	3.857	
001	NGDP_RPCHMK	World	Gross domestic product, constant prices		Percent change (market exchange rates)			1.655	1.966	0.437	2.792	4.839	3.801	3.356	3.683	4.648	3.879	3.253	1.972	2.549	1.509	3.166	2.828	3.273	3.584	2.218	3.194	4.191	1.693	1.935	2.822	3.993	3.524	3.988	3.906	1.485	-2.020	4.127	3.018	2.465	2.387	2.652	2.438	2.532	2.921	3.023	3.079	3.083	3.134	
001	NGDPD	World	Gross domestic product, current prices		U.S. dollars	Billions		11,098.675	11,318.865	11,106.233	11,399.471	11,833.009	12,382.757	14,586.670	16,778.392	18,863.272	19,868.363	23,298.015	24,677.876	25,031.978	25,760.651	27,655.054	30,766.136	31,625.147	31,574.891	31,367.759	32,335.108	33,304.270	33,128.635	34,442.110	38,728.559	43,607.403	47,225.245	51,153.973	57,755.763	63,267.924	59,920.913	65,571.214	72,681.061	74,185.992	75,905.144	77,825.284	73,170.986	73,993.835	77,779.051	81,807.514	86,370.517	91,371.076	96,387.307	
001	NGDP_D	World	Gross domestic product, deflator		Index, 2000=100																																													
001	NGAP_NPGDP	World	Output gap		Percent of potential GDP																																													
001	PPPGDP	World	Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP		Current international dollar	Billions		13,054.648	14,520.350	15,478.807	16,490.269	17,845.880	19,106.516	20,174.621	21,472.471	23,248.087	25,050.866	27,001.738	28,569.297	32,552.000	33,994.178	35,756.448	37,833.081	39,990.554	42,389.798	43,964.409	46,212.371	49,541.498	51,906.263	54,205.489	57,538.544	62,220.806	67,276.371	73,063.825	79,125.740	83,014.118	83,351.055	88,830.220	94,337.031	99,088.807	103,919.005	109,142.513	113,523.500	118,169.856	123,973.143	131,044.289	138,818.585	147,017.421	155,751.623	
001	PPPPC	World	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP		Current international dollar	Units																																												
001	PPPSH	World	Gross domestic product based on purchasing-power-parity (PPP) share of world total	These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   Please note:   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, "Purchasing Power Parity Based Weights for the World Economic Outlook," in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.	Percent																																													
001	NID_NGDP	World	Investment		Percent of GDP			26.092	25.545	24.120	23.666	24.685	24.414	24.141	24.385	25.291	25.821	25.680	25.357	23.885	23.544	23.731	23.893	23.722	23.774	23.432	23.291	23.737	22.948	22.398	22.674	23.378	23.715	24.323	24.942	24.869	22.755	23.999	24.711	24.877	24.799	25.045	24.903	24.872	25.051	25.242	25.404	25.534	25.666	
001	NGSD_NGDP	World	Gross national savings		Percent of GDP			23.957	23.752	22.335	21.704	22.891	22.354	22.364	22.980	24.130	24.195	24.828	24.092	22.903	22.588	22.832	23.350	23.365	23.727	23.427	23.107	23.686	22.820	22.278	22.575	23.484	23.958	25.135	25.353	24.833	22.905	24.368	25.232	25.611	25.575	25.827	25.627	25.179	25.167	25.244	25.279	25.322	25.379	
001	PCPIPCH	World	Inflation, average consumer prices		Percent change			17.328	15.112	14.227	13.368	14.046	13.759	11.685	14.493	19.551	23.066	26.567	17.112	40.529	40.246	31.568	16.081	9.133	6.393	6.261	6.097	4.773	4.621	3.642	3.847	3.760	4.048	4.004	4.266	6.305	2.672	3.676	5.051	4.078	3.658	3.231	2.778	2.824	3.044	3.138	3.159	3.174	3.157	
001	PCPIEPCH	World	Inflation, end of period consumer prices		Percent change			n/a	n/a	n/a	n/a	n/a	16.585	9.665	18.335	23.147	24.571	25.305	18.510	43.721	42.729	25.628	12.472	7.714	5.848	7.222	5.035	4.818	3.965	4.021	3.611	4.086	3.945	3.878	5.273	4.626	3.270	4.326	4.738	3.962	3.344	2.925	2.894	2.940	3.097	3.119	3.105	3.142	3.144	
001	FLIBOR3	World	Three-month London interbank offered rate (LIBOR)		Percent																																													
001	TRADEPCH	World	Trade volume of goods and services		Percent change			2.978	2.998	-1.655	1.510	8.666	2.744	4.327	6.460	8.875	8.260	6.857	5.274	5.643	2.936	9.399	9.796	7.142	9.959	4.763	4.889	12.330	0.262	3.754	5.679	11.351	7.725	9.254	7.969	3.011	-10.452	12.371	7.063	2.779	3.388	3.489	2.831	3.117	3.790	4.122	4.290	4.346	4.290	
001	TM_RPCH	World	Volume of imports of goods and services		Percent change			1.578	1.963	-1.492	1.762	8.885	2.409	5.120	7.166	8.778	8.605	6.741	4.496	5.347	2.056	10.256	9.835	7.667	9.752	4.988	5.518	12.510	0.373	3.695	5.899	11.418	7.885	9.022	8.061	3.061	-10.681	12.271	7.159	2.654	3.269	3.601	2.910	3.260	3.940	4.246	4.433	4.492	4.422	
001	TMG_RPCH	World	Volume of imports of goods		Percent change			1.192	1.104	-1.270	3.019	9.262	3.715	6.013	6.729	10.076	7.638	6.802	5.273	6.409	3.446	9.856	10.686	7.964	9.775	5.380	6.356	12.429	0.286	3.855	6.420	11.301	8.165	9.070	7.565	2.490	-11.772	13.825	7.080	2.118	2.916	3.253	2.485	2.988	3.929	4.301	4.490	4.572	4.497	
001	TX_RPCH	World	Volume of exports of goods and services		Percent change			4.374	4.004	-1.810	1.269	8.456	3.067	3.568	5.775	8.971	7.921	6.972	6.042	5.930	3.787	8.584	9.759	6.635	10.160	4.544	4.275	12.152	0.152	3.813	5.461	11.283	7.566	9.486	7.877	2.962	-10.222	12.470	6.969	2.904	3.505	3.377	2.751	2.975	3.641	4.000	4.146	4.200	4.157	
001	TXG_RPCH	World	Volume of exports of goods		Percent change			4.158	4.461	-2.229	1.601	8.872	3.325	2.991	6.272	9.332	7.495	6.570	6.007	6.328	4.063	8.953	10.379	6.965	10.604	4.781	5.193	12.443	0.260	3.822	6.006	10.927	7.870	9.540	7.193	2.547	-11.466	14.764	6.773	2.839	3.291	3.231	2.314	2.685	3.361	3.840	4.006	4.061	4.054	
001	TTPCH	World	Terms of trade of goods and services		Percent change																																													
001	TTTPCH	World	Terms of trade of goods		Percent change																																													
001	TXGM_D	World	Export price of manufactures		U.S. dollars; index, 2000=100																																													
001	TXGM_DPCH	World	Export price of manufactures		U.S. dollars; annual percent change																																													
001	LUR	World	Unemployment rate		Percent of total labor force																																													
001	LE	World	Employment		Index, 2000=100																																													
001	GGR_NGDP	World	General government revenue	Revenue consists of taxes, social contributions, grants receivable, and other revenue. Revenue increases government?s net worth, which is the difference between its assets and liabilities (GFSM 2001, paragraph 4.20). Note: Transactions that merely change the composition of the balance sheet do not change the net worth position, for example, proceeds from sales of nonfinancial and financial assets or incurrence of liabilities.	Percent of GDP																																													
001	GGX_NGDP	World	General government total expenditure	Total expenditure consists of total expense and the net acquisition of nonfinancial assets. Note: Apart from being on an accrual basis, total expenditure differs from the GFSM 1986 definition of total expenditure in the sense that it also takes the disposals of nonfinancial assets into account.	Percent of GDP																																													
001	GGXCNL_NGDP	World	General government net lending/borrowing	Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.	Percent of GDP																																													
001	GGSB_NPGDP	World	General government structural balance		Percent of potential GDP																																													
001	GGXONLB_NGDP	World	General government primary net lending/borrowing	Primary net lending/borrowing is net lending (+)/borrowing (?) plus net interest payable/paid (interest expense minus interest revenue).	Percent of GDP																																													
001	GGXWDN_NGDP	World	General government net debt	Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.	Percent of GDP																																													
001	GGXWDG_NGDP	World	General government gross debt	Gross debt consists of all liabilities that require payment or payments of interest and/or principal by the debtor to the creditor at a date or dates in the future. This includes debt liabilities in the form of SDRs, currency and deposits, debt securities, loans, insurance, pensions and standardized guarantee schemes, and other accounts payable. Thus, all liabilities in the GFSM 2001 system are debt, except for equity and investment fund shares and financial derivatives and employee stock options. Debt can be valued at current market, nominal, or face values (GFSM 2001, paragraph 7.110).	Percent of GDP																																													
001	BCA	World	Current account balance	Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income. Data for the world total reflects errors, omissions, and asymmetries in balance of payments statistics on current account, as well as the exclusion of data for international organizations and a limited number of countries. Calculated as the sum of the balance of individual countries.	U.S. dollars	Billions		-59.386	-84.311	-99.651	-83.828	-79.255	-71.629	-69.158	-71.634	-64.019	-90.784	-115.323	-144.776	-122.933	-53.645	-74.517	-71.830	-59.062	6.234	-67.900	-93.290	-124.711	-149.974	-115.845	-46.218	47.584	92.143	225.882	285.431	102.180	158.863	283.999	339.874	379.416	411.675	378.401	230.961	141.428	12.292	-72.237	-180.442	-261.094	-351.811	
001	BCA_NGDPD	World	Current account balance		Percent of GDP																																													
001	BM	World	Imports of goods and services		U.S. dollars	Billions																																												
001	BX	World	Exports of goods and services		U.S. dollars	Billions																																												
001	BF	World	Financial account balance		U.S. dollars	Billions																																												
001	BFD	World	Direct investment, net		U.S. dollars	Billions																																												
001	BFP	World	Portfolio investment, net		U.S. dollars	Billions																																												
001	BFF	World	Financial derivatives, net		U.S. dollars	Billions																																												
001	BFO	World	Other investment, net		U.S. dollars	Billions																																												
001	BFRA	World	Change in reserves		U.S. dollars	Billions																																												
001	D	World	External debt, total		U.S. dollars	Billions																																												
001	D_NGDPD	World	External debt, total		Percent of GDP																																													
001	D_BX	World	External debt, total		Percent of exports of goods and services																																													
001	DS	World	External debt, total debt service		U.S. dollars	Billions																																												
001	DS_NGDPD	World	External debt, total debt service		Percent of GDP																																													
001	DS_BX	World	External debt, total debt service		Percent of exports of goods and services																																													
001	DSI	World	External debt, total debt service, interest		U.S. dollars	Billions																																												
001	DSI_NGDPD	World	External debt, total debt service, interest		Percent of GDP																																													
001	DSI_BX	World	External debt, total debt service, interest		Percent of exports of goods and services																																													
001	DSP	World	External debt, total debt service, amortization		U.S. dollars	Billions																																												
001	DSP_NGDPD	World	External debt, total debt service, amortization		Percent of GDP																																													
001	DSP_BX	World	External debt, total debt service, amortization		Percent of exports of goods and services																																													
001	PALLFNFW	World	Commodity Price Index includes both Fuel and Non-Fuel Price Indices		Index, 2005=100			n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	55.051	52.706	54.918	59.389	62.300	59.588	47.725	49.865	63.106	58.330	58.214	65.069	80.409	100.000	120.717	134.936	172.343	120.525	152.136	192.023	185.771	182.873	171.471	110.954	87.911	93.664	97.168	100.474	102.662	103.889	
001	PNFUELW	World	Commodity Non-Fuel Price Index includes Food and Beverages and Industrial Inputs Price Indices		Index, 2005=100			101.200	90.491	82.544	86.454	85.948	77.183	78.757	88.229	102.438	95.741	94.048	86.884	85.056	85.244	94.114	101.183	99.762	96.168	83.219	76.242	79.200	75.968	77.069	81.890	94.080	100.000	123.258	140.485	151.620	127.429	161.384	190.404	171.306	168.985	162.271	133.915	121.297	120.421	120.452	121.132	121.996	122.266	
001	PINDUW	World	Commodity Industrial Inputs Price Index includes Agricultural Raw Materials and Metals Price Indices		Index, 2005=100			72.947	60.709	54.281	61.256	60.698	53.370	56.387	72.080	93.687	90.659	85.951	75.850	74.304	74.936	85.128	94.485	87.108	86.195	71.680	71.261	77.674	72.536	71.321	75.265	89.080	100.000	136.289	154.313	145.676	118.664	169.938	197.756	167.128	163.316	153.503	123.598	108.082	107.327	107.791	109.157	110.894	111.436	
