WEO Country Code	ISO	WEO Subject Code	Country	Subject Descriptor	Subject Notes	Units	Scale	Country/Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	Estimates Start After
512	AFG	NGDP_R	"Afghanistan, Rep. of."	"Gross domestic product, constant prices"	Real GDP is expressed in billions of national currency units; the base year is country-specific.	National currency	Billions	Definition: Gross domestic product at constant market prices. Data refer to fiscal years Source: National Statistical Office Latest actual data: 2006 Base Year: 2002 Use of chain weighted prices indices: No Primary domestic currency:  Afghanis Data last updated: 09/2008	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	179.516	206.659	224.86	261.06	282.414	314.859	338.417	366.558	396.436	426.748	458.116	491.276	2006
512	AFG	NGDP_RPCH	"Afghanistan, Rep. of."	"Gross domestic product, constant prices"	Annual percentages of constant price GDP are year-on-year changes;  the base year is country-specific.	Annual percent change		"See notes for:  Gross domestic product, constant prices (National currency)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	15.12	8.807	16.099	8.18	11.488	7.482	8.316	8.151	7.646	7.35	7.238	2006
512	AFG	NGDP	"Afghanistan, Rep. of."	"Gross domestic product, current prices"	GDP is expressed in billions of national currency units.	National currency	Billions	Definition: Gross domestic product at market prices. Data refer to fiscal years Source: National Statistical Office Latest actual data: 2006 Primary domestic currency:  Afghanis Data last updated: 09/2008	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	179.516	217.388	257.993	322.231	385.489	478.058	636.249	750.767	859.093	975.198	"1,100.34"	"1,238.98"	2006
512	AFG	NGDPD	"Afghanistan, Rep. of."	"Gross domestic product, current prices"	Values are based upon GDP in national currency and the exchange rate projections provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise.	U.S. dollars	Billions	"See notes for:  Gross domestic product, current prices (National currency)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4.009	4.435	5.393	6.489	7.723	9.596	12.85	15.162	17.35	19.695	22.222	25.022	2006
512	AFG	NGDP_D	"Afghanistan, Rep. of."	"Gross domestic product, deflator"	The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation.   Please note:   Data are expressed in the base year of each country's national accounts.	Index		"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	100	105.191	114.735	123.432	136.498	151.832	188.007	204.815	216.704	228.519	240.187	252.196	2006
512	AFG	NGDPRPC	"Afghanistan, Rep. of."	"Gross domestic product per capita, constant prices"	GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.	National currency	Units	"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"7,873.52"	"8,683.17"	"9,093.25"	"10,160.91"	"10,579.45"	"11,488.13"	"12,026.56"	"12,687.88"	"13,365.20"	"14,012.97"	"14,651.78"	"15,303.71"	2006
512	AFG	NGDPPC	"Afghanistan, Rep. of."	"Gross domestic product per capita, current prices"	GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.	National currency	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"7,873.50"	"9,133.93"	"10,433.13"	"12,541.79"	"14,440.71"	"17,442.69"	"22,610.83"	"25,986.69"	"28,962.93"	"32,022.23"	"35,191.67"	"38,595.39"	2006
512	AFG	NGDPDPC	"Afghanistan, Rep. of."	"Gross domestic product per capita, current prices"	GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	175.816	186.342	218.072	252.561	289.311	350.134	456.646	524.825	584.932	646.718	710.727	779.469	2006
512	AFG	NGAP_NPGDP	"Afghanistan, Rep. of."	Output gap in percent of potential GDP	"Output gaps for advanced economies are calculated as actual GDP less potential GDP as a percent of potential GDP. Estimates of output gaps are subject to a significant margin of uncertainty. For a discussion of approaches to calculating potential output, see Paula R. De Masi, ""IMF Estimates of Potential Output: Theory and Practice,"" in Staff Studies for the World Economic Outlook (Washington: IMF, December 1997), pp. 40-46."	Percent of potential GDP																																					
512	AFG	PPPGDP	"Afghanistan, Rep. of."	Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP	"These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   Please note:   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, ""Purchasing Power Parity Based Weights for the World Economic Outlook,"" in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23."	Current international dollar	Billions	"See notes for:  Gross domestic product, current prices (National currency)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	11.175	13.139	13.673	15.721	17.555	20.099	22.022	24.2	26.698	29.364	32.19	35.253	2006
