WEO Country Group Code	WEO Subject Code	Country Group Name	Subject Descriptor	Subject Notes	Units	Scale	Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	Estimates Start After
001	NGDP_RPCH	World	Gross domestic product, constant prices		Percent change			2.228	2.329	0.802	2.791	4.866	3.903	3.422	3.788	4.575	3.947	3.453	2.418	2.385	2.185	3.368	3.406	3.926	4.177	2.503	3.635	4.786	2.461	3.012	4.036	5.437	4.883	5.557	5.673	3.038	0.013	5.432	4.143	3.365	3.279	3.313	3.847	4.040	4.071	4.045	4.048	
001	NGDP_RPCHMK	World	Gross domestic product, constant prices		Percent change (market exchange rates)			1.638	2.207	0.527	2.848	4.972	3.889	3.275	3.649	4.658	3.900	3.193	1.716	2.569	1.611	3.270	2.884	3.292	3.634	2.193	3.175	4.179	1.613	1.945	2.844	4.019	3.538	4.010	3.957	1.496	-2.006	4.136	2.935	2.431	2.496	2.644	3.211	3.410	3.433	3.389	3.377	
001	NGDPD	World	Gross domestic product, current prices		U.S. dollars	Billions		11,035.443	11,275.883	11,049.802	11,327.087	11,751.439	12,189.703	14,327.526	16,434.292	18,445.396	19,372.394	22,548.716	23,632.395	24,760.251	25,439.776	27,281.966	30,318.996	31,105.750	30,966.206	30,755.990	31,946.006	32,902.651	32,701.586	33,985.556	38,188.987	43,003.428	46,556.396	50,454.884	56,838.619	62,308.296	59,063.465	64,524.898	71,422.737	72,687.658	74,699.258	77,608.736	81,544.485	86,001.869	90,920.210	96,038.757	101,405.996	
001	NGDP_D	World	Gross domestic product, deflator		Index, 2000=100																																											
001	NGAP_NPGDP	World	Output gap		Percent of potential GDP																																											
001	PPPGDP	World	Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP		Current international dollar	Billions		12,794.159	14,289.487	15,272.152	16,292.515	17,670.670	18,938.857	19,960.564	21,224.211	22,937.100	24,739.995	26,529.189	28,021.404	31,872.867	33,311.596	35,074.108	37,128.750	39,253.988	41,606.914	43,089.728	45,297.214	48,571.121	50,861.944	53,157.391	56,489.853	61,104.940	66,086.803	71,818.561	77,797.309	81,632.136	82,013.313	87,426.789	92,780.765	97,322.275	101,933.873	106,998.063	113,109.079	119,844.240	127,234.937	135,129.469	143,446.434	
001	PPPPC	World	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP		Current international dollar	Units																																										
001	PPPSH	World	Gross domestic product based on purchasing-power-parity (PPP) share of world total	These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   Please note:   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, "Purchasing Power Parity Based Weights for the World Economic Outlook," in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.	Percent																																											
001	NID_NGDP	World	Investment		Percent of GDP			25.623	25.218	23.718	23.254	24.324	24.047	23.829	24.059	24.873	25.263	25.021	24.316	23.346	23.078	23.327	23.555	23.355	23.486	23.102	23.031	23.454	22.645	22.083	22.332	23.080	23.435	24.111	24.662	24.583	22.549	23.707	24.323	24.492	24.504	24.820	25.173	25.566	25.912	26.174	26.393	
001	NGSD_NGDP	World	Gross national savings		Percent of GDP			23.740	23.523	22.066	21.332	22.523	22.116	22.084	22.715	23.841	23.821	23.204	22.518	22.104	22.246	22.677	23.054	22.975	23.424	22.987	22.738	23.282	22.467	21.942	22.134	23.120	23.603	24.846	25.050	24.713	22.765	24.079	24.841	24.944	24.977	25.215	25.455	25.812	26.109	26.343	26.593	
