WEO Country Group Code	WEO Subject Code	Country Group Name	Subject Descriptor	Subject Notes	Units	Scale	Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	Estimates Start After
001	NGDP_RPCH	World	Gross domestic product, constant prices		Percent change			2.250	2.287	0.764	2.787	4.826	3.925	3.370	3.816	4.607	3.874	3.419	2.486	2.348	2.163	3.323	3.368	3.927	4.100	2.562	3.635	4.821	2.515	2.960	4.055	5.185	4.872	5.544	5.702	3.064	0.028	5.431	4.225	3.426	3.308	3.428	3.123	3.560	3.805	3.903	3.957	3.968	
001	NGDP_RPCHMK	World	Gross domestic product, constant prices		Percent change (market exchange rates)			1.731	2.223	0.501	2.869	4.933	3.879	3.219	3.671	4.672	3.861	3.125	1.848	2.545	1.521	3.184	2.831	3.283	3.564	2.234	3.203	4.182	1.685	1.979	2.893	3.985	3.516	4.023	3.922	1.510	-1.994	4.148	3.007	2.446	2.396	2.661	2.486	2.963	3.207	3.292	3.274	3.235	
001	NGDPD	World	Gross domestic product, current prices		U.S. dollars	Billions		11,137.260	11,361.191	11,137.567	11,416.500	11,835.925	12,269.914	14,435.897	16,565.098	18,591.997	19,527.001	23,216.147	24,538.377	24,938.900	25,662.752	27,547.656	30,680.504	31,534.620	31,476.231	31,277.708	32,400.629	33,455.710	33,297.964	34,305.490	38,573.519	43,448.255	47,028.264	50,946.303	57,515.769	63,014.306	59,682.893	65,338.933	72,422.521	73,777.260	75,467.066	77,269.168	73,506.822	76,321.315	80,719.598	85,436.683	90,575.154	96,193.497	
001	NGDP_D	World	Gross domestic product, deflator		Index, 2000=100																																												
001	NGAP_NPGDP	World	Output gap		Percent of potential GDP																																												
001	PPPGDP	World	Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP		Current international dollar	Billions		12,990.062	14,501.381	15,492.799	16,527.183	17,917.993	19,209.033	20,231.241	21,521.056	23,264.326	25,074.736	26,877.555	28,406.190	32,276.224	33,726.797	35,495.640	37,569.506	39,725.848	42,110.457	43,608.124	45,842.290	49,143.951	51,489.067	53,795.140	57,031.457	61,845.597	66,879.753	72,672.742	78,742.949	82,644.273	83,044.764	88,523.115	94,012.764	98,713.552	103,554.468	108,777.213	113,162.221	118,518.501	125,117.825	132,615.503	140,793.802	149,463.948	
001	PPPPC	World	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP		Current international dollar	Units																																											
001	PPPSH	World	Gross domestic product based on purchasing-power-parity (PPP) share of world total	These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   Please note:   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, "Purchasing Power Parity Based Weights for the World Economic Outlook," in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.	Percent																																												
001	NID_NGDP	World	Investment		Percent of GDP			26.029	25.566	24.002	23.622	24.641	24.421	24.235	24.532	25.395	26.040	25.786	25.497	24.014	23.654	23.788	23.935	23.829	23.898	23.480	23.410	23.853	23.130	22.433	22.724	23.428	23.760	24.365	24.975	24.919	22.826	24.050	24.767	24.857	24.792	25.005	25.159	25.181	25.297	25.394	25.451	25.487	
001	NGSD_NGDP	World	Gross national savings		Percent of GDP			23.901	23.616	22.195	21.554	22.700	22.338	22.378	23.045	24.193	24.194	24.606	23.122	22.567	22.538	22.911	23.364	23.390	23.698	23.363	23.155	23.818	22.964	22.258	22.572	23.489	23.991	25.181	25.391	24.930	22.981	24.419	25.258	25.580	25.513	25.736	25.644	25.384	25.340	25.327	25.294	25.244	
