WEO Country Group Code	WEO Subject Code	Country Group Name	Subject Descriptor	Subject Notes	Units	Scale	Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	Estimates Start After
001	NGDP_RPCH	World	Gross domestic product, constant prices		Percent change			1.965	2.000	0.852	2.651	4.612	3.804	3.669	3.871	4.743	3.858	3.428	2.636	2.282	2.126	3.254	3.376	3.907	3.981	2.550	3.572	4.819	2.448	2.958	4.286	5.400	4.871	5.452	5.593	3.008	-0.131	5.395	4.288	3.523	3.472	3.566	3.398	3.211	3.618	3.705	3.698	3.722	3.768	3.760	
001	NGDP_RPCHMK	World	Gross domestic product, constant prices		Percent change (market exchange rates)			1.578	2.054	0.508	2.765	4.829	3.809	3.400	3.695	4.666	3.891	3.221	1.964	2.522	1.560	3.212	2.954	3.349	3.461	2.317	3.161	4.242	1.680	1.968	2.890	4.005	3.544	3.934	3.836	1.459	-2.067	4.104	3.071	2.478	2.583	2.820	2.743	2.457	3.035	3.063	2.955	2.924	2.948	2.933	
001	NGDPD	World	Gross domestic product, current prices		U.S. dollars	Billions		11,112.328	11,363.375	11,156.210	11,459.593	11,866.508	12,423.372	14,640.168	16,843.677	18,941.042	19,953.694	23,417.758	24,304.654	25,134.220	25,842.850	27,797.908	30,996.327	31,850.989	31,773.400	31,622.995	32,725.244	33,823.081	33,579.212	34,711.510	38,985.494	43,887.800	47,539.231	51,465.805	58,059.687	63,649.972	60,280.213	65,906.427	73,119.333	74,488.505	76,551.274	78,594.422	74,311.456	75,367.754	79,280.935	84,374.781	88,848.794	93,496.302	98,276.263	103,200.994	
001	PPPGDP	World	Gross domestic product, current prices		Purchasing power parity; international dollars	Billions		13,121.988	14,610.668	15,594.905	16,606.963	17,960.709	19,228.915	20,306.707	21,613.978	23,401.289	25,218.396	27,218.620	28,803.658	32,803.285	34,264.579	36,036.011	38,141.923	40,323.219	42,701.237	44,298.809	46,535.559	49,878.872	52,238.133	54,570.139	57,927.656	62,645.349	67,745.612	73,547.240	79,605.638	83,505.327	83,776.683	89,270.527	94,857.055	99,664.381	104,684.426	110,258.451	115,107.869	120,197.280	126,633.806	133,804.641	141,642.852	149,928.273	158,728.733	167,781.935	
001	NGDP_D	World	Gross domestic product, deflator		Index, 2000=100																																														
001	NGDPRPPPPC	World	Gross domestic product per capita, constant prices		Purchasing power parity; 2011 international dollar	Units																																													
001	PPPPC	World	Gross domestic product per capita, current prices		Purchasing power parity; international dollars	Units																																													
001	NGAP_NPGDP	World	Output gap		Percent of potential GDP																																														
001	PPPSH	World	Gross domestic product based on purchasing-power-parity (PPP) share of world total	These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   Please note:   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, "Purchasing Power Parity Based Weights for the World Economic Outlook," in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.	Percent																																														
001	NID_NGDP	World	Investment		Percent of GDP			26.245	25.677	24.230	23.744	24.811	24.545	24.281	24.529	25.496	26.011	25.873	25.197	24.086	23.803	24.002	24.174	24.057	24.029	23.730	23.681	24.195	23.360	22.680	22.915	23.605	24.009	24.575	25.157	25.112	23.044	24.281	25.094	25.263	25.348	25.641	25.798	25.260	25.379	25.514	25.662	25.837	26.102	26.360	
