WEO Country Group Code	WEO Subject Code	Country Group Name	Subject Descriptor	Subject Notes	Units	Scale	Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	Estimates Start After
001	NGDP_RPCH	World	Gross domestic product, constant prices		Percent change			1.840	2.241	0.692	2.813	4.893	3.932	3.455	3.752	4.473	3.852	3.216	2.205	2.182	2.123	3.399	3.267	3.760	4.050	2.571	3.627	4.807	2.297	2.857	3.627	4.873	4.573	5.266	5.443	2.785	-0.663	5.110	3.955	3.997	4.466	4.690	4.799	4.858	
001	NGDP_RPCHMK	World	Gross domestic product, constant prices		Percent change (market exchange rates)			1.466	2.139	0.407	2.744	4.881	3.876	3.243	3.523	4.529	3.873	3.123	1.693	2.395	1.562	3.237	2.826	3.212	3.545	2.110	3.218	4.307	1.606	1.946	2.684	3.900	3.471	4.026	3.967	1.493	-2.323	4.046	2.958	3.160	3.645	3.873	3.966	4.013	
001	NGDPD	World	Gross domestic product, current prices		U.S. dollars	Billions		10,709.836	10,937.729	10,838.968	11,100.899	11,537.420	11,955.297	14,078.904	16,161.816	18,133.213	19,054.188	22,182.810	23,259.141	24,315.437	24,951.328	26,780.390	29,723.145	30,456.312	30,325.464	30,095.361	31,263.402	32,216.469	32,007.701	33,275.492	37,393.460	42,084.239	45,524.797	49,307.561	55,680.111	61,190.930	57,722.086	62,911.253	70,011.680	73,741.362	77,588.740	81,845.415	86,509.638	91,575.413	
001	NGDP_D	World	Gross domestic product, deflator		Index, 2000=100																																								
001	NGAP_NPGDP	World	Output gap		Percent of potential GDP																																								
001	PPPGDP	World	Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP		Current international dollar	Billions		11,317.834	12,636.519	13,480.138	14,389.034	15,642.677	16,742.122	17,688.395	18,867.742	20,361.402	21,922.394	23,485.789	24,821.055	27,867.858	29,070.219	30,618.594	32,387.144	34,215.198	36,249.329	37,559.412	39,463.688	42,264.716	44,182.032	46,147.385	48,780.112	52,635.935	56,698.933	61,545.636	66,678.967	69,967.843	70,036.254	74,384.980	78,852.864	82,827.512	87,043.136	91,847.372	97,344.369	103,488.661	
001	PPPPC	World	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP		Current international dollar	Units																																							
001	PPPSH	World	Gross domestic product based on purchasing-power-parity (PPP) share of world total	These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   Please note:   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, "Purchasing Power Parity Based Weights for the World Economic Outlook," in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.	Percent																																								
001	NID_NGDP	World	Investment		Percent of GDP			24.944	24.662	22.747	22.244	23.228	22.872	22.716	22.943	23.847	24.232	24.106	23.417	22.452	22.512	22.714	22.961	22.729	22.827	22.301	22.165	22.545	21.625	21.088	21.274	22.134	22.537	23.263	23.767	23.820	21.691	22.859	23.609	24.226	24.797	25.345	25.807	26.217	
001	NGSD_NGDP	World	Gross national savings		Percent of GDP			23.558	23.389	21.521	20.741	21.850	21.323	21.257	21.870	23.060	23.002	22.384	21.732	21.367	21.734	22.095	22.504	22.465	22.816	22.166	21.908	22.324	21.340	20.703	20.963	22.082	22.669	24.028	24.204	24.100	21.848	23.321	24.187	24.906	25.564	26.095	26.490	26.723	
