Country,Subject Descriptor,Subject Notes,Units,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.241,1.383,4.997,5.000,5.000,5.000,5.000,5.000
Albania,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.853,0.660,2.107,2.800,3.000,3.000,3.000,3.000
Algeria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.148,5.253,4.000,4.000,4.000,4.000,4.000,4.000
Angola,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.687,7.485,9.000,8.000,7.500,7.000,6.500,6.500
Antigua and Barbuda,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.059,1.327,0.985,1.571,2.171,2.549,2.549,2.549
Argentina,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,10.946,23.915,20.543,20.543,19.954,19.722,18.886,18.026
Armenia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.556,4.578,5.400,4.000,4.000,4.000,4.000,4.000
Australia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.745,1.718,2.625,1.914,2.549,2.524,2.524,2.524
Austria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.000,1.458,1.113,1.500,1.550,1.650,1.750,1.850
Azerbaijan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.620,-0.123,8.894,3.500,4.500,3.500,4.500,3.500
The Bahamas,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.824,0.244,2.318,1.627,1.391,1.355,1.404,1.390
Bahrain,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.990,2.502,1.456,1.456,1.737,1.713,1.715,1.784
