Country,Subject Descriptor,Subject Notes,Units,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.131,4.588,7.200,6.000,6.000,6.000,6.000,6.000
Albania,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.956,2.176,2.577,3.017,3.000,3.000,3.000,3.000
Algeria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.362,5.900,4.800,4.300,4.000,4.000,4.000,4.000
Angola,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,14.270,41.946,20.000,16.000,12.000,10.000,9.000,9.000
Antigua and Barbuda,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.900,-0.621,2.329,2.447,2.549,2.549,2.549,2.549
Argentina,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,,21.578,17.200,13.100,10.800,9.500,8.800
Armenia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.129,-1.077,3.380,4.000,4.000,4.000,4.000,4.000
Australia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.596,1.479,2.015,2.600,2.524,2.524,2.524,2.422
Austria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.985,1.543,1.681,1.900,2.300,2.200,2.200,2.200
Azerbaijan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.693,13.300,4.200,4.100,4.000,4.000,4.000,4.000
The Bahamas,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.020,0.402,1.480,1.541,1.606,1.546,1.536,1.536
Bahrain,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.732,2.262,1.464,3.140,1.813,1.694,1.725,1.710
Bangladesh,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.892,6.161,6.392,5.753,5.533,5.676,5.650,5.500
Barbados,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-2.462,0.785,2.393,2.525,2.556,2.526,2.517,2.497
Belarus,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,11.970,10.576,10.040,9.076,7.992,7.992,6.499,5.707
Belgium,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.450,2.204,1.360,1.852,1.685,1.905,2.064,2.017
Belize,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.585,2.300,2.400,2.300,2.200,2.100,1.971,2.000
Benin,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.301,-2.652,2.244,1.974,2.042,1.989,1.989,1.989
Bhutan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.055,3.742,4.163,4.626,4.840,4.733,4.701,5.259
Bolivia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.952,4.001,4.670,5.012,5.012,5.012,5.012,0.400
Bosnia and Herzegovina,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-1.246,-0.291,1.872,2.094,1.792,2.101,1.852,1.778
Botswana,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.100,3.000,3.900,4.500,5.000,4.800,4.700,4.600
Brazil,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,10.673,6.288,4.358,4.457,4.468,4.472,4.543,4.471
Brunei Darussalam,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.983,-1.589,0.095,0.300,0.200,0.300,0.200,0.200
Bulgaria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.896,-0.502,1.700,1.800,2.000,2.100,2.100,2.100
Burkina Faso,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.274,0.600,2.000,2.000,2.000,2.000,2.000,2.000
Burundi,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.132,9.498,14.871,17.658,21.237,18.359,15.549,12.806
Cabo Verde,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.538,-1.245,1.196,1.834,2.000,2.000,2.000,2.000
Cambodia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.848,3.530,3.072,3.042,3.042,3.042,3.042,3.000
Cameroon,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.467,0.292,1.472,1.372,1.672,2.000,2.000,2.000
Canada,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.326,1.361,2.104,2.236,1.995,1.951,1.989,2.041
Central African Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.838,4.659,3.608,3.648,3.000,3.000,2.997,3.000
Chad,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.138,-4.888,7.791,-2.946,6.849,0.000,5.536,0.843
Chile,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.437,2.754,3.100,3.000,3.000,3.000,3.000,3.000
China,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.600,2.100,2.500,2.300,2.600,3.000,3.000,3.000
Colombia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.771,5.747,4.094,3.042,3.000,3.000,3.000,3.000
Comoros,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.032,1.958,1.969,2.039,2.000,1.960,2.182,2.300
