Country,Subject Descriptor,Subject Notes,Units,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.131,4.588,7.2,6,6,6,6,6
Albania,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.937,2.176,2.346,2.952,3,3,3,3
Algeria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.362,6.957,5.5,4.4,4,4,4,4
Angola,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,14.27,41.945,23.395,17.611,15,12,10,8.968
Antigua and Barbuda,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.9,-1.121,2.49,2.008,2.008,2.008,2.008,2.008
Argentina,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,,22.305,16.7,12.2,10.3,9.1,8.3
Armenia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.129,-1.077,2.138,4,4,4,4,4
Australia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.69,1.385,2.014,2.32,2.524,2.524,2.524,2.422
Austria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.985,1.543,1.653,1.9,2.2,2.2,2.2,2.2
Azerbaijan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.693,13.3,8,7.5,4,4,4,4
The Bahamas,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.02,0.756,2.429,2.163,2.642,2.314,2.155,2.2
Bahrain,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.732,2.262,1.041,3.185,1.765,1.257,1.646,1.702
Bangladesh,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.892,5.738,5.969,5.753,5.533,5.676,5.65,5.5
Barbados,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-2.507,3.23,6.65,2.4,2.5,2.5,2.7,2.7
Belarus,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,11.97,10.576,8.016,7.545,7.233,7.021,7.021,7.021
Belgium,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.45,2.204,1.422,1.72,1.768,1.942,2.083,2.001
Belize,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.585,1.1,2.4,2.3,2.2,2.1,1.971,2
Benin,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.301,-2.652,2.244,1.974,2.042,1.989,1.989,1.989
Bhutan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.055,3.025,3.298,4.482,4.876,4.766,4.732,5.286
Bolivia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.952,4.001,4.326,5,5,5,5,5
Bosnia and Herzegovina,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-1.246,-0.291,2.308,1.411,1.754,1.741,1.842,1.805
Botswana,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.1,3,4.4,3,4.6,3.2,4.6,3.3
Brazil,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,10.673,6.288,3.579,4.002,4.203,3.969,3.976,4.026
Brunei Darussalam,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.983,-1.589,0.095,0.3,0.2,0.3,0.2,0.2
Bulgaria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.896,-0.502,1.3,1.56,1.9,2.1,2.1,2.1
